angle_deg,energy_kcal_mol,rel_energy_kcal_mol,achieved_deg
0.0,124.1850,16.9489,-5.00
10.0,124.5410,17.3049,15.00
20.0,123.7466,16.5105,25.00
30.0,122.4492,15.2131,35.00
40.0,118.9669,11.7308,45.00
50.0,115.5471,8.3110,55.00
60.0,112.5546,5.3185,65.00
70.0,110.2225,2.9863,75.00
80.0,108.6363,1.4002,85.00
90.0,107.7377,0.5015,95.00
100.0,107.3397,0.1036,105.00
110.0,107.2361,0.0000,114.90
120.0,107.2361,0.0000,115.00
130.0,107.3372,0.1011,125.00
140.0,107.6562,0.4201,135.00
150.0,108.2267,0.9906,145.00
160.0,108.6208,1.3847,155.00
170.0,109.8097,2.5736,165.00
180.0,112.0049,4.7688,175.00
190.0,114.6672,7.4311,-175.00
200.0,117.8698,10.6336,-165.00
210.0,121.8607,14.6246,-155.00
220.0,120.1754,12.9393,-145.00
230.0,120.5229,13.2868,-125.00
240.0,119.0740,11.8379,-115.00
250.0,117.0188,9.7827,-105.00
260.0,115.0747,7.8386,-95.00
270.0,113.7585,6.5224,-85.00
280.0,113.2994,6.0632,-75.19
290.0,113.2995,6.0634,-75.00
300.0,113.8026,6.5665,-65.00
310.0,112.4562,5.2201,-55.00
320.0,113.0877,5.8516,-45.00
330.0,115.2006,7.9644,-35.00
340.0,117.5280,10.2919,-25.00
350.0,119.6783,12.4422,-15.00
