R_A,E_RHF_Eh,E_UHF_Eh,E_RKS_Eh,E_UKS_Eh,S2_UHF,S2_UKS,E_UHFTrip_Eh,S2_UHFTrip,dE_ST_UHF_kcal,E_CASSCF_Eh,NOON_sigma,NOON_sigma_star,y_diradical,Erel_CASSCF_kcal,Erel_GFN2xTB_kcal,Erel_MACE_kcal,Erel_ANI_kcal,Erel_BSUB3LYP_kcal,err_xTB_kcal,err_MACE_kcal,err_ANI_kcal,err_BSUB3LYP_kcal,err_RHF_kcal
1.4,-400.15957320158265,-400.1595732015827,-402.7905952461716,-402.7905952461716,-1.4210854715202004e-14,-4.973799150320701e-14,-400.0392640159536,1.3022389245664954,75.49515379906546,-400.1698770597684,1.9858911684785638,0.014108831521442995,0.014108831521442995,4.439753605724575,-4.901751107289406,4.234721970505832,3.9449146151112684,4.108887477762374,9.34150471301398,0.20503163521874335,0.4948389906133066,0.33086612796220116,0.7314377605167688
1.5,-400.1654827790448,-400.16548277904513,-402.7971431751633,-402.7971431751633,-1.9184653865522705e-13,-1.0658141036401503e-13,-400.0444241111876,1.3043775047511517,75.96546099806419,-400.17695225749725,1.9816607157709614,0.0183392842290392,0.0183392842290392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,-400.16149170334876,-400.1614917033487,-402.7946622385376,-402.7946622385371,2.1316282072803006e-14,-1.4210854715202004e-14,-400.0419371954767,1.3090063466109143,75.02158635663785,-400.17973681172793,1.9723017329282189,0.02769826707178117,0.02769826707178117,-1.7473341607981738,-4.8774797040288895,1.8661442046571564,2.412908939369224,1.5568112374722327,3.1301455432307157,3.61347836545533,4.160243100167397,3.3041453982704065,4.2517719717633025
1.75,-400.1382283229742,-400.13822832297484,-402.77620669498344,-402.77620669498333,-1.0658141036401503e-13,-9.947598300641403e-14,-400.024451473974,1.3486326565495474,71.39605067706658,-400.16084676756566,1.952805132746512,0.04719486725348651,0.04719486725348651,10.106347516500593,-2.8517436794884463,16.415581388396554,16.315860446971566,13.137839666456204,12.95809119598904,6.309233871895961,6.209512930470973,3.0314921499556107,6.9960818782246985
1.9,-400.1168275860334,-400.1168275860335,-402.76018357304645,-402.76018357304616,3.552713678800501e-14,7.815970093361102e-14,-400.0195924146854,1.357640504866957,61.01599123306583,-400.14494019702016,1.9185565320142746,0.08144346798571854,0.08144346798571854,20.087871233652624,6.833999746261331,40.72351934191004,29.49110925857966,23.192500486096602,13.253871487391294,20.635648108257417,9.403238024927035,3.104629252443978,10.443723343351135
2.05,-400.09524603047294,-400.0952460304728,-402.74522164377356,-402.7452216437739,-2.842170943040401e-14,0.0,-400.0690419688621,1.5117911304396756,16.443296919655502,-400.1305268940529,1.8605839767575871,0.13941602324241376,0.13941602324241376,29.132355398165366,19.03382661802232,59.36589524008888,43.585561475691705,32.58125285470208,10.098528780143045,30.233539841923516,14.453206077526339,3.448897456536713,14.94186975806359
2.2,-400.07697846430756,-400.0769784643072,-402.7340916381677,-402.7340916381676,-1.2079226507921703e-13,-9.947598300641403e-14,-400.10078334121647,1.520488021957192,-14.937785789462136,-400.12291120445445,1.7654339452109475,0.2345660547890178,0.2345660547890178,33.91127277270027,29.414470000169622,60.17048251362081,49.57953368211215,39.565436819015666,4.49680277253065,26.25920974092054,15.668260909411877,5.654164046315394,21.626023220377604
2.4,-400.0461546576434,-400.04615465764334,-402.71287065200806,-402.71287065200727,-1.1368683772161603e-13,-9.947598300641403e-14,-400.1114888986605,1.5256444994532217,-40.997855219004386,-400.1060028951428,1.6171262495992262,0.38287375040077504,0.38287375040077504,44.521397056147194,37.94821513132844,64.23115215914495,54.6734525540719,52.88180668360241,6.573181924818755,19.70975510299776,10.152055497924707,8.360409627455219,30.35812964537996
2.6,-400.0244808936995,-400.02448089369943,-402.6974829908894,-402.69748299088883,-2.1316282072803006e-13,-1.9895196601282805e-13,-400.11270713207455,1.5241810006215104,-55.36280044133348,-400.0936683102574,1.4721482929805765,0.5278517070194063,0.5278517070194063,52.26146593038553,47.331681646700375,66.20105847484773,56.396958939323646,62.5377098190951,4.929784283685159,13.939592544462194,4.135493008938113,10.276243888709566,36.21855298455164
2.9,-399.9761421243911,-399.97614212439044,-402.655295378701,-402.6552953787009,-2.842170943040401e-14,-7.815970093361102e-14,-400.07594257117205,1.5394971979631151,-62.6257258711933,-400.0474578165569,1.323927218582056,0.6760727814179164,0.6760727814179164,81.2589885285643,56.45568763219098,88.4903035032773,71.58296520036414,89.01083615513048,24.803300896373322,7.231314974713001,9.67602332820016,7.751847626566175,37.554066091927396
3.2,-399.9178268732892,-399.91782687328913,-402.6190082849161,-402.61900828491616,4.973799150320701e-14,-1.4210854715202004e-14,-400.0264586769173,1.5022219578424796,-68.16748596123065,-399.9968342818196,1.3059886221084984,0.6940113778917082,0.6940113778917082,113.025736186799,61.05686449462162,120.09423124488868,93.95024806663424,111.78133129125973,51.96887169217737,7.068495058089681,19.07548812016475,1.2444048955392617,42.380690982522836
