assigned_abs_pz,conditional_shift_mv
0,0
0.005,0.005
0.01,0.02
0.015,0.045
0.02,0.08
0.025,0.125
0.03,0.18
0.035,0.245
0.04,0.32
0.045,0.405
0.05,0.5
0.055,0.605
0.06,0.72
0.065,0.845
0.07,0.98
0.075,1.125
0.08,1.28
0.085,1.445
0.09,1.62
0.095,1.805
0.1,2
0.105,2.205
0.11,2.42
0.115,2.645
0.12,2.88
0.125,3.125
0.13,3.38
0.135,3.645
0.14,3.92
0.145,4.205
0.15,4.5
0.155,4.805
0.16,5.12
0.165,5.445
0.17,5.78
0.175,6.125
0.18,6.48
0.185,6.845
0.19,7.22
0.195,7.605
0.2,8
0.205,8.405
0.21,8.82
0.215,9.245
0.22,9.68
0.225,10.125
0.23,10.58
0.235,11.045
0.24,11.52
0.245,12.005
0.25,12.5
0.255,13.005
0.26,13.52
0.265,14.045
0.27,14.58
0.275,15.125
0.28,15.68
0.285,16.245
0.29,16.82
0.295,17.405
0.3,18
0.305,18.605
0.31,19.22
0.315,19.845
0.32,20.48
0.325,21.125
0.33,21.78
0.335,22.445
0.34,23.12
0.345,23.805
0.35,24.5
0.355,25.205
0.36,25.92
0.365,26.645
0.37,27.38
0.375,28.125
0.38,28.88
0.385,29.645
0.39,30.42
0.395,31.205
0.4,32
0.405,32.805
0.41,33.62
0.415,34.445
0.42,35.28
0.425,36.125
0.43,36.98
0.435,37.845
0.44,38.72
0.445,39.605
0.45,40.5
0.455,41.405
0.46,42.32
0.465,43.245
0.47,44.18
0.475,45.125
0.48,46.08
0.485,47.045
0.49,48.02
0.495,49.005
0.5,50
0.505,51.005
0.51,52.02
0.515,53.045
0.52,54.08
0.525,55.125
0.53,56.18
0.535,57.245
0.54,58.32
0.545,59.405
0.55,60.5
0.555,61.605
0.56,62.72
0.565,63.845
0.57,64.98
0.575,66.125
0.58,67.28
0.585,68.445
0.59,69.62
0.595,70.805
0.6,72
0.605,73.205
0.61,74.42
0.615,75.645
0.62,76.88
0.625,78.125
0.63,79.38
0.635,80.645
0.64,81.92
0.645,83.205
0.65,84.5
0.655,85.805
0.66,87.12
0.665,88.445
0.67,89.78
0.675,91.125
0.68,92.48
0.685,93.845
0.69,95.22
0.695,96.605
0.7,98
0.705,99.405
0.71,100.82
0.715,102.245
0.72,103.68
0.725,105.125
0.73,106.58
0.735,108.045
0.74,109.52
0.745,111.005
0.75,112.5
0.755,114.005
0.76,115.52
0.765,117.045
0.77,118.58
0.775,120.125
0.78,121.68
0.785,123.245
0.79,124.82
0.795,126.405
0.8,128
0.805,129.605
0.81,131.22
0.815,132.845
0.82,134.48
0.825,136.125
0.83,137.78
0.835,139.445
0.84,141.12
0.845,142.805
0.85,144.5
0.855,146.205
0.86,147.92
0.865,149.645
0.87,151.38
0.875,153.125
0.88,154.88
0.885,156.645
0.89,158.42
0.895,160.205
0.9,162
0.905,163.805
0.91,165.62
0.915,167.445
0.92,169.28
0.925,171.125
0.93,172.98
0.935,174.845
0.94,176.72
0.945,178.605
0.95,180.5
0.955,182.405
0.96,184.32
0.965,186.245
0.97,188.18
0.975,190.125
0.98,192.08
0.985,194.045
0.99,196.02
0.995,198.005
1,200
