B_t,E0_hz,E1_hz,E2_hz,E3_hz,E4_hz,E5_hz,E6_hz,E7_hz,E8_hz,E9_hz,E10_hz,E11_hz,E12_hz,E13_hz,E14_hz,E15_hz
0,-693562881.322,-693181382.531,-680327164.9,-675727411.177,-671547887.407,-657403832.495,-657071155.995,487752613.2,487902996.142,511459948.358,514343116.794,524845382.572,537207772.587,539125266.668,563055204.101,563129415.404
0.0025,-720805178.412,-696521120.005,-678033900.553,-666942163.979,-666423619.071,-652702707.123,-652636484.69,484083626.632,484226363.324,506965603.209,509507319.323,520252632.152,528840795.92,537916876.255,564574149.527,597697807.49
0.005,-749130815.287,-716911774.516,-689249301.396,-666907000.149,-650758038.763,-639388886.365,-637447311.538,472842174.525,472905538.214,492963740.267,493843896.837,506728194.332,528392060.207,557359290.17,592324128.295,632434105.167
0.0075,-778120867.48,-738766896.222,-703002317.775,-671618323.554,-645477408.84,-625405981.333,-613606306.76,452550246.938,453300419.453,467530417.561,484576539.342,509741185.192,541419083.601,578741886.177,620910858.459,667227465.24
0.01,-807668374.156,-761804665.808,-718558663.354,-678675255.186,-643071132.582,-612891533.257,-589997255.498,420761795.496,431177603.28,452794983.309,481367899.413,516300964.017,556613636.542,601462430.813,650136286.355,702051280.616
0.0125,-837698420.468,-785868901.855,-735687162.182,-687763888.97,-642917382.494,-602275592.869,-567567907.223,386595874.961,409484033.039,441973299.094,480982175.469,525163041.869,573515197.499,625282828.226,679889466.362,736893339.544
0.015,-868151649.737,-810842418.072,-754235021.618,-698740565.847,-644952255.32,-593762833.114,-546621290.035,352008778.691,389014343.856,433519655.019,482952285.065,536017287.939,591899945.246,650052886.205,710093642.544,771747209.177
0.0175,-898978792.744,-836627844.356,-774074941.984,-711488937.679,-649140410.956,-587491463.243,-527403598.885,317283428.458,370157717.531,427364269.387,487138542.05,548692036.56,611611411.411,675659341.517,740690073.576,806609169.355
0.02,-930138072.248,-863141168.339,-795092920.198,-725896748.993,-655432213.934,-583559646.274,-510160654.88,282496256.91,353214592.941,423562639.37,493456303.946,563052142.629,632521588.055,702009608.428,771631376.319,841476916.268
0.0225,-961593646.239,-890308788.316,-817184747.815,-741852102.369,-663759049.918,-582029458.918,-495144067.405,247676187.619,338461658.354,422165322.085,501822886.471,578974825.61,654518789.391,729025068.28,802878177.16,876348946.009
0.025,-993314530.538,-918065783.517,-840254816.485,-759244032.898,-674035197.911,-582926506.727,-482604677.413,212836546.886,326162823.382,423194459.14,512146153.997,596343405.41,677503089.08,756637676.965,834397155.887,911224234.74
0.0275,-1025273789.5,-946354693.991,-864215559.144,-777964004.45,-686161440.581,-586239814.713,-472779492.739,177984322.122,316562558.286,426638087.411,524323683.678,615046109.928,701384270.231,784787932.567,866159769.772,946102061.127
0.03,-1057447899.38,-975124558.368,-888987031.231,-797907379.58,-700029125.753,-591923443.243,-465874541.639,143123528.903,309871457.051,432450107.739,538245106.754,634976357.722,726080681.077,813423484.611,898141353.119,980981902.217
0.0325,-1089816233.88,-1004330109.19,-914496486.879,-818974582.644,-715524118.361,-599900102.734,-462046356.253,108256638.72,306248999.971,440553349.209,553795318.41,656033348.036,751518431.09,842498089.015,930320445.905,1015863369.59
0.035,-1122360641.68,-1033931080.94,-940677919.593,-841071899.379,-732530333.151,-610066431.285,-461385669.36,73385255.9622,305787907.611,450844649.269,570857662.046,678122563.399,777630720.282,871970774.293,962678273.847,1050746168.68
0.0375,-1155065095.56,-1063891607.59,-967471573.991,-864111939.745,-750932684.677,-622299284.945,-463907098.589,38510467.4948,308504186.229,463201071.525,589316704.225,701156069.372,804357227.439,901805151.855,995198334.924,1085630072.04
0.04,-1187915398.91,-1094179695.63,-994823444.819,-888013820.699,-770619396.969,-636462305.506,-469547494.078,3633035.74894,314335685.174,477486448.2,609060451.406,725052603.326,831643533.907,931968833.314,1027866064.29,1120514901.24
0.0425,-1220898938.65,-1124766762.25,-1022684779.28,-912703132.066,-791483690.606,-652412119.714,-478173418.224,-31246488.6294,323149704.099,493557572.294,629981985.362,749737483.86,859440578.411,962432932.152,1060668558.89,1155400514.36
0.045,-1254004476.29,-1155627230.9,-1051011595.4,-938111744.503,-813424912.514,-670003713.034,-489595822.496,-66127698.0178,334757750.281,511269571.322,651980563.132,775142383.657,887704144.494,993171634.428,1093594348.8,1190286797.05
0.0475,-1287221970.44,-1186738176.89,-1079764225.28,-964177509.946,-836349197.942,-689094736.97,-503588444.393,-101010284.212,348933988.137,530480217.067,674962261.192,801205007.408,916394383.103,1024161827.34,1126633205.62,1225173656.2
0.05,-1320542425.5,-1218079017.23,-1108906888.83,-990843895.152,-860169760.69,-709548697.183,-519906274.091,-135894009.857,365433741.166,551053116.771,698840254.74,827868710.517,945475372.121,1055382776.95,1159775981.08,1260061015.19
0.0525,-1353957762.18,-1249631239.11,-1138407300.66,-1018059579.54,-884806902.68,-731237103.596,-538301375.793,-170778689.195,384009337.607,572859866.202,723534820.395,855082086.937,974914713.372,1086815847.9,1193014469.94,1294948810.4
0.055,-1387460706.42,-1281378162.2,-1168236311.08,-1045778040.42,-910187822.663,-754040739.449,-558534716.421,-205664174.766,404421956.231,595781321.334,748973140.479,882798547.485,1004683166.51,1118444259.43,1226341293.37,1329836988.59
0.0575,-1421044693.63,-1313304730.52,-1198367580.5,-1073957141.86,-936246289.937,-777850234.381,-580383849.801,-240550348.024,426449322.815,619708173.65,775088973.848,910975903.885,1034754318.34,1150252872.43,1259749798.87,1364725504.83
