time_s,device_j,wire_j,source_resistor_j,supplied_j,capacitor_change_j,BE_numerical_loss_j,kcl_residual_a
0,1.87437667695e-09,4.15199536463e-09,2.27979757321e-09,8.30684707511e-09,3.38832881194e-13,3.3863639358e-13,6.47991114434e-14
0.0005,1.78114068448e-09,3.96185700303e-09,2.16847102891e-09,7.91145365182e-09,-1.52508280265e-14,1.91277453679e-16,2.45863340808e-14
0.001,1.73614782896e-09,3.87395873026e-09,2.11600000137e-09,7.72609956973e-09,-7.02943044948e-15,4.279055518e-17,2.20770972304e-14
0.0015,1.73387523987e-09,3.8777151354e-09,2.11544733592e-09,7.72703803222e-09,3.2482348006e-16,6.60044078068e-20,2.14676671893e-14
0.002,1.7714599489e-09,3.96761890366e-09,2.16349807656e-09,7.90258420755e-09,7.23946258904e-15,4.28132515732e-17,2.23139140899e-14
0.0025,1.84854932655e-09,4.14309816005e-09,2.25981023571e-09,8.25147198815e-09,1.4110952895e-14,1.59042964315e-16,2.46639798971e-14
0.003,1.96715059561e-09,4.40824553111e-09,2.40684416904e-09,8.78226194983e-09,2.13142831913e-14,3.44658551697e-16,2.88856801976e-14
0.0035,2.13159104293e-09,4.77167133079e-09,2.60980440158e-09,9.51309658434e-09,2.92129639255e-14,6.02210191865e-16,3.57316715278e-14
0.004,2.3485503246e-09,5.24640005138e-09,2.87664739168e-09,1.04716368609e-08,3.81625810159e-14,9.39016406613e-16,4.65521447345e-14
0.0045,2.62708842776e-09,5.84963718285e-09,3.21806012029e-09,1.16948355837e-08,4.85004339085e-14,1.36434310538e-15,6.37009162866e-14
0.005,2.97853136379e-09,6.60210867818e-09,3.64724101277e-09,1.32279434325e-08,6.05113164226e-14,1.88490689164e-15,9.12741358731e-14
0.0055,3.41597351759e-09,7.52650353152e-09,4.17920003718e-09,1.51217539382e-08,7.43555321835e-14,2.49772247776e-15,1.08453624228e-14
0.006,3.95300550362e-09,8.64434184802e-09,4.82913526469e-09,1.74265757354e-08,8.99423618209e-14,3.17950934145e-15,2.11656254047e-14
0.0065,4.60109020336e-09,9.97042159233e-09,5.60926450454e-09,2.0180886903e-08,1.06735253671e-13,3.87315404091e-15,3.82136610224e-14
0.007,5.36487658026e-09,1.15040630226e-08,6.52339737773e-09,2.33924649393e-08,1.23493809641e-13,4.47501414991e-15,6.23473373081e-14
0.0075,6.23490039587e-09,1.32170298277e-08,7.5587825398e-09,2.70108555851e-08,1.38004991298e-13,4.83270875372e-15,8.8624589709e-14
0.008,7.17803135499e-09,1.50397153351e-08,8.67580050878e-09,3.08936989089e-08,1.46940420716e-13,4.76960941092e-15,6.77626357803e-21
0.0085,8.12818981206e-09,1.6850124709e-08,9.79833266086e-09,3.47767973898e-08,1.46076010622e-13,4.15227158653e-15,9.28757735324e-14
0.009,8.98312088652e-09,1.84734706965e-08,1.08108658229e-08,3.82675915304e-08,1.31139888115e-13,2.99769795596e-15,5.52575224618e-14
0.0095,9.6152471127e-09,1.97011465372e-08,1.15704431834e-08,4.08869377715e-08,9.937034506e-14,1.57209658405e-15,1.67992789818e-14
0.01,9.90140762229e-09,2.03327307493e-08,1.19382269273e-08,4.21724170667e-08,5.13812960193e-14,3.86781225301e-16,1.12588296975e-15
0.0105,9.76479584224e-09,2.0232388317e-08,1.18240255941e-08,4.1821202116e-08,-7.65249040474e-15,1.51592289923e-17,3.84891771232e-18
0.011,9.20864233453e-09,1.93774475092e-08,1.12233232171e-08,3.98093452398e-08,-6.86010327043e-14,7.81005532119e-16,5.79220102871e-15
0.0115,8.31973060458e-09,1.78737779004e-08,1.02240888001e-08,3.64174787628e-08,-1.21055399778e-13,2.52215254896e-15,5.13560344966e-14
0.012,7.23760789736e-09,1.59270292465e-08,8.97734033391e-09,3.21418251972e-08,-1.5691494584e-13,4.6343064203e-15,1.35525271561e-20
0.0125,6.10803752443e-09,1.37828935742e-08,7.64842408698e-09,2.75391886569e-08,-1.72916018606e-13,6.38730439145e-15,1.35525271561e-20
0.013,5.04574668752e-09,1.16649300951e-08,6.37461393664e-09,2.30851271625e-08,-1.70838113452e-13,7.28131174133e-15,1.35525271561e-20
0.0135,4.11929029999e-09,9.73436979193e-09,5.24439611985e-09,1.90979076869e-08,-1.55721592789e-13,7.20921136426e-15,4.48232217402e-14
0.014,3.35504735953e-09,8.07943795514e-09,4.29793004421e-09,1.57322882535e-08,-1.3347291329e-13,6.3837892604e-15,8.32036059517e-14
0.0145,2.75026055868e-09,6.72670139353e-09,3.53937488243e-09,1.30162328988e-08,-1.09079409895e-13,5.15225497486e-15,3.89554450438e-14
0.015,2.28660229985e-09,5.66171278602e-09,2.95177270103e-09,1.09000057598e-08,-8.58569282281e-14,3.8347658082e-15,2.56550491029e-14
0.0155,1.94024639004e-09,4.84898556084e-09,2.50918357896e-09,9.29835266782e-09,-6.55049021286e-14,2.64601564126e-15,2.01401869899e-14
0.016,1.68785185436e-09,4.24661578726e-09,2.18454022324e-09,8.1189610112e-09,-4.85402651261e-14,1.68879258303e-15,1.54805401625e-14
0.0165,1.50939389657e-09,3.81494833492e-09,1.95377171962e-09,7.27808015334e-09,-3.47797310034e-14,9.83564536371e-16,1.18046611169e-14
0.017,1.38904286648e-09,3.52063543976e-09,1.79740015975e-09,6.70705525696e-09,-2.37124920087e-14,5.047085038e-16,8.98726012773e-15
0.0175,1.31504168651e-09,3.33783109047e-09,1.70072317415e-09,6.35358142726e-09,-1.47318086377e-14,2.08939072705e-16,6.84139702355e-15
0.018,1.27919225984e-09,3.24793390221e-09,1.65336644752e-09,6.18048540924e-09,-7.25222329626e-15,5.2697926488e-17,5.19365705499e-15
0.0185,1.27628415444e-09,3.23879533732e-09,1.64866929121e-09,6.16374803024e-09,-7.52629336241e-16,5.51009302057e-19,3.90558421649e-15
0.019,1.30362199808e-09,3.30389659821e-09,1.68313762375e-09,6.29066146876e-09,5.22133057976e-15,2.79284605716e-17,2.87411153904e-15
0.0195,1.36070904714e-09,3.44172575221e-09,1.75606122737e-09,6.55850722085e-09,1.10735539563e-14,1.21004072526e-16,2.02633320279e-15
0.02,1.44909660684e-09,3.65543279811e-09,1.86932051873e-09,6.97386737888e-09,1.71800243004e-14,2.75507011719e-16,1.45703219455e-15
0.0205,1.57238892043e-09,3.95275981811e-09,2.0273744476e-09,7.55254759237e-09,2.39111159799e-14,4.95362840366e-16,1.08359230876e-15
0.021,1.73638336612e-09,4.34619446634e-09,2.2374028194e-09,8.32001309282e-09,3.16497278395e-14,7.91397593352e-16,6.98869944121e-16
0.0215,1.94931262588e-09,4.85324337728e-09,2.50955515926e-09,9.3121531432e-09,4.08010989621e-14,1.17983743602e-15,8.49347041266e-16
0.022,2.22212498649e-09,5.49663689885e-09,2.85721688587e-09,1.05760322382e-08,5.17874797955e-14,1.67987683054e-15,2.11875804987e-15
0.0225,2.56867502977e-09,6.30412655139e-09,3.29712261519e-09,1.21699915198e-08,6.50155033111e-14,2.30908570754e-15,5.05003753658e-15
0.023,3.00557415458e-09,7.30729350763e-09,3.8490009386e-09,1.41619524692e-08,8.07968199958e-14,3.07491988352e-15,1.15511034982e-14
0.0235,3.55123789801e-09,8.53844458732e-09,4.53420080875e-09,1.66239864399e-08,9.91942801654e-14,3.96047494901e-15,2.51882594101e-14
0.024,4.22336478804e-09,1.00242969556e-08,5.37243732826e-09,1.96202237164e-08,1.19763256229e-13,4.90381701923e-15,5.14978887984e-14
0.0245,5.03375029909e-09,1.17749930716e-08,6.37550286067e-09,2.3184393142e-08,1.41175005229e-13,5.77457048194e-15,9.98574663171e-14
0.025,5.97927430949e-09,1.37676006786e-08,7.53684988921e-09,2.72838920086e-08,1.60770363713e-13,6.36094948168e-15,1.35525271561e-20
0.0255,7.02881784528e-09,1.59255026406e-08,8.81708619731e-09,3.17715873011e-08,1.74223930108e-13,6.39397125684e-15,1.35525271561e-20
0.026,8.10881438184e-09,1.80996653477e-08,1.0128595008e-08,3.6337256067e-08,1.75687034852e-13,5.64234112373e-15,1.35525271561e-20
0.0265,9.09550658516e-09,2.00637737164e-08,1.13278977442e-08,4.04873410273e-08,1.58895446622e-13,4.0860449271e-15,1.35525271561e-20
0.027,9.82683319503e-09,2.15382855559e-08,1.22290352561e-08,4.35942755956e-08,1.19499124964e-13,2.09686518531e-15,4.26007495881e-14
0.0275,1.01432894982e-08,2.22513790537e-08,1.26475313715e-08,4.5042258438e-08,5.80588882562e-14,4.56074685657e-16,2.06945056794e-15
0.028,9.94852807176e-09,2.20240627402e-08,1.24660213361e-08,4.44385942427e-08,-1.79599201593e-14,5.45765676711e-17,4.84164032651e-17
0.0285,9.25681257622e-09,2.08424404062e-08,1.1688349519e-08,4.17875086646e-08,-9.51915871784e-14,1.35793116455e-15,2.18150015196e-14
0.029,8.19289589396e-09,1.88748897866e-08,1.04451834786e-08,3.75128143452e-08,-1.58836717354e-13,4.02276941261e-15,1.35525271561e-20
0.0295,6.94186768216e-09,1.64193058318e-08,8.94451911181e-09,3.23055012537e-08,-1.98366216116e-13,7.03415085776e-15,9.65853238317e-14
0.03,5.68252516579e-09,1.38080527198e-08,7.39878147171e-09,2.68891576643e-08,-2.10974236176e-13,9.29111022337e-15,2.56360552361e-14
0.0305,4.541874113e-09,1.13198584539e-08,5.96922260454e-09,2.18307643211e-08,-2.01011478461e-13,1.01685602219e-14,4.79249547491e-14
0.031,3.58383825884e-09,9.13336966016e-09,4.74614745727e-09,1.7463188452e-08,-1.76593977874e-13,9.67838294415e-15,5.37798158871e-14
0.0315,2.82189281353e-09,7.32576327917e-09,3.75800069901e-09,1.39055190958e-08,-1.45943812366e-13,8.25631552048e-15,4.82101202492e-14
0.032,2.23929126434e-09,5.89854077188e-09,2.9926559979e-09,1.11303792773e-08,-1.15187050214e-13,6.44153557108e-15,5.47782068457e-14
0.0325,1.80634391428e-09,4.80993045813e-09,2.41805622363e-09,9.03424742564e-09,-8.78221465111e-14,4.65842302434e-15,2.9096117063e-14
0.033,1.49143616005e-09,4.00131265665e-09,1.99673416911e-09,7.48942092114e-09,-6.5207252434e-14,3.14684313718e-15,2.14071009454e-14
0.0335,1.26653826491e-09,3.41385175193e-09,1.69387763424e-09,6.37422228207e-09,-4.73551633005e-14,1.98907756268e-15,1.56512206895e-14
0.034,1.10912108893e-09,2.99664323409e-09,1.48068629626e-09,5.58641816571e-09,-3.36207649348e-14,1.16931667443e-15,1.14936848288e-14
0.0345,1.0021646524e-09,2.70929829486e-09,1.33497954946e-09,5.04641997111e-09,-2.31512689689e-14,6.27285879485e-16,8.52130052718e-15
0.035,9.33374707675e-10,2.52160145338e-09,1.24051750986e-09,4.69547884017e-09,-1.51227732397e-14,2.93311038667e-16,6.38558148957e-15
0.0355,8.94219863667e-10,2.41200997809e-09,1.18591536398e-09,4.49213647718e-09,-8.83362226389e-15,1.06125216101e-16,4.82841983626e-15
0.036,8.79071799069e-10,2.36596817789e-09,1.1635938053e-09,4.40863008146e-09,-3.71905490648e-15,1.91625364914e-17,3.66925185982e-15
0.0365,8.84546487642e-10,2.37447439103e-09,1.1689422822e-09,4.4279638303e-09,6.69459565432e-16,7.64987876145e-19,2.78466824794e-15
0.037,9.09057533721e-10,2.43304267704e-09,1.19973617664e-09,4.54184111497e-09,4.69629980615e-15,3.19870463095e-17,2.56153944085e-15
0.0375,9.52560420622e-10,2.54106738947e-09,1.25579308469e-09,4.74942967253e-09,8.67436692995e-15,1.04034212968e-16,2.48694633138e-15
0.038,1.01646274183e-09,2.70155508766e-09,1.33884035954e-09,5.05687129952e-09,1.28948396977e-14,2.16251399356e-16,2.41212282895e-15
0.0385,1.10368357059e-09,2.92118630598e-09,1.45257188671e-09,5.47745979153e-09,1.76538729534e-14,3.74941452734e-16,2.31659784129e-15
0.039,1.21885625135e-09,3.21068021581e-09,1.60288315054e-09,6.03244348724e-09,2.32771054115e-14,5.92970367419e-16,2.17301898047e-15
0.0395,1.36867773414e-09,3.58543956895e-09,1.79828170012e-09,6.75243003502e-09,3.01423560481e-14,8.89927963374e-16,1.94489945524e-15
0.04,1.56240810974e-09,4.06643509976e-09,2.0504669086e-09,7.67935010917e-09,3.86990854307e-14,1.29241075443e-15,1.58856285873e-15
0.0405,1.81250900144e-09,4.6812239744e-09,2.37504770278e-09,8.8688319912e-09,4.9479361446e-14,1.83363913056e-15,1.94434380163e-15
0.041,2.13536161385e-09,5.46484814301e-09,2.79229873373e-09,1.03925741294e-08,6.30885108158e-14,2.55095963197e-15,4.87867938322e-15
0.0415,2.55188737929e-09,6.46007068932e-09,3.32770399087e-09,1.23397456888e-08,8.01521440877e-14,3.47875265747e-15,1.20556979655e-14
0.042,3.08765616731e-09,7.71590945715e-09,4.01174918006e-09,1.48154206122e-08,1.01179493467e-13,4.63296557292e-15,2.90531013418e-14
0.0425,3.77162102099e-09,9.28268637201e-09,4.87792805062e-09,1.79323676957e-08,1.26283231261e-13,5.98288702912e-15,6.70737947063e-14
0.043,4.6319176387e-09,1.1200964686e-08,5.95721270668e-09,2.17902571065e-08,1.54687194455e-13,7.40846849076e-15,5.73959350642e-14
0.0435,5.6863468581e-09,1.3481400895e-08,7.26652562784e-09,2.64344660271e-08,1.83993323037e-13,8.65274557092e-15,6.77626357803e-21
0.044,6.92499505039e-09,1.607414222e-08,8.78890855225e-09,3.17882644616e-08,2.0933459101e-13,9.3044174348e-15,6.77626357803e-21
0.0445,8.28498596317e-09,1.88321801632e-08,1.04461079476e-08,3.75635058301e-08,2.22876139744e-13,8.87995865406e-15,1.35525271561e-20
0.045,9.62553467234e-09,2.14842512204e-08,1.20727718521e-08,4.3182779387e-08,2.1456404541e-13,7.07809140864e-15,1.35525271561e-20
0.0455,1.07249112534e-08,2.36450731221e-08,1.34145821585e-08,4.77847458238e-08,1.75116881847e-13,4.17300591346e-15,1.35525271561e-20
0.046,1.13271323399e-08,2.4889935917e-08,1.41784159586e-08,5.03955867176e-08,1.01234056681e-13,1.27155407173e-15,2.06790286934e-14
0.0465,1.12418026069e-08,2.48906990647e-08,1.41388435646e-08,5.02713458705e-08,6.32806135737e-16,1.52605072162e-18,4.06575814682e-20
0.047,1.0445605429e-08,2.3557195667e-08,1.32505615938e-08,4.72532567903e-08,-1.07423558215e-13,1.52939053034e-15,3.55589581218e-14
0.0475,9.10610849722e-09,2.10968177683e-08,1.16842459014e-08,4.18869790027e-08,-1.98749030019e-13,5.58486121482e-15,6.77626357803e-21
0.048,7.50281375385e-09,1.79434473765e-08,9.75170341157e-09,3.51977200651e-08,-2.54911704523e-13,1.0471910229e-14,7.41469467205e-14
0.0485,5.90693521042e-09,1.45961417965e-08,7.77581322276e-09,2.8278633782e-08,-2.70611372103e-13,1.41720392991e-14,4.46895734936e-14
0.049,4.50049264877e-09,1.14644014032e-08,5.99131651697e-09,2.19559729632e-08,-2.5312909786e-13,1.55354992491e-14,7.65689527299e-14
0.0495,3.36181339761e-09,8.79137667624e-09,4.51513769199e-09,1.66681264101e-08,-2.15969277832e-13,1.46275199241e-14,7.72595149749e-14
0.05,2.49320887939e-09,6.65974350641e-09,3.36871325115e-09,1.25215057544e-08,-1.72142213933e-13,1.22712021448e-14,6.21965993248e-14
