retention_time_min,uv_mAU
0,0.8273372065
0.01,0.7593039269
0.02,0.7653170616
0.03,0.7789819295
0.04,0.8292105261
0.05,0.8167754108
0.06,0.8176342326
0.07,0.725704303
0.08,0.7725074039
0.09,0.772267405
0.1,0.7676052686
0.11,0.8052238884
0.12,0.7520145531
0.13,0.7996965331
0.14,0.7663253271
0.15,0.730046281
0.16,0.7990930786
0.17,0.7826286763
0.18,0.7838124702
0.19,0.7859792737
0.2,0.7997170612
0.21,0.7767212818
0.22,0.7987155841
0.23,0.7925830769
0.24,0.7611916782
0.25,0.7801899793
0.26,0.8260217577
0.27,0.7502046026
0.28,0.7858786518
0.29,0.7555046268
0.3,0.7981548138
0.31,0.7851492311
0.32,0.7773277055
0.33,0.8047495983
0.34,0.8063738371
0.35,0.7748359921
0.36,0.8042643664
0.37,0.808218306
0.38,0.748260579
0.39,0.7951319491
0.4,0.8437447156
0.41,0.7839619143
0.42,0.7516838177
0.43,0.8221686673
0.44,0.8338306648
0.45,0.8096984649
0.46,0.8360248984
0.47,0.8307619878
0.48,0.7900265256
0.49,0.8547212889
0.5,0.828490075
0.51,0.774898668
0.52,0.7648357557
0.53,0.8022114779
0.54,0.782071963
0.55,0.7871058661
0.56,0.8193874701
0.57,0.8400706193
0.58,0.8099659259
0.59,0.8291968549
0.6,0.8462051625
0.61,0.8448206264
0.62,0.8482696954
0.63,0.8052619391
0.64,0.8409919894
0.65,0.8149715518
0.66,0.8249585263
0.67,0.7868884827
0.68,0.7893281029
0.69,0.7808893108
0.7,0.8382695517
0.71,0.8264198107
0.72,0.8302639966
0.73,0.8427145995
0.74,0.7990819315
0.75,0.8169623568
0.76,0.8471745653
0.77,0.8511611138
0.78,0.8589116918
0.79,0.8534284952
0.8,0.8181028036
0.81,0.8553743118
0.82,0.8337200517
0.83,0.8463924147
0.84,0.883008535
0.85,0.8522292701
0.86,0.9217197583
0.87,0.8735408814
0.88,0.9091619239
0.89,0.8686401719
0.9,0.8847337639
0.91,0.8398927453
0.92,0.8980569656
0.93,0.8764848541
0.94,0.921590894
0.95,0.9292350713
0.96,0.8956437771
0.97,0.9198776223
0.98,0.8927951459
0.99,0.8886862229
1,0.9024244142
1.01,0.9086162604
1.02,0.9203766436
1.03,0.8941621978
1.04,0.9159893601
1.05,0.9395974474
1.06,0.9337659709
1.07,0.9401631625
1.08,0.9378973869
1.09,0.9841581878
1.1,0.9379631421
1.11,0.9735632691
1.12,0.9863971837
1.13,0.9704868968
1.14,1.01552436
1.15,0.9469591068
1.16,0.989276691
1.17,1.005132192
1.18,0.9940864978
1.19,0.9920413226
1.2,1.034490506
1.21,1.039486408
1.22,1.063090202
1.23,1.023245213
1.24,1.046341734
1.25,1.079404235
1.26,1.087352665
1.27,1.096883746
1.28,1.092019863
1.29,1.103290145
1.3,1.157156078
1.31,1.192829401
1.32,1.197519751
1.33,1.230963973
1.34,1.18036363
1.35,1.28205263
1.36,1.24669803
1.37,1.265087227
1.38,1.338728818
1.39,1.33322659
1.4,1.361969244
1.41,1.385860144
1.42,1.41552523
1.43,1.49786244
1.44,1.49379821
1.45,1.520036983
1.46,1.5929939
1.47,1.66077596
1.48,1.722644165
1.49,1.745446047
1.5,1.855077353
1.51,1.983695286
1.52,2.125027954
1.53,2.293982736
1.54,2.507715522
1.55,2.861546745
1.56,3.3138963
1.57,3.923252393
1.58,4.798627447
1.59,5.952008238
1.6,7.610995733
1.61,9.688810326
1.62,12.5232824
1.63,16.03761809
1.64,20.46916417
1.65,25.79945287
1.66,32.22706675
1.67,39.60424541
1.68,47.80651647
1.69,56.79990414
1.7,66.23743885
1.71,75.75203887
1.72,84.95245872
1.73,93.49154724
1.74,100.6309501
1.75,106.1366379
1.76,109.4995316
1.77,110.4695619
1.78,108.9960442
1.79,105.1450207
1.8,99.2681835
1.81,91.70681502
1.82,83.08104549
1.83,73.73963115
1.84,64.17490465
1.85,54.83694102
1.86,46.03892015
1.87,37.93432793
1.88,30.81074192
1.89,24.64793753
1.9,19.44029831
1.91,15.23573564
1.92,11.89365104
1.93,9.294468059
1.94,7.270989673
1.95,5.785468423
1.96,4.645998163
1.97,3.839906219
1.98,3.233130267
1.99,2.797317948
2,2.534814682
2.01,2.267482184
2.02,2.131635681
2.03,2.044428226
2.04,1.896224157
2.05,1.829691557
2.06,1.770625571
2.07,1.732499093
2.08,1.669971868
2.09,1.586411516
2.1,1.600877872
2.11,1.494123009
2.12,1.486453798
2.13,1.451273536
2.14,1.414627224
2.15,1.430585503
2.16,1.338306388
2.17,1.385208443
2.18,1.335032779
2.19,1.346479089
2.2,1.279528781
2.21,1.267551427
2.22,1.273857209
2.23,1.269475658
2.24,1.259913474
2.25,1.270512758
2.26,1.277597648
2.27,1.246714167
2.28,1.242526589
2.29,1.21012842
2.3,1.198902597
2.31,1.183421185
