retention_time_min,uv_mAU
0,0.4223668716
0.01,0.4206698701
0.02,0.3581404521
0.03,0.454642997
0.04,0.3499870592
0.05,0.3892062451
0.06,0.4005229263
0.07,0.37343995
0.08,0.4237694644
0.09,0.3763292967
0.1,0.4071426386
0.11,0.4134742
0.12,0.3989986618
0.13,0.3783837361
0.14,0.4251965653
0.15,0.3688747436
0.16,0.3862003864
0.17,0.3933789576
0.18,0.4170944299
0.19,0.384142312
0.2,0.4330319601
0.21,0.3937144282
0.22,0.4676805054
0.23,0.385911239
0.24,0.3967346117
0.25,0.4249158896
0.26,0.3919649161
0.27,0.4488520521
0.28,0.3997013712
0.29,0.409064284
0.3,0.3887555673
0.31,0.3865422139
0.32,0.3855314525
0.33,0.4109218092
0.34,0.438684082
0.35,0.4573473922
0.36,0.4405720821
0.37,0.3844158113
0.38,0.3955163567
0.39,0.4155962961
0.4,0.4438286208
0.41,0.3974054735
0.42,0.4616682082
0.43,0.428903556
0.44,0.461224577
0.45,0.3799158546
0.46,0.3879120499
0.47,0.4584403312
0.48,0.4546871049
0.49,0.4128742534
0.5,0.4093140307
0.51,0.4587096027
0.52,0.3561270056
0.53,0.4103918848
0.54,0.4108823967
0.55,0.4681725017
0.56,0.4270812598
0.57,0.4374807373
0.58,0.4401353001
0.59,0.4320016904
0.6,0.4229175137
0.61,0.4418945806
0.62,0.4243203017
0.63,0.4203581265
0.64,0.4662933573
0.65,0.4488420456
0.66,0.4581811289
0.67,0.4363162448
0.68,0.4298895416
0.69,0.4208240008
0.7,0.4256654376
0.71,0.4674864686
0.72,0.4006227536
0.73,0.446575846
0.74,0.4903278957
0.75,0.4341013305
0.76,0.4259330463
0.77,0.4445208572
0.78,0.4759721756
0.79,0.4511566229
0.8,0.4460377382
0.81,0.4013509295
0.82,0.4456805589
0.83,0.4539614215
0.84,0.5112977527
0.85,0.4645803979
0.86,0.4724545042
0.87,0.4833621874
0.88,0.4263806949
0.89,0.4391229817
0.9,0.4786997358
0.91,0.4983135546
0.92,0.4767751155
0.93,0.4552457241
0.94,0.4376213712
0.95,0.4573156219
0.96,0.4821985156
0.97,0.4865236183
0.98,0.4431161604
0.99,0.4776013394
1,0.5017757163
1.01,0.4398323324
1.02,0.4422058014
1.03,0.4367679806
1.04,0.4650026662
1.05,0.5165083745
1.06,0.4634120798
1.07,0.4707993171
1.08,0.4514708463
1.09,0.491228566
1.1,0.4808184734
1.11,0.4871381869
1.12,0.5321769662
1.13,0.46888926
1.14,0.4821756593
1.15,0.5054777402
1.16,0.4837954406
1.17,0.5234123738
1.18,0.5147154537
1.19,0.505074534
1.2,0.4854709362
1.21,0.4477617403
1.22,0.5047976999
1.23,0.5273466781
1.24,0.5107484453
1.25,0.497937351
1.26,0.4945674871
1.27,0.5309854748
1.28,0.5127605413
1.29,0.5122627204
1.3,0.5346534906
1.31,0.489183437
1.32,0.579158365
1.33,0.5198077095
1.34,0.5245883401
1.35,0.5514950754
1.36,0.5878379949
1.37,0.5211797545
1.38,0.5324021032
1.39,0.5784318382
1.4,0.5657905546
1.41,0.6089291214
1.42,0.5752540161
1.43,0.5703612303
1.44,0.6178616274
1.45,0.6445769226
1.46,0.6341039738
1.47,0.6343648437
1.48,0.6434335973
1.49,0.661536291
1.5,0.6922302245
1.51,0.6743543669
1.52,0.6352485388
1.53,0.6999623179
1.54,0.7135154191
1.55,0.734215846
1.56,0.7994903666
1.57,0.8325503232
1.58,0.86102365
