retention_time_min,uv_mAU
0,0.6879793383
0.01,0.6988540004
0.02,0.6974813809
0.03,0.7070983604
0.04,0.7236273551
0.05,0.7122673502
0.06,0.70292087
0.07,0.7036002891
0.08,0.699460926
0.09,0.7088469086
0.1,0.7076877661
0.11,0.7075446366
0.12,0.7414696957
0.13,0.7286181992
0.14,0.7282174806
0.15,0.6583785009
0.16,0.696536451
0.17,0.7872891808
0.18,0.7314874432
0.19,0.6880312845
0.2,0.7218718697
0.21,0.741114194
0.22,0.6709692926
0.23,0.7808502804
0.24,0.7161894105
0.25,0.7020977722
0.26,0.7642910307
0.27,0.7620961504
0.28,0.7382552157
0.29,0.7413882356
0.3,0.7541127344
0.31,0.7223210626
0.32,0.7064887548
0.33,0.6893749609
0.34,0.7222510545
0.35,0.7439013162
0.36,0.7383896318
0.37,0.7683984501
0.38,0.7811639365
0.39,0.7230231331
0.4,0.7514717555
0.41,0.7490787174
0.42,0.7083986074
0.43,0.729707588
0.44,0.7548182107
0.45,0.7817719423
0.46,0.7653551009
0.47,0.7624635797
0.48,0.7348030564
0.49,0.754727757
0.5,0.7680335606
0.51,0.7264047524
0.52,0.7612238856
0.53,0.7692691933
0.54,0.7428078077
0.55,0.767709126
0.56,0.7892246879
0.57,0.7851404372
0.58,0.7968525002
0.59,0.7699554371
0.6,0.7811792868
0.61,0.7295174975
0.62,0.8070150986
0.63,0.7836003817
0.64,0.7799649675
0.65,0.8236506825
0.66,0.8011424304
0.67,0.8324679074
0.68,0.8206160369
0.69,0.7867818182
0.7,0.8229478989
0.71,0.8130479769
0.72,0.771464424
0.73,0.8052506249
0.74,0.7882104242
0.75,0.7665419021
0.76,0.8003360458
0.77,0.8133758114
0.78,0.8279892601
0.79,0.8400073788
0.8,0.8264723254
0.81,0.8507082435
0.82,0.8261832056
0.83,0.8220720294
0.84,0.8313573314
0.85,0.8440453512
0.86,0.8578709265
0.87,0.8674162869
0.88,0.8610361996
0.89,0.8709986989
0.9,0.9079052502
0.91,0.8786167735
0.92,0.9018936553
0.93,0.8952760248
0.94,0.8847004769
0.95,0.9073521867
0.96,0.846782614
0.97,0.8864420878
0.98,0.8893860645
0.99,0.9303385634
1,0.8927436487
1.01,0.9486311177
1.02,0.9334368766
1.03,0.9434540047
1.04,0.9247806518
1.05,0.9570878702
1.06,0.918937839
1.07,0.9851051178
1.08,0.9952726448
1.09,0.9512192681
1.1,0.9868619513
1.11,1.016914872
1.12,0.9657594491
1.13,1.020288455
1.14,1.047480023
1.15,1.051272196
1.16,1.062139961
1.17,1.061646479
1.18,1.112160876
1.19,1.121597026
1.2,1.062704859
1.21,1.106696006
1.22,1.156085373
1.23,1.1713307
1.24,1.193875952
1.25,1.170211702
1.26,1.202444084
1.27,1.213679763
1.28,1.241499686
1.29,1.253857428
1.3,1.263174362
1.31,1.296531869
1.32,1.34548693
1.33,1.355599963
1.34,1.423365327
1.35,1.423739441
1.36,1.493842887
1.37,1.519742852
1.38,1.566314145
1.39,1.564168523
1.4,1.658215719
1.41,1.658663075
1.42,1.733566584
1.43,1.811080021
1.44,1.872493214
1.45,1.89754929
1.46,1.949637833
1.47,2.050713558
1.48,2.190379086
1.49,2.276790117
1.5,2.422645867
1.51,2.50294575
1.52,2.660305793
1.53,2.80459522
1.54,2.983251996
1.55,3.211036695
1.56,3.557437994
1.57,3.923909931
1.58,4.47773784
1.59,5.233793498
1.6,6.373420897
1.61,7.908621609
1.62,10.10875818
1.63,13.16191918
1.64,17.35916385
1.65,22.92882161
1.66,30.16748087
1.67,39.36658372
1.68,50.64022104
1.69,63.98979223
1.7,79.28915192
