retention_time_min,uv_mAU
0,0.3394760899
0.01,0.3749819825
0.02,0.3760775082
0.03,0.3797440915
0.04,0.3961567557
0.05,0.333306618
0.06,0.3320433368
0.07,0.3468070198
0.08,0.3686153162
0.09,0.4138768042
0.1,0.3490694168
0.11,0.3655285447
0.12,0.3250854095
0.13,0.3608440483
0.14,0.3555909562
0.15,0.3862100018
0.16,0.3893818216
0.17,0.3407399721
0.18,0.3709831664
0.19,0.4046008358
0.2,0.3776005874
0.21,0.3765233399
0.22,0.3593011414
0.23,0.3497001742
0.24,0.3869786212
0.25,0.3959621778
0.26,0.3703099925
0.27,0.363588638
0.28,0.4165124507
0.29,0.3693586552
0.3,0.3606182679
0.31,0.3833101724
0.32,0.3707669114
0.33,0.3858127867
0.34,0.3749756735
0.35,0.3661079952
0.36,0.3619606014
0.37,0.4211526226
0.38,0.3710162668
0.39,0.3679613913
0.4,0.3544809791
0.41,0.3702490525
0.42,0.375426398
0.43,0.371952284
0.44,0.3636770641
0.45,0.3402851394
0.46,0.3956125488
0.47,0.36658961
0.48,0.3330311992
0.49,0.3541419073
0.5,0.4056157398
0.51,0.3674698326
0.52,0.4089639574
0.53,0.3690287008
0.54,0.350092121
0.55,0.3526947248
0.56,0.3794374525
0.57,0.3692158882
0.58,0.436697803
0.59,0.4382082759
0.6,0.4412934954
0.61,0.4002138839
0.62,0.3531819774
0.63,0.3828969246
0.64,0.4034249281
0.65,0.3517446859
0.66,0.3705663186
0.67,0.3761253932
0.68,0.3919680086
0.69,0.4238845054
0.7,0.3662145688
0.71,0.3375444653
0.72,0.4022027986
0.73,0.3779062263
0.74,0.4033625784
0.75,0.4201740658
0.76,0.3480659676
0.77,0.3663414122
0.78,0.4046808319
0.79,0.4159920635
0.8,0.4079706325
0.81,0.3743389892
0.82,0.4068030217
0.83,0.4219243089
0.84,0.4001943848
0.85,0.3887391432
0.86,0.3745371523
0.87,0.4194945707
0.88,0.3824202636
0.89,0.4138042911
0.9,0.4208735497
0.91,0.4443312308
0.92,0.3963780111
0.93,0.4088651621
0.94,0.4142782305
0.95,0.4068992718
0.96,0.4079740292
0.97,0.4322052919
0.98,0.4093635243
0.99,0.425024552
1,0.394084476
1.01,0.4095134882
1.02,0.4212707666
1.03,0.4226875314
1.04,0.4246897787
1.05,0.4126569594
1.06,0.4030472575
1.07,0.4316532203
1.08,0.4080458592
1.09,0.4540851336
1.1,0.4038745244
1.11,0.4361300128
1.12,0.3861375803
1.13,0.428133945
1.14,0.4639039073
1.15,0.4634973125
1.16,0.4464006456
1.17,0.4557509633
1.18,0.4506718153
1.19,0.4787372442
1.2,0.4473353915
1.21,0.4572357729
1.22,0.4278811242
1.23,0.4441259548
1.24,0.4471686889
1.25,0.490142353
1.26,0.4936512857
1.27,0.4999024334
1.28,0.489494444
1.29,0.4400220865
1.3,0.5178636909
1.31,0.4763827166
1.32,0.448252742
1.33,0.4785270154
1.34,0.5300470812
1.35,0.5469727935
1.36,0.5640222655
1.37,0.5594284135
1.38,0.5034613384
1.39,0.5439177832
1.4,0.5618106872
1.41,0.5739441772
1.42,0.5747939841
1.43,0.520429434
1.44,0.5691081133
1.45,0.6423837441
1.46,0.5914642763
1.47,0.5871502661
