retention_time_min,uv_mAU
0,0.6000120113
0.01,0.6336992964
0.02,0.6587095124
0.03,0.5922875002
0.04,0.6070361411
0.05,0.6191414014
0.06,0.609071043
0.07,0.6518243893
0.08,0.6232004655
0.09,0.6288492425
0.1,0.6475351884
0.11,0.6421060902
0.12,0.6150268529
0.13,0.6153717395
0.14,0.6252734151
0.15,0.6521992029
0.16,0.6253823754
0.17,0.586539368
0.18,0.6323452917
0.19,0.6195379812
0.2,0.6138197464
0.21,0.6448756418
0.22,0.641273029
0.23,0.6430603158
0.24,0.640719824
0.25,0.6388810839
0.26,0.6497395059
0.27,0.6870044658
0.28,0.6522416366
0.29,0.6365204842
0.3,0.6119040149
0.31,0.5654445209
0.32,0.6595932852
0.33,0.6631372261
0.34,0.6398463164
0.35,0.6149512723
0.36,0.6793864824
0.37,0.6070427662
0.38,0.6366660345
0.39,0.6406882432
0.4,0.6149365062
0.41,0.6389708994
0.42,0.6835040169
0.43,0.6578671893
0.44,0.6527442355
0.45,0.6511579779
0.46,0.6632519645
0.47,0.6383914871
0.48,0.6948165432
0.49,0.6393813674
0.5,0.6688552018
0.51,0.6518886556
0.52,0.6874748945
0.53,0.618844172
0.54,0.6684824341
0.55,0.661066276
0.56,0.6666117361
0.57,0.6489863832
0.58,0.6822280946
0.59,0.6581070879
0.6,0.6674869002
0.61,0.6661251613
0.62,0.679626162
0.63,0.6540296858
0.64,0.6746895211
0.65,0.6309792696
0.66,0.6867976253
0.67,0.6373944773
0.68,0.6339025418
0.69,0.6946484931
0.7,0.6532305422
0.71,0.628859126
0.72,0.6559154623
0.73,0.6964649633
0.74,0.6529426846
0.75,0.624016486
0.76,0.6958027053
0.77,0.6979365108
0.78,0.7220786043
0.79,0.7069840045
0.8,0.6583727123
0.81,0.6264917005
0.82,0.6666923534
0.83,0.6692664776
0.84,0.6945004466
0.85,0.6642750677
0.86,0.7176379794
0.87,0.6254525402
0.88,0.6742157024
0.89,0.706097056
0.9,0.6891205064
0.91,0.6491508494
0.92,0.6827994734
0.93,0.6431247347
0.94,0.6895585311
0.95,0.7065542624
0.96,0.6973949147
0.97,0.6830434382
0.98,0.6402721377
0.99,0.6587962145
1,0.7313450092
1.01,0.6937794759
1.02,0.718516494
1.03,0.6986812548
1.04,0.7127349723
1.05,0.7061273671
1.06,0.6859554638
1.07,0.7577423574
1.08,0.7346385436
1.09,0.7014175614
1.1,0.7181555168
1.11,0.6951846372
1.12,0.7251937959
1.13,0.7392663375
1.14,0.7695081328
1.15,0.7663099935
1.16,0.7282548501
1.17,0.7455217903
1.18,0.7882220185
1.19,0.7345662126
1.2,0.726683062
1.21,0.7170603298
1.22,0.7713750272
1.23,0.79022131
1.24,0.7449675343
1.25,0.7345605699
1.26,0.8015487913
1.27,0.8161904164
1.28,0.825655294
1.29,0.7853391842
1.3,0.7839424309
1.31,0.8021567839
1.32,0.819815786
1.33,0.8531566013
1.34,0.8325244183
1.35,0.8117629064
1.36,0.8749326538
1.37,0.8882361899
1.38,0.8756111248
1.39,0.8851944509
1.4,0.8906199971
1.41,0.8513410082
1.42,0.912442644
1.43,0.9359215853
1.44,0.9794880881
1.45,0.9466618432
1.46,0.9633678485
1.47,1.018098718
1.48,1.040135784
1.49,1.0435773
1.5,1.043292415
1.51,1.09142978
1.52,1.093562073
1.53,1.153837731
1.54,1.238148215
1.55,1.331748267
1.56,1.43192847
1.57,1.545291746
1.58,1.738725594
1.59,1.930304057
1.6,2.287108132
1.61,2.651810097
1.62,3.203889976
1.63,3.962431598
1.64,4.923932642
1.65,6.046222881
1.66,7.480376412
1.67,9.160124327
1.68,11.09797226
1.69,13.26421997
1.7,15.61456876
1.71,18.1242331
1.72,20.69193466
1.73,23.17301396
1.74,25.43193858
1.75,27.33638949
1.76,28.71101653
1.77,29.50732312
1.78,29.61274993
1.79,29.01918274
1.8,27.77283645
1.81,26.09406977
1.82,23.96905996
1.83,21.52356219
