retention_time_min,uv_mAU
0,0.1345962065
0.01,0.1313556771
0.02,0.1117735925
0.03,0.1880193039
0.04,0.1411154165
0.05,0.1327530387
0.06,0.1261927887
0.07,0.1077214717
0.08,0.1165229318
0.09,0.08084199155
0.1,0.1549718197
0.11,0.0876717441
0.12,0.1402885898
0.13,0.1576719986
0.14,0.1528389989
0.15,0.1432793051
0.16,0.1293509689
0.17,0.1714540937
0.18,0.1234431934
0.19,0.1399401972
0.2,0.1334717142
0.21,0.1432137518
0.22,0.1120079865
0.23,0.1786107342
0.24,0.1673128884
0.25,0.1461664303
0.26,0.09853294944
0.27,0.1614515492
0.28,0.1789079733
0.29,0.177306501
0.3,0.1632518764
0.31,0.1833766493
0.32,0.154108834
0.33,0.1257130495
0.34,0.1497393331
0.35,0.1780093947
0.36,0.12895979
0.37,0.1892058532
0.38,0.1899310405
0.39,0.1984922022
0.4,0.1364966587
0.41,0.1433595888
0.42,0.1601626358
0.43,0.1295085783
0.44,0.1266840537
0.45,0.08402664218
0.46,0.1298514725
0.47,0.1881991012
0.48,0.153069238
0.49,0.1785030709
0.5,0.1419839911
0.51,0.1549530419
0.52,0.1291660956
0.53,0.1332363714
0.54,0.1630578389
0.55,0.1437672534
0.56,0.1508351213
0.57,0.149727626
0.58,0.1333078186
0.59,0.1782170014
0.6,0.1529241166
0.61,0.1549524086
0.62,0.09646866807
0.63,0.1845163292
0.64,0.133362693
0.65,0.175700036
0.66,0.1315231298
0.67,0.1246289868
0.68,0.171698389
0.69,0.1589105565
0.7,0.1257835266
0.71,0.1521301475
0.72,0.1718334384
0.73,0.1761747722
0.74,0.1578366091
0.75,0.1802757057
0.76,0.119479555
0.77,0.1564242439
0.78,0.1579378497
0.79,0.1364371117
0.8,0.1869423282
0.81,0.1313929461
0.82,0.166946408
0.83,0.1682216927
0.84,0.1547656831
0.85,0.139835838
0.86,0.1905430204
0.87,0.1956220837
0.88,0.1566371607
0.89,0.1345371937
0.9,0.1242179988
0.91,0.1616315095
0.92,0.1497118102
0.93,0.1243802141
0.94,0.2314351593
0.95,0.1601385766
0.96,0.1417298431
0.97,0.2284490766
0.98,0.1806574377
0.99,0.1468103076
1,0.09717982783
1.01,0.17614483
1.02,0.1389564351
1.03,0.1593136949
1.04,0.1713027013
1.05,0.1884066005
1.06,0.1967003078
1.07,0.1606465715
1.08,0.1553439699
1.09,0.1438405186
1.1,0.183194498
1.11,0.1832295885
1.12,0.1657746816
1.13,0.1783369772
1.14,0.1864727975
1.15,0.1688825358
1.16,0.1766456806
1.17,0.1658211582
1.18,0.1552593605
1.19,0.1872795144
1.2,0.1219137638
1.21,0.1793089911
1.22,0.2070541824
1.23,0.1593531839
1.24,0.1906368289
1.25,0.1946296163
1.26,0.1774815556
1.27,0.1561470995
1.28,0.1683138595
1.29,0.1968428051
1.3,0.2072264822
1.31,0.2071461272
1.32,0.2105535473
1.33,0.1813743675
1.34,0.1528829809
1.35,0.2087557031
1.36,0.217313965
1.37,0.2270059102
1.38,0.1581130323
1.39,0.1880438595
1.4,0.225958011
1.41,0.2240425925
1.42,0.268378986
1.43,0.2183348115
1.44,0.2132263158
1.45,0.2136218358
1.46,0.2361269569
1.47,0.2643948822
1.48,0.2402702364
1.49,0.2814494265
1.5,0.2941044306
1.51,0.2500104327
1.52,0.2770808674
1.53,0.2399077969
1.54,0.3067004634
1.55,0.2810401651
1.56,0.3076413896
1.57,0.3412738771
1.58,0.306570338
1.59,0.3625342037
1.6,0.4460755507
1.61,0.4664644843
1.62,0.5225606197
1.63,0.6000343033
1.64,0.7533680972
1.65,1.020838573
1.66,1.362868332
1.67,1.788667305
1.68,2.429244993
1.69,3.263566108
1.7,4.418308922
1.71,5.781072341
1.72,7.616367873
1.73,9.709573286
1.74,12.09160243
1.75,14.76244419
1.76,17.51911536
1.77,20.42464558
1.78,23.14471137
1.79,25.58097623
1.8,27.51591198
1.81,28.8110559
1.82,29.30620395
1.83,29.03108178
1.84,27.97608972
1.85,26.25760558
1.86,24.00551201
1.87,21.30794449
1.88,18.50780443
1.89,15.6840233
1.9,12.93477582
1.91,10.38811557
1.92,8.254736346
1.93,6.398672581
1.94,4.832730845
1.95,3.632116601
1.96,2.637617603
1.97,1.957226181
1.98,1.43942931
1.99,1.114136489
2,0.909812887
2.01,0.7142855741
2.02,0.540826017
2.03,0.5089049244
2.04,0.437986387
2.05,0.4355143698
2.06,0.3235762866
2.07,0.3742704326
2.08,0.3350464164
2.09,0.2779704931
2.1,0.302904491
2.11,0.3197982539
2.12,0.3099286364
2.13,0.3071068275
2.14,0.2569622004
2.15,0.2499151435
2.16,0.2614061582
2.17,0.3021534367
2.18,0.3065156894
2.19,0.2874827648
2.2,0.2488288548
2.21,0.2556578588
2.22,0.2700824763
2.23,0.2847191989
2.24,0.2131923819
2.25,0.2437886423
2.26,0.2087031995
2.27,0.280911926
2.28,0.1940448107
2.29,0.2350810957
2.3,0.2565515188
2.31,0.226899061
2.32,0.2592814764
2.33,0.2391923399
2.34,0.207524903
