retention_time_min,uv_mAU
0,0.1995788626
0.01,0.2448276485
0.02,0.210879492
0.03,0.1863052055
0.04,0.2320433012
0.05,0.2743634757
0.06,0.2587883225
0.07,0.2485957962
0.08,0.2211161368
0.09,0.2753633789
0.1,0.1986003337
0.11,0.274068037
0.12,0.2400895791
0.13,0.2465617646
0.14,0.2288141
0.15,0.2435945614
0.16,0.2245803187
0.17,0.2422589272
0.18,0.2382619561
0.19,0.2662217619
0.2,0.2420495696
0.21,0.2478271965
0.22,0.2158097211
0.23,0.2539547776
0.24,0.2548593899
0.25,0.2510281765
0.26,0.2576035765
0.27,0.241419836
0.28,0.2491152762
0.29,0.2423586098
0.3,0.2125864641
0.31,0.2180590891
0.32,0.2386281193
0.33,0.2605144908
0.34,0.2933617521
0.35,0.2171456646
0.36,0.3047839729
0.37,0.1936274843
0.38,0.2519584283
0.39,0.2686950182
0.4,0.2131220421
0.41,0.2558170801
0.42,0.2249850076
0.43,0.2691302772
0.44,0.2317160831
0.45,0.2698961364
0.46,0.2161357653
0.47,0.2388427184
0.48,0.2358414042
0.49,0.2050568533
0.5,0.2335892954
0.51,0.2712072278
0.52,0.2178361034
0.53,0.2561891174
0.54,0.2205979984
0.55,0.259971119
0.56,0.279542412
0.57,0.2277575602
0.58,0.2879827414
0.59,0.2465093471
0.6,0.2449127438
0.61,0.2959414938
0.62,0.3196382077
0.63,0.2837254791
0.64,0.2663485646
0.65,0.2397417692
0.66,0.2386298283
0.67,0.273471847
0.68,0.2799288465
0.69,0.3139916057
0.7,0.2750562174
0.71,0.2774494002
0.72,0.3137436978
0.73,0.2330555119
0.74,0.3351892345
0.75,0.2871323112
0.76,0.2369432562
0.77,0.3305530491
0.78,0.3109807926
0.79,0.3185593999
0.8,0.3460675081
0.81,0.315275775
0.82,0.293117659
0.83,0.3570189378
0.84,0.3058983214
0.85,0.3080405336
0.86,0.2897541719
0.87,0.3005569028
0.88,0.3099542107
0.89,0.298136275
0.9,0.3064827237
0.91,0.2893645168
0.92,0.3334268592
0.93,0.3338713184
0.94,0.3890607497
0.95,0.3508892638
0.96,0.2982731938
0.97,0.3505763005
0.98,0.3136394887
0.99,0.351256136
1,0.3354721302
1.01,0.3706220892
1.02,0.3021878344
1.03,0.3304014491
1.04,0.3380149858
1.05,0.3602921529
1.06,0.3771221538
1.07,0.3502844737
1.08,0.3468609772
1.09,0.3452351456
1.1,0.4106827875
1.11,0.3905329298
1.12,0.3944155027
1.13,0.4263456387
1.14,0.3873639864
1.15,0.4589481151
1.16,0.3915178601
1.17,0.4040721696
1.18,0.4814853784
1.19,0.4279368582
1.2,0.4431671473
1.21,0.4720050141
1.22,0.4508676478
1.23,0.4804384032
1.24,0.4862029192
1.25,0.4697362662
1.26,0.5038019165
1.27,0.5261886671
1.28,0.508289543
1.29,0.5541579592
1.3,0.5626335617
1.31,0.5647916127
1.32,0.5553099075
1.33,0.5817780661
1.34,0.593183161
1.35,0.6139271729
1.36,0.6497869289
1.37,0.6459828623
1.38,0.6506224884
1.39,0.7192155254
1.4,0.7298854687
1.41,0.8051893248
1.42,0.7822857146
1.43,0.811915559
1.44,0.8302376275
1.45,0.8509766606
1.46,0.949291792
1.47,0.9657585409
1.48,1.025517103
1.49,1.105378572
1.5,1.140087712
1.51,1.173956581
1.52,1.263671223
1.53,1.389028571
1.54,1.454652946
1.55,1.589040995
1.56,1.760137639
1.57,1.947493319
1.58,2.226220061
1.59,2.628085353
1.6,3.202150634
1.61,3.988994891
1.62,5.166959459
1.63,6.885403781
1.64,9.274822183
1.65,12.60009401
1.66,17.03025633
1.67,22.79249929
1.68,30.01436578
1.69,38.73377039
1.7,49.04011556
1.71,60.55886382
1.72,73.13555207
1.73,85.98438118
1.74,98.4454845
1.75,109.7832136
1.76,119.0228578
1.77,125.3381106
1.78,128.0109127
1.79,126.8785627
1.8,121.9266964
1.81,113.8199475
1.82,103.2217993
1.83,91.12382619
1.84,78.33576531
1.85,65.61391427
1.86,53.58881409
1.87,42.72974806
1.88,33.39329511
1.89,25.54073831
1.9,19.22436639
1.91,14.26344953
