retention_time_min,uv_mAU
0,0.7591017288
0.01,0.7851877882
0.02,0.7546429216
0.03,0.7625240027
0.04,0.7707885709
0.05,0.7328864383
0.06,0.7645012578
0.07,0.7773571066
0.08,0.7614014116
0.09,0.7439872564
0.1,0.7873017779
0.11,0.7236412612
0.12,0.7788917956
0.13,0.717325926
0.14,0.789145326
0.15,0.7593207413
0.16,0.7611459759
0.17,0.7555960334
0.18,0.7488471314
0.19,0.7499618792
0.2,0.8264593058
0.21,0.7210569823
0.22,0.7663125074
0.23,0.7663269696
0.24,0.786280911
0.25,0.8103495145
0.26,0.7626822093
0.27,0.7876769097
0.28,0.7918522595
0.29,0.7761870763
0.3,0.7698931802
0.31,0.7084443676
0.32,0.7588506956
0.33,0.7476027167
0.34,0.8031653272
0.35,0.7533232335
0.36,0.78784003
0.37,0.7813038768
0.38,0.7710813806
0.39,0.7816430404
0.4,0.79683812
0.41,0.7805425984
0.42,0.7747178644
0.43,0.7812809577
0.44,0.7437802801
0.45,0.811436054
0.46,0.763668122
0.47,0.7646694472
0.48,0.742822977
0.49,0.7840577892
0.5,0.7819197115
0.51,0.8138442705
0.52,0.7227716897
0.53,0.7879987988
0.54,0.7541405602
0.55,0.7863537478
0.56,0.7734407091
0.57,0.8143093548
0.58,0.7576759028
0.59,0.8017457938
0.6,0.8197559584
0.61,0.8042157339
0.62,0.7715531114
0.63,0.7763944904
0.64,0.7647754153
0.65,0.8138153194
0.66,0.8107626062
0.67,0.7892627949
0.68,0.8775246671
0.69,0.7933596295
0.7,0.7758880344
0.71,0.8058049711
0.72,0.8009382028
0.73,0.8028244911
0.74,0.7840302774
0.75,0.8086966328
0.76,0.8222892863
0.77,0.7586430759
0.78,0.8142692494
0.79,0.7786934614
0.8,0.831875478
0.81,0.7431746476
0.82,0.8398084792
0.83,0.8303395956
0.84,0.7711468762
0.85,0.8247889442
0.86,0.823502451
0.87,0.8595459063
0.88,0.7996847116
0.89,0.816759213
0.9,0.840545144
0.91,0.7915310016
0.92,0.8231969951
0.93,0.8406675762
0.94,0.8714697957
0.95,0.8182553167
0.96,0.8288751982
0.97,0.8528137815
0.98,0.7790009302
0.99,0.8088376331
1,0.8555362616
1.01,0.8368693768
1.02,0.8185747026
1.03,0.8237609859
1.04,0.82365197
1.05,0.8866943039
1.06,0.8533835521
1.07,0.8695790081
1.08,0.8235152426
1.09,0.8747162777
1.1,0.8767435494
1.11,0.8869185622
1.12,0.8372428479
1.13,0.8412534655
1.14,0.8555207316
1.15,0.8690909468
1.16,0.8396438565
1.17,0.8673202276
1.18,0.8563387099
1.19,0.8437042259
1.2,0.8720197147
1.21,0.9073082031
1.22,0.8879489946
1.23,0.862113527
1.24,0.8821773537
1.25,0.8797880281
1.26,0.8929128364
1.27,0.9373821748
1.28,0.910360063
1.29,0.9212978973
1.3,0.9192382757
1.31,0.9416638739
1.32,0.9769387784
1.33,0.9187272395
1.34,0.9487327484
1.35,0.964365443
1.36,0.9710872799
1.37,0.995452422
1.38,1.008206702
1.39,0.9829547712
1.4,0.9851639551
1.41,1.067715101
1.42,1.059529622
1.43,1.049496491
1.44,1.025281406
1.45,1.029764438
1.46,1.080265789
1.47,1.160384297
1.48,1.166003366
1.49,1.171224506
1.5,1.143759908
1.51,1.214255568
1.52,1.231763442
1.53,1.285655007
1.54,1.302598054
1.55,1.365903054
1.56,1.403470537
1.57,1.507506812
1.58,1.593765571
1.59,1.761107712
1.6,1.999173151
1.61,2.264800292
1.62,2.725045702
1.63,3.36735323
1.64,4.230381634
1.65,5.519994382
1.66,7.185178454
1.67,9.429890857
1.68,12.21746526
1.69,15.57732577
1.7,19.63311653
1.71,24.18343054
1.72,29.24900915
1.73,34.40975405
1.74,39.61128714
1.75,44.39524437
1.76,48.56192149
1.77,51.51656201
1.78,53.19468517
1.79,53.28096032
1.8,51.80418167
1.81,48.99124363
1.82,44.99504132
1.83,40.30350779
1.84,35.13393614
1.85,29.88620086
1.86,24.82916765
1.87,20.23959909
1.88,16.12103526
1.89,12.57246925
1.9,9.767879128
1.91,7.484862572
1.92,5.708082484
1.93,4.450343984
1.94,3.52024327
1.95,2.789218887
