condition_id,ligand_id,ligand_index,metal_index,base_index,solvent_index,metal,base,solvent,demo_liquid_envelope,wet_lab_approved,requested_reaction_temperature_C,provenance
0,L01,0,0,0,0,CuI,DBU,ethanol,True,False,60.0,virtual_design
1,L01,0,0,0,1,CuI,DBU,acetonitrile,True,False,60.0,virtual_design
2,L01,0,0,0,2,CuI,DBU,toluene,True,False,60.0,virtual_design
3,L01,0,0,0,3,CuI,DBU,DMF,True,False,60.0,virtual_design
4,L01,0,0,1,0,CuI,DIPEA,ethanol,True,False,60.0,virtual_design
5,L01,0,0,1,1,CuI,DIPEA,acetonitrile,True,False,60.0,virtual_design
6,L01,0,0,1,2,CuI,DIPEA,toluene,True,False,60.0,virtual_design
7,L01,0,0,1,3,CuI,DIPEA,DMF,True,False,60.0,virtual_design
8,L01,0,0,2,0,CuI,triethylamine,ethanol,True,False,60.0,virtual_design
9,L01,0,0,2,1,CuI,triethylamine,acetonitrile,True,False,60.0,virtual_design
10,L01,0,0,2,2,CuI,triethylamine,toluene,True,False,60.0,virtual_design
11,L01,0,0,2,3,CuI,triethylamine,DMF,True,False,60.0,virtual_design
12,L01,0,0,3,0,CuI,pyridine,ethanol,True,False,60.0,virtual_design
13,L01,0,0,3,1,CuI,pyridine,acetonitrile,True,False,60.0,virtual_design
14,L01,0,0,3,2,CuI,pyridine,toluene,True,False,60.0,virtual_design
15,L01,0,0,3,3,CuI,pyridine,DMF,True,False,60.0,virtual_design
16,L01,0,0,4,0,CuI,DABCO,ethanol,True,False,60.0,virtual_design
17,L01,0,0,4,1,CuI,DABCO,acetonitrile,True,False,60.0,virtual_design
18,L01,0,0,4,2,CuI,DABCO,toluene,True,False,60.0,virtual_design
19,L01,0,0,4,3,CuI,DABCO,DMF,True,False,60.0,virtual_design
20,L01,0,0,5,0,CuI,K2CO3,ethanol,False,False,60.0,virtual_design
21,L01,0,0,5,1,CuI,K2CO3,acetonitrile,False,False,60.0,virtual_design
22,L01,0,0,5,2,CuI,K2CO3,toluene,False,False,60.0,virtual_design
23,L01,0,0,5,3,CuI,K2CO3,DMF,False,False,60.0,virtual_design
24,L01,0,0,6,0,CuI,KOtBu,ethanol,False,False,60.0,virtual_design
25,L01,0,0,6,1,CuI,KOtBu,acetonitrile,False,False,60.0,virtual_design
26,L01,0,0,6,2,CuI,KOtBu,toluene,False,False,60.0,virtual_design
27,L01,0,0,6,3,CuI,KOtBu,DMF,False,False,60.0,virtual_design
28,L01,0,0,7,0,CuI,NaOtBu,ethanol,False,False,60.0,virtual_design
29,L01,0,0,7,1,CuI,NaOtBu,acetonitrile,False,False,60.0,virtual_design
30,L01,0,0,7,2,CuI,NaOtBu,toluene,False,False,60.0,virtual_design
31,L01,0,0,7,3,CuI,NaOtBu,DMF,False,False,60.0,virtual_design
32,L01,0,1,0,0,Cu(OAc)2,DBU,ethanol,True,False,60.0,virtual_design
33,L01,0,1,0,1,Cu(OAc)2,DBU,acetonitrile,True,False,60.0,virtual_design
34,L01,0,1,0,2,Cu(OAc)2,DBU,toluene,True,False,60.0,virtual_design
35,L01,0,1,0,3,Cu(OAc)2,DBU,DMF,True,False,60.0,virtual_design
36,L01,0,1,1,0,Cu(OAc)2,DIPEA,ethanol,True,False,60.0,virtual_design
