round,well,condition_id,ligand_id,metal,base,solvent,source_catalyst_plate,source_base_plate,source_solvent_plate,substrate_uL,catalyst_ligand_premix_uL,base_uL,makeup_solvent_uL,total_uL,substrate_stock_mM,catalyst_metal_equivalent_mM,ligand_stock_mM,base_stock_mM,simulated_substrate_nmol,source_premix_load_uL,source_base_load_uL,source_solvent_load_uL,predicted_yield_pct,predicted_ee_abs_pct,chemistry_approved,provenance
3,A1,3168,L17,[Ir(COD)Cl]2,DBU,ethanol,A1,A1,A1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,97.51117927764022,97.50062101981379,False,simulation_plan
3,B1,7944,L42,[Rh(COD)Cl]2,triethylamine,ethanol,B1,B1,B1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,96.85972033903032,97.02983018898908,False,simulation_plan
3,C1,5698,L30,[Ru(p-cymene)Cl2]2,DBU,toluene,C1,C1,C1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.22994028426182,96.18152930802948,False,simulation_plan
3,D1,7936,L42,[Rh(COD)Cl]2,DBU,ethanol,D1,D1,D1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,96.16753854118743,96.98051625177824,False,simulation_plan
3,E1,6028,L32,[Rh(COD)Cl]2,pyridine,ethanol,E1,E1,E1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.75922673122056,97.02494586214594,False,simulation_plan
3,F1,3176,L17,[Ir(COD)Cl]2,triethylamine,ethanol,F1,F1,F1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,96.412183178916,95.99440890365355,False,simulation_plan
3,G1,5651,L30,[Rh(COD)Cl]2,DABCO,DMF,G1,G1,G1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.45481512402137,96.11149580549541,False,simulation_plan
3,H1,7947,L42,[Rh(COD)Cl]2,triethylamine,DMF,H1,H1,H1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.18633043815942,95.0146448322436,False,simulation_plan
3,A2,3169,L17,[Ir(COD)Cl]2,DBU,acetonitrile,A2,A2,A2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.3435233665652,95.54490305211353,False,simulation_plan
3,B2,5568,L30,CuI,DBU,ethanol,B2,B2,B2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.21000880250071,95.71308151609222,False,simulation_plan
3,C2,7968,L42,[Ir(COD)Cl]2,DBU,ethanol,C2,C2,C2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.80453793249353,94.72991831298623,False,simulation_plan
3,D2,5122,L27,[Ru(p-cymene)Cl2]2,DBU,toluene,D2,D2,D2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.30223332203752,95.72699843813321,False,simulation_plan
3,E2,2784,L15,[Ir(COD)Cl]2,DBU,ethanol,E2,E2,E2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.02746667135524,94.35959952765067,False,simulation_plan
3,F2,3136,L17,[Rh(COD)Cl]2,DBU,ethanol,F2,F2,F2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.39001392987956,95.67134287998573,False,simulation_plan
3,G2,5459,L29,[Rh(COD)Cl]2,DABCO,DMF,G2,G2,G2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.6821512148482,96.43577376747808,False,simulation_plan
3,H2,5314,L28,[Ru(p-cymene)Cl2]2,DBU,toluene,H2,H2,H2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.9726859027509,95.53540789742088,False,simulation_plan
3,A3,8000,L42,[Ru(p-cymene)Cl2]2,DBU,ethanol,A3,A3,A3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.65339770461559,94.89042210021634,False,simulation_plan
3,B3,3360,L18,[Ir(COD)Cl]2,DBU,ethanol,B3,B3,B3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.9687482738894,95.51055511086695,False,simulation_plan
3,C3,3171,L17,[Ir(COD)Cl]2,DBU,DMF,C3,C3,C3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.40466421518951,94.36971442540977,False,simulation_plan
3,D3,7560,L40,[Rh(COD)Cl]2,triethylamine,ethanol,D3,D3,D3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.7867122740375,95.51532473424612,False,simulation_plan
