condition_id,catalyst_id,pair_id,catalyst_family,substrate_id,substrate_family,solvent,temperature_K,imine_M,HE_equiv,catalyst_molpercent,split,condition_origin,signed_ee,absolute_product
C01_axis_positive_I01_toluene,C01_axis_positive,C01,phenyl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_positive_I01_dichloromethane,C01_axis_positive,C01,phenyl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_positive_I02_toluene,C01_axis_positive,C01,phenyl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_positive_I02_dichloromethane,C01_axis_positive,C01,phenyl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_positive_I03_toluene,C01_axis_positive,C01,phenyl,I03,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_positive_I03_dichloromethane,C01_axis_positive,C01,phenyl,I03,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_positive_I04_toluene,C01_axis_positive,C01,phenyl,I04,naphthyl_ketimine,toluene,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_positive_I04_dichloromethane,C01_axis_positive,C01,phenyl,I04,naphthyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,test_substrate,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_negative_I01_toluene,C01_axis_negative,C01,phenyl,I01,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_negative_I01_dichloromethane,C01_axis_negative,C01,phenyl,I01,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_negative_I02_toluene,C01_axis_negative,C01,phenyl,I02,phenyl_ketimine,toluene,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
C01_axis_negative_I02_dichloromethane,C01_axis_negative,C01,phenyl,I02,phenyl_ketimine,dichloromethane,298.15,0.1,1.2,5.0,train,proposed_not_literature_reproduction,,selectivity_undetermined
