curve_id,sheet,excel_row,excel_potential_column,excel_current_column,potential_V_NHE,current_mA_cm2
before_crosspanel_iR_corrected,2a,3,1,2,1.25024,0.88025
before_crosspanel_iR_corrected,2a,4,1,2,1.25122,1.36909
before_crosspanel_iR_corrected,2a,5,1,2,1.2522,1.87648
before_crosspanel_iR_corrected,2a,6,1,2,1.25316,2.40289
before_crosspanel_iR_corrected,2a,7,1,2,1.25413,2.94843
before_crosspanel_iR_corrected,2a,8,1,2,1.2551,3.51372
before_crosspanel_iR_corrected,2a,9,1,2,1.25606,4.09923
before_crosspanel_iR_corrected,2a,10,1,2,1.25701,4.70611
before_crosspanel_iR_corrected,2a,11,1,2,1.258,5.33466
before_crosspanel_iR_corrected,2a,12,1,2,1.25901,5.98517
before_crosspanel_iR_corrected,2a,13,1,2,1.25996,6.65878
before_crosspanel_iR_corrected,2a,14,1,2,1.26088,7.35502
before_crosspanel_iR_corrected,2a,15,1,2,1.2619,8.07458
before_crosspanel_iR_corrected,2a,16,1,2,1.26285,8.81804
before_crosspanel_iR_corrected,2a,17,1,2,1.26382,9.5855
before_crosspanel_iR_corrected,2a,18,1,2,1.26478,10.37818
before_crosspanel_iR_corrected,2a,19,1,2,1.26573,11.19694
before_crosspanel_iR_corrected,2a,20,1,2,1.26672,12.0408
before_crosspanel_iR_corrected,2a,21,1,2,1.2677,12.91006
before_crosspanel_iR_corrected,2a,22,1,2,1.26864,13.80614
before_crosspanel_iR_corrected,2a,23,1,2,1.2696,14.73072
before_crosspanel_iR_corrected,2a,24,1,2,1.2706,15.68513
before_crosspanel_iR_corrected,2a,25,1,2,1.27156,16.66971
before_crosspanel_iR_corrected,2a,26,1,2,1.27252,17.68511
before_crosspanel_iR_corrected,2a,27,1,2,1.27348,18.7321
before_crosspanel_iR_corrected,2a,28,1,2,1.27445,19.81024
before_crosspanel_iR_corrected,2a,29,1,2,1.2754,20.91914
before_crosspanel_iR_corrected,2a,30,1,2,1.27636,22.05986
before_crosspanel_iR_corrected,2a,31,1,2,1.27731,23.23243
before_crosspanel_iR_corrected,2a,32,1,2,1.27827,24.43723
before_crosspanel_iR_corrected,2a,33,1,2,1.27923,25.67533
before_crosspanel_iR_corrected,2a,34,1,2,1.28018,26.94843
before_crosspanel_iR_corrected,2a,35,1,2,1.28114,28.25442
before_crosspanel_iR_corrected,2a,36,1,2,1.28209,29.59298
before_crosspanel_iR_corrected,2a,37,1,2,1.28305,30.96581
before_crosspanel_iR_corrected,2a,38,1,2,1.28401,32.37546
before_crosspanel_iR_corrected,2a,39,1,2,1.28497,33.82309
before_crosspanel_iR_corrected,2a,40,1,2,1.28592,35.30821
before_crosspanel_iR_corrected,2a,41,1,2,1.28686,36.83072
before_crosspanel_iR_corrected,2a,42,1,2,1.28782,38.39228
before_crosspanel_iR_corrected,2a,43,1,2,1.28877,39.99245
before_crosspanel_iR_corrected,2a,44,1,2,1.28972,41.63201
before_crosspanel_iR_corrected,2a,45,1,2,1.29068,43.31302
before_crosspanel_iR_corrected,2a,46,1,2,1.29164,45.03781
before_crosspanel_iR_corrected,2a,47,1,2,1.2926,46.80596
before_crosspanel_iR_corrected,2a,48,1,2,1.29356,48.61784
before_crosspanel_iR_corrected,2a,49,1,2,1.2945,50.47272
before_crosspanel_iR_corrected,2a,50,1,2,1.29545,52.3724
before_crosspanel_iR_corrected,2a,51,1,2,1.29639,54.31711
before_crosspanel_iR_corrected,2a,52,1,2,1.29734,56.307
before_crosspanel_iR_corrected,2a,53,1,2,1.29832,58.34311
before_crosspanel_iR_corrected,2a,54,1,2,1.29926,60.42516
before_crosspanel_iR_corrected,2a,55,1,2,1.30022,62.55213
before_crosspanel_iR_corrected,2a,56,1,2,1.30117,64.72372
before_crosspanel_iR_corrected,2a,57,1,2,1.30211,66.94023
before_crosspanel_iR_corrected,2a,58,1,2,1.30305,69.20295
before_crosspanel_iR_corrected,2a,59,1,2,1.30398,71.51204
before_crosspanel_iR_corrected,2a,60,1,2,1.3049,73.86701
before_crosspanel_iR_corrected,2a,61,1,2,1.30587,76.26836
before_crosspanel_iR_corrected,2a,62,1,2,1.30681,78.71796
before_crosspanel_iR_corrected,2a,63,1,2,1.30776,81.21405
before_crosspanel_iR_corrected,2a,64,1,2,1.30868,83.75526
before_crosspanel_iR_corrected,2a,65,1,2,1.30962,86.3411
before_crosspanel_iR_corrected,2a,66,1,2,1.31055,88.97563
before_crosspanel_iR_corrected,2a,67,1,2,1.31148,91.65871
before_crosspanel_iR_corrected,2a,68,1,2,1.31238,94.39038
before_crosspanel_iR_corrected,2a,69,1,2,1.31331,97.1697
before_crosspanel_iR_corrected,2a,70,1,2,1.31423,99.99739
