sheet,excel_row,time_h,quantity,unit,mean,sd,reported_n,raw_replicates,pairing
2e,2,0,Cl2_production,mol,0,0,4,not_available,not_available
2e,3,1,Cl2_production,mol,0.01382,0.000348265,4,not_available,not_available
2e,4,2,Cl2_production,mol,0.02784,0.00128,4,not_available,not_available
2e,5,3,Cl2_production,mol,0.04238,0.00147,4,not_available,not_available
2e,6,4,Cl2_production,mol,0.05333,0.00236,4,not_available,not_available
2e,7,5,Cl2_production,mol,0.07118,0.0017,4,not_available,not_available
2e,8,6,Cl2_production,mol,0.08284,0.00226,4,not_available,not_available
2e,9,7,Cl2_production,mol,0.09691,0.00467,4,not_available,not_available
2e,10,8,Cl2_production,mol,0.111,0.00494,4,not_available,not_available
2e,11,9,Cl2_production,mol,0.12534,0.00626,4,not_available,not_available
2e,12,10,Cl2_production,mol,0.14084,0.00336,4,not_available,not_available
2e,13,11,Cl2_production,mol,0.14663,0.00555,4,not_available,not_available
2e,14,12,Cl2_production,mol,0.16362,0.00616,4,not_available,not_available
2e,15,13,Cl2_production,mol,0.17989,0.00551,4,not_available,not_available
2e,16,14,Cl2_production,mol,0.19567,0.00921,4,not_available,not_available
2e,17,15,Cl2_production,mol,0.21195,0.00576,4,not_available,not_available
2e,18,16,Cl2_production,mol,0.22215,0.00856,4,not_available,not_available
2e,19,17,Cl2_production,mol,0.23592,0.00669,4,not_available,not_available
2e,20,18,Cl2_production,mol,0.25679,0.01038,4,not_available,not_available
2e,21,19,Cl2_production,mol,0.26008,0.00964,4,not_available,not_available
2e,22,20,Cl2_production,mol,0.27759,0.01035,4,not_available,not_available
2e,23,21,Cl2_production,mol,0.28778,0.00821,4,not_available,not_available
2e,24,22,Cl2_production,mol,0.30169,0.00966,4,not_available,not_available
2e,25,23,Cl2_production,mol,0.32658,0.01186,4,not_available,not_available
2e,26,24,Cl2_production,mol,0.33819,0.00708,4,not_available,not_available
2f,2,0,FE,percent,99.85532,0.03677,4,not_available,not_available
2f,3,1,FE,percent,99.78996,0.01995,4,not_available,not_available
2f,4,2,FE,percent,99.7964,0.01752,4,not_available,not_available
2f,5,3,FE,percent,99.78813,0.01675,4,not_available,not_available
2f,6,4,FE,percent,99.79674,0.01867,4,not_available,not_available
2f,7,5,FE,percent,99.78753,0.02326,4,not_available,not_available
2f,8,6,FE,percent,99.79169,0.01855,4,not_available,not_available
2f,9,7,FE,percent,99.80044,0.00759,4,not_available,not_available
2f,10,8,FE,percent,99.79184,0.01988,4,not_available,not_available
2f,11,9,FE,percent,99.79523,0.0162,4,not_available,not_available
2f,12,10,FE,percent,99.79233,0.0216,4,not_available,not_available
2f,13,11,FE,percent,99.78561,0.02495,4,not_available,not_available
2f,14,12,FE,percent,99.79193,0.01357,4,not_available,not_available
2f,15,13,FE,percent,99.78944,0.02178,4,not_available,not_available
2f,16,14,FE,percent,99.78547,0.01882,4,not_available,not_available
2f,17,15,FE,percent,99.78712,0.01421,4,not_available,not_available
2f,18,16,FE,percent,99.7924,0.01187,4,not_available,not_available
2f,19,17,FE,percent,99.7964,0.02825,4,not_available,not_available
2f,20,18,FE,percent,99.79623,0.01283,4,not_available,not_available
2f,21,19,FE,percent,99.79057,0.01915,4,not_available,not_available
2f,22,20,FE,percent,99.79029,0.0133,4,not_available,not_available
2f,23,21,FE,percent,99.80773,0.01561,4,not_available,not_available
2f,24,22,FE,percent,99.79258,0.01506,4,not_available,not_available
2f,25,23,FE,percent,99.80087,0.02163,4,not_available,not_available
2f,26,24,FE,percent,99.79236,0.01859,4,not_available,not_available
