baseline,comparison,current_mA_cm2,coordinate_difference_mV,scientific_interpretation
after100h_iR_unverified,after200h_iR_unverified,10,24.933402463786614,descriptive_sharedpanel_coordinate_change_not_calibrated_kinetics
before_crosspanel_iR_corrected,after200h_iR_unverified,10,-26.755612050938016,crosspanel_sensitivity_only_zero_hour_pairing_not_established
before_crosspanel_uncorrected,after200h_iR_unverified,10,-26.956528435859937,crosspanel_sensitivity_only_zero_hour_pairing_not_established
after100h_iR_unverified,after200h_iR_unverified,50,28.25024387952979,descriptive_sharedpanel_coordinate_change_not_calibrated_kinetics
before_crosspanel_iR_corrected,after200h_iR_unverified,50,-32.90859700500648,crosspanel_sensitivity_only_zero_hour_pairing_not_established
before_crosspanel_uncorrected,after200h_iR_unverified,50,-34.393305881052385,crosspanel_sensitivity_only_zero_hour_pairing_not_established
after100h_iR_unverified,after200h_iR_unverified,100,25.480049213878473,descriptive_sharedpanel_coordinate_change_not_calibrated_kinetics
before_crosspanel_iR_corrected,after200h_iR_unverified,100,-32.215062050722,crosspanel_sensitivity_only_zero_hour_pairing_not_established
before_crosspanel_uncorrected,after200h_iR_unverified,100,-34.98514369855532,crosspanel_sensitivity_only_zero_hour_pairing_not_established
after100h_iR_unverified,after200h_iR_unverified,300,7.121322337153568,descriptive_sharedpanel_coordinate_change_not_calibrated_kinetics
before_crosspanel_iR_corrected,after200h_iR_unverified,300,-29.470798847774926,crosspanel_sensitivity_only_zero_hour_pairing_not_established
before_crosspanel_uncorrected,after200h_iR_unverified,300,-41.26385078417294,crosspanel_sensitivity_only_zero_hour_pairing_not_established
after100h_iR_unverified,after200h_iR_unverified,500,-0.3108613032032359,descriptive_sharedpanel_coordinate_change_not_calibrated_kinetics
before_crosspanel_iR_corrected,after200h_iR_unverified,500,-29.124336173177447,crosspanel_sensitivity_only_zero_hour_pairing_not_established
before_crosspanel_uncorrected,after200h_iR_unverified,500,-49.87461354261957,crosspanel_sensitivity_only_zero_hour_pairing_not_established
after100h_iR_unverified,after200h_iR_unverified,800,-4.186108061871918,descriptive_sharedpanel_coordinate_change_not_calibrated_kinetics
before_crosspanel_iR_corrected,after200h_iR_unverified,800,-28.16983985768129,crosspanel_sensitivity_only_zero_hour_pairing_not_established
before_crosspanel_uncorrected,after200h_iR_unverified,800,-63.21431239423126,crosspanel_sensitivity_only_zero_hour_pairing_not_established
after100h_iR_unverified,after200h_iR_unverified,1000,-5.208769835476801,descriptive_sharedpanel_coordinate_change_not_calibrated_kinetics
before_crosspanel_iR_corrected,after200h_iR_unverified,1000,-28.40818098872888,crosspanel_sensitivity_only_zero_hour_pairing_not_established
before_crosspanel_uncorrected,after200h_iR_unverified,1000,-71.99519811205302,crosspanel_sensitivity_only_zero_hour_pairing_not_established
