quantity,time_h,unit,mean,sd,n,ci95_low,ci95_high,assumption,zero_origin
Cl2_production,0.0,mol,0.0,0.0,4,0.0,0.0,Normal independent replicate means; timepoints not independent,fixed_origin_not_stochastic
Cl2_production,1.0,mol,0.01382,0.000348265,4,0.013265832668745186,0.014374167331254815,Normal independent replicate means; timepoints not independent,no
Cl2_production,2.0,mol,0.02784,0.00128,4,0.025803234364618427,0.029876765635381573,Normal independent replicate means; timepoints not independent,no
Cl2_production,3.0,mol,0.04238,0.00147,4,0.04004090196561648,0.04471909803438352,Normal independent replicate means; timepoints not independent,no
Cl2_production,4.0,mol,0.05333,0.00236,4,0.049574713359765224,0.05708528664023478,Normal independent replicate means; timepoints not independent,no
Cl2_production,5.0,mol,0.07118,0.0017,4,0.06847492064050884,0.07388507935949115,Normal independent replicate means; timepoints not independent,no
Cl2_production,6.0,mol,0.08284,0.00226,4,0.0792438356750294,0.08643616432497059,Normal independent replicate means; timepoints not independent,no
Cl2_production,7.0,mol,0.09691,0.00467,4,0.08947898787716253,0.10434101212283746,Normal independent replicate means; timepoints not independent,no
Cl2_production,8.0,mol,0.111,0.00494,4,0.10313935762594924,0.11886064237405077,Normal independent replicate means; timepoints not independent,no
Cl2_production,9.0,mol,0.12534,0.00626,4,0.115378943064462,0.135301056935538,Normal independent replicate means; timepoints not independent,no
Cl2_production,10.0,mol,0.14084,0.00336,4,0.13549349020712337,0.14618650979287662,Normal independent replicate means; timepoints not independent,no
Cl2_production,11.0,mol,0.14663,0.00555,4,0.13779871150283773,0.1554612884971623,Normal independent replicate means; timepoints not independent,no
Cl2_production,12.0,mol,0.16362,0.00616,4,0.15381806537972617,0.1734219346202738,Normal independent replicate means; timepoints not independent,no
Cl2_production,13.0,mol,0.17989,0.00551,4,0.17112236042894338,0.1886576395710566,Normal independent replicate means; timepoints not independent,no
Cl2_production,14.0,mol,0.19567,0.00921,4,0.18101483476416855,0.21032516523583147,Normal independent replicate means; timepoints not independent,no
Cl2_production,15.0,mol,0.21195,0.00576,4,0.20278455464078293,0.22111544535921707,Normal independent replicate means; timepoints not independent,no
Cl2_production,16.0,mol,0.22215,0.00856,4,0.20852912981338573,0.23577087018661425,Normal independent replicate means; timepoints not independent,no
Cl2_production,17.0,mol,0.23592,0.00669,4,0.225274717108826,0.246565282891174,Normal independent replicate means; timepoints not independent,no
Cl2_production,18.0,mol,0.25679,0.01038,4,0.24027310367557758,0.27330689632442245,Normal independent replicate means; timepoints not independent,no
Cl2_production,19.0,mol,0.26008,0.00964,4,0.24474060880853252,0.27541939119146747,Normal independent replicate means; timepoints not independent,no
Cl2_production,20.0,mol,0.27759,0.01035,4,0.2611208403701568,0.2940591596298432,Normal independent replicate means; timepoints not independent,no
Cl2_production,21.0,mol,0.28778,0.00821,4,0.27471605791681036,0.3008439420831896,Normal independent replicate means; timepoints not independent,no
Cl2_production,22.0,mol,0.30169,0.00966,4,0.2863187843454797,0.31706121565452033,Normal independent replicate means; timepoints not independent,no
Cl2_production,23.0,mol,0.32658,0.01186,4,0.3077080934096676,0.34545190659033237,Normal independent replicate means; timepoints not independent,no
Cl2_production,24.0,mol,0.33819,0.00708,4,0.32692414007929566,0.3494558599207043,Normal independent replicate means; timepoints not independent,no
FE,0.0,percent,99.85532,0.03677,4,99.79681072467737,99.91382927532264,Normal independent replicate means; timepoints not independent,no
FE,1.0,percent,99.78996,0.01995,4,99.75821509810478,99.8217049018952,Normal independent replicate means; timepoints not independent,no
FE,2.0,percent,99.7964,0.01752,4,99.76852177036572,99.82427822963429,Normal independent replicate means; timepoints not independent,no
FE,3.0,percent,99.78813,0.01675,4,99.76147701219324,99.81478298780675,Normal independent replicate means; timepoints not independent,no
FE,4.0,percent,99.79674,0.01867,4,99.76703186374017,99.82644813625983,Normal independent replicate means; timepoints not independent,no
FE,5.0,percent,99.78753,0.02326,4,99.75051814946956,99.82454185053045,Normal independent replicate means; timepoints not independent,no
FE,6.0,percent,99.79169,0.01855,4,99.76217281051849,99.82120718948151,Normal independent replicate means; timepoints not independent,no
FE,7.0,percent,99.80044,0.00759,4,99.78836261627144,99.81251738372855,Normal independent replicate means; timepoints not independent,no
