trace_id,startup_exclusion_h,window_h,y_unit,first_window_start_h,first_window_end_h,last_window_start_h,last_window_end_h,first_unique_times,last_unique_times,first_median,last_median,change,relative_change_percent
nature2023_constant_potential,0,1,source current ordinate; figure label mA/cm2; normalization unresolved,0.20833,1.20833,119.0,120.0,360,36,5.8175,5.66125,-0.15625,-2.6858616244091107
nature2023_constant_potential,0,3,source current ordinate; figure label mA/cm2; normalization unresolved,0.20833,3.20833,117.0,120.0,1080,108,5.70625,5.662812499999999,-0.04343750000000046,-0.7612267250821548
nature2023_constant_potential,0,6,source current ordinate; figure label mA/cm2; normalization unresolved,0.20833,6.20833,114.0,120.0,2160,216,5.64,5.66375,0.023750000000000604,0.42109929078015257
nature2023_constant_potential,0,12,source current ordinate; figure label mA/cm2; normalization unresolved,0.20833,12.20833,108.0,120.0,4320,432,5.635,5.66375,0.028750000000000497,0.510204081632662
nature2023_constant_potential,1,1,source current ordinate; figure label mA/cm2; normalization unresolved,1.20833,2.20833,119.0,120.0,360,36,5.70625,5.66125,-0.04499999999999993,-0.7886089813800645
nature2023_constant_potential,1,3,source current ordinate; figure label mA/cm2; normalization unresolved,1.20833,4.20833,117.0,120.0,1080,108,5.65125,5.662812499999999,0.011562499999999254,0.20460075204599432
nature2023_constant_potential,1,6,source current ordinate; figure label mA/cm2; normalization unresolved,1.20833,7.20833,114.0,120.0,2160,216,5.631875,5.66375,0.03187500000000032,0.5659749195427868
nature2023_constant_potential,1,12,source current ordinate; figure label mA/cm2; normalization unresolved,1.20833,13.20833,108.0,120.0,4320,432,5.635,5.66375,0.028750000000000497,0.510204081632662
nature2023_constant_potential,5,1,source current ordinate; figure label mA/cm2; normalization unresolved,5.20833,6.20833,119.0,120.0,360,36,5.62375,5.66125,0.037499999999999645,0.6668148477439367
nature2023_constant_potential,5,3,source current ordinate; figure label mA/cm2; normalization unresolved,5.20833,8.20833,117.0,120.0,1080,108,5.62,5.662812499999999,0.042812499999999254,0.7617882562277447
nature2023_constant_potential,5,6,source current ordinate; figure label mA/cm2; normalization unresolved,5.20833,11.20833,114.0,120.0,2160,216,5.62625,5.66375,0.03750000000000053,0.6665185514330244
nature2023_constant_potential,5,12,source current ordinate; figure label mA/cm2; normalization unresolved,5.20833,17.20833,108.0,120.0,4320,432,5.64125,5.66375,0.022499999999999964,0.39884777309993286
nature2023_constant_potential,10,1,source current ordinate; figure label mA/cm2; normalization unresolved,10.20833,11.20833,119.0,120.0,360,36,5.64,5.66125,0.021250000000000213,0.3767730496453939
nature2023_constant_potential,10,3,source current ordinate; figure label mA/cm2; normalization unresolved,10.20833,13.20833,117.0,120.0,1080,108,5.64375,5.662812499999999,0.019062499999999538,0.33776301218160865
nature2023_constant_potential,10,6,source current ordinate; figure label mA/cm2; normalization unresolved,10.20833,16.20833,114.0,120.0,2160,216,5.6475,5.66375,0.01625000000000032,0.28773793714033324
nature2023_constant_potential,10,12,source current ordinate; figure label mA/cm2; normalization unresolved,10.20833,22.20833,108.0,120.0,4320,432,5.65625,5.66375,0.007500000000000284,0.13259668508287795
nature2023_constant_potential,20,1,source current ordinate; figure label mA/cm2; normalization unresolved,20.20833,21.20833,119.0,120.0,360,36,5.6675,5.66125,-0.006250000000000533,-0.11027790030878752
nature2023_constant_potential,20,3,source current ordinate; figure label mA/cm2; normalization unresolved,20.20833,23.20833,117.0,120.0,1080,108,5.6675,5.662812499999999,-0.004687500000001066,-0.08270842523160239
nature2023_constant_potential,20,6,source current ordinate; figure label mA/cm2; normalization unresolved,20.20833,26.20833,114.0,120.0,2160,216,5.66875,5.66375,-0.004999999999999893,-0.0882028665931624
nature2023_constant_potential,20,12,source current ordinate; figure label mA/cm2; normalization unresolved,20.20833,32.208330000000004,108.0,120.0,2885,432,5.67125,5.66375,-0.007499999999999396,-0.13224597751817319
nature2023_constant_potential,30,1,source current ordinate; figure label mA/cm2; normalization unresolved,30.20833,31.20833,119.0,120.0,36,36,5.6815625,5.66125,-0.020312500000000178,-0.3575160882239732
nature2023_constant_potential,30,3,source current ordinate; figure label mA/cm2; normalization unresolved,30.20833,33.208330000000004,117.0,120.0,108,108,5.685,5.662812499999999,-0.02218750000000025,-0.39028144239226475
nature2023_constant_potential,30,6,source current ordinate; figure label mA/cm2; normalization unresolved,30.20833,36.208330000000004,114.0,120.0,216,216,5.6875,5.66375,-0.023749999999999716,-0.4175824175824126
nature2023_constant_potential,30,12,source current ordinate; figure label mA/cm2; normalization unresolved,30.20833,42.208330000000004,108.0,120.0,432,432,5.685,5.66375,-0.021249999999999325,-0.37379067722074455
nature2023_constant_current,0,1,V vs NHE (anode potential),0.0064,1.0064,119.0,120.0,157,40,1.657,1.70125,0.0442499999999999,2.6704888352444116
nature2023_constant_current,0,3,V vs NHE (anode potential),0.0064,3.0064,117.0,120.0,469,120,1.677,1.702,0.02499999999999991,1.4907573047107878
nature2023_constant_current,0,6,V vs NHE (anode potential),0.0064,6.0064,114.0,120.0,938,240,1.685,1.702,0.016999999999999904,1.0089020771513295
nature2023_constant_current,0,12,V vs NHE (anode potential),0.0064,12.0064,108.0,120.0,1875,480,1.689,1.702,0.0129999999999999,0.7696862048549379
nature2023_constant_current,1,1,V vs NHE (anode potential),1.0064,2.0064,119.0,120.0,156,40,1.677,1.70125,0.024249999999999883,1.4460345855694623
nature2023_constant_current,1,3,V vs NHE (anode potential),1.0064,4.0064,117.0,120.0,468,120,1.683,1.702,0.018999999999999906,1.1289364230540644
nature2023_constant_current,1,6,V vs NHE (anode potential),1.0064,7.0064,114.0,120.0,937,240,1.688,1.702,0.014000000000000012,0.829383886255925
nature2023_constant_current,1,12,V vs NHE (anode potential),1.0064,13.0064,108.0,120.0,1875,480,1.689,1.702,0.0129999999999999,0.7696862048549379
nature2023_constant_current,5,1,V vs NHE (anode potential),5.0064,6.0064,119.0,120.0,156,40,1.689,1.70125,0.012249999999999872,0.7252812314979201
nature2023_constant_current,5,3,V vs NHE (anode potential),5.0064,8.0064,117.0,120.0,468,120,1.689,1.702,0.0129999999999999,0.7696862048549379
nature2023_constant_current,5,6,V vs NHE (anode potential),5.0064,11.0064,114.0,120.0,937,240,1.69,1.702,0.01200000000000001,0.7100591715976338
nature2023_constant_current,5,12,V vs NHE (anode potential),5.0064,17.0064,108.0,120.0,1875,480,1.692,1.702,0.010000000000000009,0.5910165484633575
