strategy,assumed_constant_life_h,extra_life_fraction,electricity_saving_USD,maximum_layer_replacement_USD
rule,50.0,0.040000000000000036,0.012332620470336786,0.30831551175841937
mpc,50.0,0.02749999999999997,0.0008370416714335027,0.030437878961218315
rule,55.0,0.036363636363636154,0.012251642753653202,0.336920175725465
mpc,55.0,0.0249999999999998,0.0007580972799359209,0.03032389119743708
rule,60.0,0.033333333333333326,0.012183237848989892,0.3654971354696968
mpc,60.0,0.022916666666666696,0.0006908831951384364,0.030147630333313552
rule,65.0,0.03076923076923077,0.012124695744216929,0.3940526116870502
mpc,65.0,0.02115384615384619,0.0006329764890378176,0.029922524936333142
rule,70.0,0.02857142857142858,0.012074031277619968,0.4225910947166987
mpc,70.0,0.019642857142857184,0.0005825758207018694,0.029658405417549653
rule,75.0,0.026666666666666727,0.012029757504460559,0.45111590641726995
mpc,75.0,0.018333333333333313,0.00053831492720402,0.029362632392946578
rule,80.0,0.025000000000000022,0.011990738916524801,0.4796295566609916
mpc,80.0,0.01718749999999991,0.0004991391943943713,0.02904082585567266
rule,85.0,0.0235294117647058,0.011956093574793103,0.5081339769287087
mpc,85.0,0.016176470588235237,0.0004642218481586413,0.028697350613443383
rule,90.0,0.022222222222222254,0.01192512617139585,0.5366306777128125
mpc,90.0,0.015277777777777724,0.00043290573269216814,0.028335647958032926
rule,95.0,0.021052631578947323,0.011897281204355514,0.5651208572068882
mpc,95.0,0.014473684210526305,0.0004046620297104564,0.027958467507267916
rule,100.0,0.020000000000000018,0.011872109559938449,0.5936054779969219
mpc,100.0,0.013749999999999984,0.00037906044797997307,0.02756803258036171
rule,105.0,0.019047619047619035,0.01184924423283984,0.622085322224092
mpc,105.0,0.01309523809523816,0.00035574733742516074,0.027166160312466686
rule,110.0,0.018181818181818077,0.011828382399106996,0.6505610319508885
mpc,110.0,0.0124999999999999,0.0003344293790458197,0.026754350323665792
rule,115.0,0.017391304347826042,0.011809271985403491,0.6790331391607025
mpc,115.0,0.011956521739130366,0.0003148612636438841,0.026333851141125006
rule,120.0,0.016666666666666663,0.011791701472797289,0.7075020883678375
mpc,120.0,0.011458333333333348,0.00029683626755128145,0.025905710622657258
rule,125.0,0.016000000000000014,0.011775492062032433,0.7359682538770265
mpc,125.0,0.011000000000000065,0.00028017896172660706,0.025470814702418673
rule,130.0,0.015384615384615385,0.011760491586352395,0.7644319531129057
mpc,130.0,0.010576923076923095,0.00026473951197303336,0.0250299174956322
rule,135.0,0.014814814814814836,0.011746569733702916,0.7928934570249457
mpc,135.0,0.010185185185185242,0.0002503891798391056,0.024583664929657502
rule,140.0,0.01428571428571429,0.011733614261282943,0.8213529982898058
mpc,140.0,0.009821428571428592,0.00023701673942377877,0.02413261346860288
rule,145.0,0.013793103448275834,0.011721527970156798,0.8498107778363696
mpc,145.0,0.009482758620689646,0.0002245255998980511,0.023677245080158137
rule,150.0,0.013333333333333364,0.011710226267734991,0.8782669700801223
mpc,150.0,0.009166666666666656,0.00021283147687589654,0.023217979295552377
rule,155.0,0.01290322580645159,0.011699635189103441,0.9067217271555182
mpc,155.0,0.008870967741935465,0.0002018604943627711,0.022755183000894245
rule,160.0,0.012500000000000011,0.011689689779533996,0.9351751823627189
mpc,160.0,0.008593749999999956,0.0001915476272364991,0.022289178442065464
rule,165.0,0.012121212121212088,0.011680332763563062,0.9636274529939552
mpc,165.0,0.008333333333333304,0.00018183541510485846,0.02182024981258309
rule,170.0,0.0117647058823529,0.011671513443128001,0.9920786426658836
mpc,170.0,0.008088235294117618,0.00017267289396438734,0.021348648708324328
rule,175.0,0.011428571428571455,0.011663186780065615,1.0205288432557391
mpc,175.0,0.007857142857142896,0.00016401470383775596,0.020874598670259748
rule,180.0,0.011111111111111127,0.011655312627975034,1.0489781365177515
mpc,180.0,0.007638888888888862,0.0001558203394940172,0.020398298988307778
rule,185.0,0.010810810810810811,0.01164785508583388,1.0774265954396338
mpc,185.0,0.007432432432432412,0.00014805351819524581,0.01991992790263313
rule,190.0,0.010526315789473661,0.01164078195143925,1.1058742853867312
mpc,190.0,0.007236842105263153,0.0001406816436971825,0.019439645310883415
rule,195.0,0.01025641025641022,0.011634064257143861,1.1343212650715304
mpc,195.0,0.007051282051282026,0.0001336753498411003,0.018957595068374293
rule,200.0,0.010000000000000009,0.011627675873789323,1.1627675873789312
mpc,200.0,0.006874999999999992,0.00012700811028432124,0.018473906950446747
rule,205.0,0.009756097560975618,0.011621593171430633,1.1912133000716387
mpc,205.0,0.00670731707317071,0.00012065590345766708,0.017988698333688605
rule,210.0,0.009523809523809518,0.011615794727576345,1.2196584463955171
mpc,210.0,0.00654761904761908,0.00011459692384618858,0.01750207564196326
rule,215.0,0.009302325581395349,0.01161026107535923,1.2481030656011172
mpc,215.0,0.006395348837209269,0.00010881133229234674,0.017014135594803397
rule,220.0,0.009090909090909038,0.01160497448540554,1.2765471933946166
mpc,220.0,0.00624999999999995,0.00010328103930368204,0.01652496628858926
