strategy,time_h,price_USD_kWh,availability_load,load,storage_charge_h,temperature_C,purity_assumed,evidence
constant,0,0.075,1.0,1.0,0.0,26.0,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,1,0.08795528975333915,1.0,1.0,0.0,26.8,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,2,0.0750336998522439,1.0,1.0,0.0,27.44,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,3,0.0753310765196864,1.25,1.0,0.0,27.952,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,4,0.1010815987667123,1.25,1.0,0.0,28.361600000000003,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,5,0.10746511474540484,1.25,1.0,0.0,28.689280000000004,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,6,0.09883643452733964,1.25,1.0,0.0,28.951424000000003,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,7,0.11695317473098704,1.25,1.0,0.0,29.1611392,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,8,0.13949687204444225,1.25,1.0,0.0,29.32891136,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,9,0.1321061356133467,1.25,1.0,0.0,29.463129088,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,10,0.12935989973496112,1.25,1.0,0.0,29.5705032704,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,11,0.15078416226963395,1.25,1.0,0.0,29.65640261632,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,12,0.15318974451829415,1.25,1.0,0.0,29.725122093056,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,13,0.13358932790124747,1.25,1.0,0.0,29.7800976744448,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,14,0.1361652305160811,1.25,1.0,0.0,29.82407813955584,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,15,0.1466075722991358,1.25,1.0,0.0,29.859262511644673,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,16,0.1269521970315626,1.25,1.0,0.0,29.887410009315737,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,17,0.10741663978110849,1.0,1.0,0.0,29.90992800745259,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,18,0.1151554567336389,1.0,1.0,0.0,29.92794240596207,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,19,0.1105429457753148,1.0,1.0,0.0,29.942353924769655,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,20,0.08354443989226101,1.25,1.0,0.0,29.953883139815723,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,21,0.07919406065233002,1.25,1.0,0.0,29.96310651185258,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,22,0.09104197602496991,1.25,1.0,0.0,29.970485209482064,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,23,0.07775658802918356,1.25,1.0,0.0,29.97638816758565,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,24,0.06302814181676401,1.25,1.0,0.0,29.98111053406852,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,25,0.07936679777967949,1.25,1.0,0.0,29.984888427254816,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,26,0.09040469102737457,1.25,1.0,0.0,29.98791074180385,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,27,0.07783607404731868,1.25,1.0,0.0,29.99032859344308,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,28,0.0847191856088978,1.25,1.0,0.0,29.992262874754466,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,29,0.11143599430566131,1.25,1.0,0.0,29.993810299803574,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,30,0.11362726238688471,1.25,1.0,0.0,29.99504823984286,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,31,0.107128416386305,1.25,1.0,0.0,29.99603859187429,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,32,0.1285944637501973,1.25,1.0,0.0,29.99683087349943,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
constant,33,0.14624582326549398,1.25,1.0,0.0,29.997464698799543,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
