mechanism,observations,rate_per_h,amplitude_V,train_chi2,blind_normalized_rmse
H1,voltage_only,0.0046163823522976846,0.7658945365691532,2009.3011831317826,2.600720185226057
H1,joint,0.004436342741598684,0.7931564416503963,10666.129000847779,3.3822679489364136
H2,voltage_only,0.036283186389789154,0.2388334222282946,12288.082636437448,6.307541203004371
H2,joint,0.0028192940651079385,1.6642284215188494,35188.12490331477,5.795894945334033
H3,voltage_only,0.0046163823522976846,0.7658945365691532,2009.3011831317826,2.600720185226057
H3,joint,0.004616373372765132,0.7658958221693605,71544.8239417191,8.378840624995807
H4,voltage_only,0.004717884846737828,0.7491778012911848,1997.7428671889202,2.6597022116517395
H4,joint,0.004717882622189745,0.7491781116036924,71533.26562577502,8.385010126298772
constant_activity,voltage_only:blind_01,0,0.1231776739728165,73908.59558125587,15.05032226088045
constant_activity,voltage_only:blind_02,0,0.1231776739728165,73908.59558125587,16.235699319806574
constant_activity,voltage_only:blind_03,0,0.1231776739728165,73908.59558125587,16.226625632314047
empirical_linear_charge,voltage_only:blind_01,0,0.007466906520948445,2157.2082341176742,3.534622289250781
empirical_linear_charge,voltage_only:blind_02,0,0.007466906520948445,2157.2082341176742,2.417952902880416
empirical_linear_charge,voltage_only:blind_03,0,0.007466906520948445,2157.2082341176742,1.727075806214248
