trace_id,hour,point_count,median,minimum,maximum,q025,q975
nature2023_constant_potential,0,285,5.8325,5.7675,6.0175,5.771375,5.995875
nature2023_constant_potential,1,360,5.71375,5.69125,5.77,5.695,5.76375
nature2023_constant_potential,2,360,5.6625,5.63375,5.6975,5.63625,5.69253125
nature2023_constant_potential,3,360,5.63125,5.61625,5.6475,5.6175,5.645
nature2023_constant_potential,4,360,5.63375,5.62,5.65,5.62375,5.6475
nature2023_constant_potential,5,360,5.625,5.6125,5.6475,5.61621875,5.636281250000001
nature2023_constant_potential,6,360,5.61625,5.6025,5.63125,5.60621875,5.62875
nature2023_constant_potential,7,360,5.62,5.605,5.63875,5.6075,5.63625
nature2023_constant_potential,8,360,5.62375,5.6125,5.6425,5.61621875,5.636281250000001
nature2023_constant_potential,9,360,5.64,5.62125,5.65625,5.62371875,5.655
nature2023_constant_potential,10,360,5.63875,5.62625,5.65,5.63,5.64875
nature2023_constant_potential,11,360,5.6475,5.62625,5.66625,5.63,5.66
nature2023_constant_potential,12,360,5.64125,5.62875,5.66125,5.63,5.65875
nature2023_constant_potential,13,360,5.65,5.63625,5.665,5.64125,5.66125
nature2023_constant_potential,14,360,5.648125,5.63125,5.66625,5.6325,5.66125
nature2023_constant_potential,15,360,5.6475,5.63625,5.66875,5.63875,5.66625
nature2023_constant_potential,16,360,5.66,5.64625,5.67875,5.64875,5.675
nature2023_constant_potential,17,360,5.665,5.63875,5.68,5.6425,5.67628125
nature2023_constant_potential,18,360,5.66125,5.645,5.6725,5.65,5.67
nature2023_constant_potential,19,360,5.67625,5.65375,5.6875,5.65625,5.685
nature2023_constant_potential,20,360,5.6675,5.65125,5.68125,5.65621875,5.68125
nature2023_constant_potential,21,360,5.6675,5.65125,5.6925,5.65375,5.68628125
nature2023_constant_potential,22,361,5.6725,5.65625,5.6875,5.6575,5.685
nature2023_constant_potential,23,360,5.66875,5.65625,5.68125,5.66121875,5.67875
nature2023_constant_potential,24,360,5.66875,5.65125,5.685,5.65375,5.68
nature2023_constant_potential,25,360,5.675,5.655,5.68625,5.65875,5.685
nature2023_constant_potential,26,360,5.675,5.66375,5.69,5.665,5.68628125
nature2023_constant_potential,27,355,5.68,5.66875,5.69,5.67125,5.6875
nature2023_constant_potential,28,361,5.66625,5.6525,5.68,5.655,5.67875
nature2023_constant_potential,29,360,5.67375,5.65875,5.69125,5.66371875,5.68628125
nature2023_constant_potential,30,360,5.6775,5.6575,5.6925,5.66125,5.68875
nature2023_constant_potential,31,360,5.68375,5.6725,5.69875,5.675,5.695
nature2023_constant_potential,32,360,5.68875,5.67125,5.7025,5.67871875,5.69875
nature2023_constant_potential,33,360,5.69,5.67875,5.70375,5.6825,5.6975
nature2023_constant_potential,34,360,5.68875,5.67625,5.7025,5.67871875,5.69875
nature2023_constant_potential,35,360,5.695,5.675,5.70875,5.6775,5.7075
nature2023_constant_potential,36,360,5.67625,5.66375,5.70125,5.66625,5.69253125
nature2023_constant_potential,37,360,5.68125,5.6675,5.70125,5.67,5.69625
nature2023_constant_potential,38,360,5.69625,5.67625,5.71125,5.68,5.7075
nature2023_constant_potential,39,361,5.6775,5.665,5.69125,5.6675,5.6875
nature2023_constant_potential,40,360,5.66875,5.65875,5.6825,5.6624687499999995,5.68003125
nature2023_constant_potential,41,360,5.6925,5.68,5.7175,5.6825,5.71
nature2023_constant_potential,42,360,5.689375,5.675,5.705,5.6775,5.7
nature2023_constant_potential,43,360,5.69375,5.67875,5.705,5.68125,5.7025
nature2023_constant_potential,44,360,5.695,5.67875,5.7075,5.68125,5.70625
nature2023_constant_potential,45,360,5.69625,5.68125,5.7075,5.68375,5.70625
nature2023_constant_potential,46,360,5.6875,5.67375,5.705,5.6775,5.7
nature2023_constant_potential,47,360,5.695,5.68,5.71125,5.68125,5.7075
nature2023_constant_potential,48,360,5.69375,5.68125,5.70625,5.685,5.70253125
nature2023_constant_potential,49,360,5.695,5.68375,5.71375,5.68625,5.71
nature2023_constant_potential,50,361,5.6975,5.68,5.71625,5.6825,5.71375
nature2023_constant_potential,51,360,5.698125,5.68125,5.71875,5.68371875,5.715
nature2023_constant_potential,52,360,5.7025,5.69125,5.71875,5.69375,5.71625
nature2023_constant_potential,53,360,5.695,5.68125,5.71,5.68375,5.70625
nature2023_constant_potential,54,360,5.69625,5.6725,5.70875,5.67996875,5.705
nature2023_constant_potential,55,360,5.705,5.68875,5.71875,5.6925,5.71625
nature2023_constant_potential,56,360,5.7025,5.685,5.71625,5.68996875,5.7125
nature2023_constant_potential,57,360,5.695,5.6775,5.71875,5.6825,5.71625
nature2023_constant_potential,58,359,5.69375,5.6825,5.7075,5.685,5.70375
nature2023_constant_potential,59,360,5.7025,5.6875,5.71875,5.69,5.71378125
nature2023_constant_potential,60,360,5.6925,5.68125,5.715,5.68375,5.71003125
nature2023_constant_potential,61,359,5.705,5.6825,5.72125,5.685,5.7150625
nature2023_constant_potential,62,360,5.70125,5.69125,5.72125,5.69375,5.715
nature2023_constant_potential,63,360,5.7025,5.6825,5.72375,5.68996875,5.71875
nature2023_constant_potential,64,359,5.7,5.68125,5.72125,5.68375,5.7175
nature2023_constant_potential,65,360,5.6925,5.67625,5.7075,5.68125,5.70503125
nature2023_constant_potential,66,359,5.7025,5.68875,5.72125,5.69125,5.71375
nature2023_constant_potential,67,360,5.7025,5.69125,5.71875,5.69375,5.71378125
nature2023_constant_potential,68,360,5.6975,5.68,5.7125,5.6825,5.71125
nature2023_constant_potential,69,359,5.69875,5.685,5.715,5.6875,5.71
nature2023_constant_potential,70,360,5.69375,5.6775,5.71625,5.68,5.71
nature2023_constant_potential,71,360,5.69875,5.67875,5.72,5.6825,5.715
nature2023_constant_potential,72,359,5.7,5.69125,5.72,5.6925,5.7138125
nature2023_constant_potential,73,360,5.69375,5.67625,5.71875,5.68121875,5.715
nature2023_constant_potential,74,360,5.6975,5.68125,5.73,5.68375,5.72378125
nature2023_constant_potential,75,359,5.70375,5.68625,5.72125,5.6899375,5.715
nature2023_constant_potential,76,360,5.6975,5.685,5.7175,5.68625,5.7125
nature2023_constant_potential,77,360,5.7,5.685,5.71375,5.6875,5.71125
nature2023_constant_potential,78,359,5.695,5.6825,5.71375,5.685,5.707624999999999
nature2023_constant_potential,79,360,5.69,5.6775,5.7,5.68121875,5.6975
nature2023_constant_potential,80,360,5.69375,5.67875,5.71375,5.6849687499999995,5.70875
