id,conformer,converged,MMFF94s_energy_kcal_mol,meaning
P01_substrate,0,True,15.523431059638064,geometry diagnostic; compare only conformers of same species
P01_proposed_C2,0,True,80.99403995155566,geometry diagnostic; compare only conformers of same species
P01_proposed_C2,1,True,76.17020412655913,geometry diagnostic; compare only conformers of same species
P01_proposed_C2,2,True,76.17020424252415,geometry diagnostic; compare only conformers of same species
P01_proposed_C2,3,True,75.75968187770792,geometry diagnostic; compare only conformers of same species
P01_proposed_C4,0,True,53.489320457666665,geometry diagnostic; compare only conformers of same species
P01_proposed_C4,1,True,53.93775542666918,geometry diagnostic; compare only conformers of same species
P01_proposed_C4,2,True,53.1288140298364,geometry diagnostic; compare only conformers of same species
P01_proposed_C4,3,True,53.489320450942955,geometry diagnostic; compare only conformers of same species
P01_proposed_C6,0,True,79.06124161031173,geometry diagnostic; compare only conformers of same species
P01_proposed_C6,1,True,80.99403984975427,geometry diagnostic; compare only conformers of same species
P01_proposed_C6,2,True,76.17020415911163,geometry diagnostic; compare only conformers of same species
P01_proposed_C6,3,True,75.75968187713984,geometry diagnostic; compare only conformers of same species
P02_substrate,0,True,18.072057658527214,geometry diagnostic; compare only conformers of same species
P02_proposed_C2,0,True,84.5123671123382,geometry diagnostic; compare only conformers of same species
P02_proposed_C2,1,True,81.9723447023152,geometry diagnostic; compare only conformers of same species
P02_proposed_C4,0,True,59.729015994596836,geometry diagnostic; compare only conformers of same species
P02_proposed_C4,1,True,59.729016116936485,geometry diagnostic; compare only conformers of same species
P02_proposed_C4,2,True,59.72901603378275,geometry diagnostic; compare only conformers of same species
P02_proposed_C4,3,True,62.57642366590164,geometry diagnostic; compare only conformers of same species
P02_proposed_C6,0,True,85.43758176320033,geometry diagnostic; compare only conformers of same species
P02_proposed_C6,1,True,83.52386107465966,geometry diagnostic; compare only conformers of same species
P02_proposed_C6,2,True,78.64623425438944,geometry diagnostic; compare only conformers of same species
P02_proposed_C6,3,True,78.232652175197,geometry diagnostic; compare only conformers of same species
P03_substrate,0,True,17.730566318042783,geometry diagnostic; compare only conformers of same species
P03_substrate,1,True,17.73056631614998,geometry diagnostic; compare only conformers of same species
P03_proposed_C2,0,True,82.43866875542474,geometry diagnostic; compare only conformers of same species
P03_proposed_C2,1,True,92.17807940249398,geometry diagnostic; compare only conformers of same species
P03_proposed_C2,2,True,85.26972293600681,geometry diagnostic; compare only conformers of same species
