id,family,split,evidence_layer,canonical_smiles,formula,MW_g_mol,TPSA_A2,calculated_logP,formal_charge,HBD,HBA,rotatable_bonds
P01_substrate,parent,anchor,calculated_descriptor_of_proposed_structure,c1ccncc1,C5H5N,79.10199999999999,12.89,1.0816,0,0,1,0
P01_proposed_C2,parent,anchor,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccccn2)cc1,C14H15NO2,229.279,42.35000000000001,2.346,0,1,3,3
P01_proposed_C4,parent,anchor,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccncc2)cc1,C14H15NO2,229.27899999999997,42.35000000000001,2.346,0,1,3,3
P01_proposed_C6,parent,anchor,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccccn2)cc1,C14H15NO2,229.279,42.35000000000001,2.346,0,1,3,3
P02_substrate,alkyl,development,calculated_descriptor_of_proposed_structure,Cc1cccnc1,C6H7N,93.12899999999998,12.89,1.39002,0,0,1,0
P02_proposed_C2,alkyl,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ncccc2C)cc1,C15H17NO2,243.30599999999995,42.35000000000001,2.654420000000001,0,1,3,3
P02_proposed_C4,alkyl,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccncc2C)cc1,C15H17NO2,243.30599999999998,42.35000000000001,2.654420000000001,0,1,3,3
P02_proposed_C6,alkyl,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccc(C)cn2)cc1,C15H17NO2,243.30599999999998,42.35000000000001,2.654420000000001,0,1,3,3
P03_substrate,alkyl,development,calculated_descriptor_of_proposed_structure,CCc1cccnc1,C7H9N,107.15599999999998,12.89,1.644,0,0,1,1
P03_proposed_C2,alkyl,development,calculated_descriptor_of_proposed_structure,CCc1cccnc1C(C)(O)c1ccc(OC)cc1,C16H19NO2,257.33299999999997,42.35000000000001,2.908400000000001,0,1,3,4
P03_proposed_C4,alkyl,development,calculated_descriptor_of_proposed_structure,CCc1cnccc1C(C)(O)c1ccc(OC)cc1,C16H19NO2,257.33299999999997,42.35000000000001,2.908400000000001,0,1,3,4
P03_proposed_C6,alkyl,development,calculated_descriptor_of_proposed_structure,CCc1ccc(C(C)(O)c2ccc(OC)cc2)nc1,C16H19NO2,257.33299999999997,42.35000000000001,2.908400000000001,0,1,3,4
P04_substrate,alkoxy,development,calculated_descriptor_of_proposed_structure,COc1cccnc1,C6H7NO,109.12799999999997,22.12,1.0901999999999998,0,0,2,1
P04_proposed_C2,alkoxy,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ncccc2OC)cc1,C15H17NO3,259.30499999999995,51.58,2.3546000000000005,0,1,4,4
P04_proposed_C4,alkoxy,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccncc2OC)cc1,C15H17NO3,259.30499999999995,51.58,2.3546000000000005,0,1,4,4
P04_proposed_C6,alkoxy,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccc(OC)cn2)cc1,C15H17NO3,259.30499999999995,51.58,2.3546000000000005,0,1,4,4
P05_substrate,halogen,development,calculated_descriptor_of_proposed_structure,Fc1cccnc1,C5H4FN,97.09199999999997,12.89,1.2207000000000001,0,0,1,0
P05_proposed_C2,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ncccc2F)cc1,C14H14FNO2,247.26899999999998,42.35000000000001,2.4851,0,1,3,3
P05_proposed_C4,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccncc2F)cc1,C14H14FNO2,247.26899999999998,42.35000000000001,2.4851,0,1,3,3
P05_proposed_C6,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccc(F)cn2)cc1,C14H14FNO2,247.26899999999998,42.35000000000001,2.4851,0,1,3,3
P06_substrate,halogen,development,calculated_descriptor_of_proposed_structure,Clc1cccnc1,C5H4ClN,113.54699999999998,12.89,1.7349999999999999,0,0,1,0
P06_proposed_C2,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ncccc2Cl)cc1,C14H14ClNO2,263.724,42.35000000000001,2.9994000000000005,0,1,3,3
P06_proposed_C4,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccncc2Cl)cc1,C14H14ClNO2,263.724,42.35000000000001,2.9994000000000005,0,1,3,3
P06_proposed_C6,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccc(Cl)cn2)cc1,C14H14ClNO2,263.724,42.35000000000001,2.9994000000000005,0,1,3,3
P07_substrate,halogen,development,calculated_descriptor_of_proposed_structure,Brc1cccnc1,C5H4BrN,157.99800000000002,12.89,1.8440999999999999,0,0,1,0
P07_proposed_C2,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ncccc2Br)cc1,C14H14BrNO2,308.17500000000007,42.35000000000001,3.108500000000001,0,1,3,3
P07_proposed_C4,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccncc2Br)cc1,C14H14BrNO2,308.17500000000007,42.35000000000001,3.108500000000001,0,1,3,3
P07_proposed_C6,halogen,development,calculated_descriptor_of_proposed_structure,COc1ccc(C(C)(O)c2ccc(Br)cn2)cc1,C14H14BrNO2,308.17500000000007,42.35000000000001,3.108500000000001,0,1,3,3
