species,Gcorr_Hartree,E_Hartree,G_Hartree,source_locator
AcO-,0.0216130,-228.6161346,-228.5945216,SI TableS3 S19
AcOH,0.0351780,-229.1009757,-229.0657977,SI TableS3 S19
radical_B1,0.1440760,-499.9743803,-499.8303043,SI TableS3 S19
INT-1,0.1453850,-479.8907421,-479.7453571,SI TableS3 S19
INT-2,0.3196190,-979.9375667,-979.6179477,SI TableS3 S19
INT-4,0.3107440,-979.2113780,-978.9006340,SI TableS3 S19
INT-5,0.5814730,-1463.4562817,-1462.8748087,SI TableS3 S19
Product,0.2974000,-978.7549996,-978.4575996,SI TableS3 S19
TEMPO+,0.2285080,-483.5136838,-483.2851758,SI TableS3 S19
TEMPOH,0.2397260,-484.3012119,-484.0614859,SI TableS3 S20
TS1,0.3131890,-979.8733559,-979.5601669,SI TableS3 S20
TS2,0.3128250,-979.8693091,-979.5564841,SI TableS3 S20
TS3,0.5687760,-1463.4466028,-1462.8778268,SI TableS3 S20
TS4,0.5760280,-1463.4454543,-1462.8694263,SI TableS3 S20
