substrate_id,site,heavy_atom_map_conserved,mapping,product_canonical_smiles,product_identity_status,stereochemistry,literature_scope_status,exact_route_feasibility,charge,protonation
P01,C2,True,[n:1]1[cH:2][cH:3][cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:3][cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccccn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports pyridine / A19,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P01,C4,True,[n:1]1[cH:2][cH:3][cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][cH:3][c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports pyridine / A19,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P01,C6,True,[n:1]1[cH:2][cH:3][cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccccn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,NC article explicitly reports pyridine / A19,unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P02,C2,True,[n:1]1[cH:2][c:3]([CH3:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([CH3:7])[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2C)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P02,C4,True,[n:1]1[cH:2][c:3]([CH3:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([CH3:7])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,COc1ccc(C(C)(O)c2ccncc2C)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P02,C6,True,[n:1]1[cH:2][c:3]([CH3:7])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([CH3:7])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,COc1ccc(C(C)(O)c2ccc(C)cn2)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P03,C2,True,[n:1]1[cH:2][c:3]([CH2:7][CH3:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([CH2:7][CH3:8])[cH:4][cH:5][cH:6]1,CCc1cccnc1C(C)(O)c1ccc(OC)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P03,C4,True,[n:1]1[cH:2][c:3]([CH2:7][CH3:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([CH2:7][CH3:8])[c:4]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[cH:5][cH:6]1,CCc1cnccc1C(C)(O)c1ccc(OC)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P03,C6,True,[n:1]1[cH:2][c:3]([CH2:7][CH3:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[cH:2][c:3]([CH2:7][CH3:8])[cH:4][cH:5][c:6]1[C:100]([OH:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1,CCc1ccc(C(C)(O)c2ccc(OC)cc2)nc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
P04,C2,True,[n:1]1[cH:2][c:3]([O:7][CH3:8])[cH:4][cH:5][cH:6]1.[C:100](=[O:101])([CH3:102])[c:103]1[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]1>>[n:1]1[c:2]([C:100]([OH:101])([CH3:102])[c:103]2[cH:104][cH:105][c:106]([O:109][CH3:110])[cH:107][cH:108]2)[c:3]([O:7][CH3:8])[cH:4][cH:5][cH:6]1,COc1ccc(C(C)(O)c2ncccc2OC)cc1,proposed_not_synthesized,new carbinol stereocenter unassigned; no stereoselectivity claim,"proposed extrapolation, not certified published scope",unverified,0,neutral free-base bookkeeping; in-cell speciation unknown
