policy,budget,spent,n_labels,test_MAE,evidence_layer
random,20.0,20.0,9,0.11793156793390529,synthetic_single_seed_not_experiment_savings
random,35.0,35.0,15,0.06323700933664929,synthetic_single_seed_not_experiment_savings
random,50.0,50.0,21,0.06343853318611772,synthetic_single_seed_not_experiment_savings
random,65.0,65.0,27,0.05813846702077859,synthetic_single_seed_not_experiment_savings
random,80.0,80.0,32,0.05815956461583302,synthetic_single_seed_not_experiment_savings
random,100.0,100.0,39,0.05315947792781864,synthetic_single_seed_not_experiment_savings
random,130.0,130.0,51,0.052136660577369924,synthetic_single_seed_not_experiment_savings
diversity_per_cost,20.0,20.0,10,0.0740363275769979,synthetic_single_seed_not_experiment_savings
diversity_per_cost,35.0,35.0,23,0.04290172170672659,synthetic_single_seed_not_experiment_savings
diversity_per_cost,50.0,50.0,29,0.0466271659115651,synthetic_single_seed_not_experiment_savings
diversity_per_cost,65.0,64.0,35,0.04752421032465239,synthetic_single_seed_not_experiment_savings
diversity_per_cost,80.0,80.0,40,0.04794526574446616,synthetic_single_seed_not_experiment_savings
diversity_per_cost,100.0,99.0,46,0.045242485944900414,synthetic_single_seed_not_experiment_savings
diversity_per_cost,130.0,129.0,55,0.04633918845775063,synthetic_single_seed_not_experiment_savings
uncertainty_proxy_per_cost,20.0,20.0,10,0.0740363275769979,synthetic_single_seed_not_experiment_savings
uncertainty_proxy_per_cost,35.0,35.0,23,0.042901721706726605,synthetic_single_seed_not_experiment_savings
uncertainty_proxy_per_cost,50.0,50.0,29,0.04662716591156508,synthetic_single_seed_not_experiment_savings
uncertainty_proxy_per_cost,65.0,64.0,35,0.04752421032465237,synthetic_single_seed_not_experiment_savings
uncertainty_proxy_per_cost,80.0,80.0,41,0.04527774190444962,synthetic_single_seed_not_experiment_savings
uncertainty_proxy_per_cost,100.0,100.0,47,0.0458974712369196,synthetic_single_seed_not_experiment_savings
uncertainty_proxy_per_cost,130.0,129.0,55,0.04633918845775063,synthetic_single_seed_not_experiment_savings
