family,split,synthetic_site_fraction,prediction,cost_units,evidence_layer
0,train,0.5914935098131725,0.5983034783381327,3.0,synthetic_algorithm_check
1,train,0.546644743111902,0.6050125645915194,3.0,synthetic_algorithm_check
3,train,0.6791419903523824,0.7125260729557172,4.0,synthetic_algorithm_check
4,train,0.5769938627522809,0.5166075322588363,2.0,synthetic_algorithm_check
7,train,0.320695453699221,0.30244554167456733,2.0,synthetic_algorithm_check
9,train,0.4204898704427815,0.40368057183206923,2.0,synthetic_algorithm_check
11,train,0.37692742851066585,0.42838200672900395,2.0,synthetic_algorithm_check
12,train,0.53591402540217,0.5884225511412084,4.0,synthetic_algorithm_check
13,train,0.8275859966051539,0.7612296853563254,3.0,synthetic_algorithm_check
14,train,0.30371979956380996,0.30468424563339225,2.0,synthetic_algorithm_check
16,train,0.4138272150166899,0.4213726935184806,1.0,synthetic_algorithm_check
19,train,0.553698203071163,0.5339036552579434,4.0,synthetic_algorithm_check
25,train,0.6094235561231487,0.660869098005659,3.0,synthetic_algorithm_check
26,train,0.6079368517827393,0.5994700401789622,4.0,synthetic_algorithm_check
27,train,0.327640176123122,0.3719399297277225,3.0,synthetic_algorithm_check
29,train,0.46469892381520744,0.4564713498211346,4.0,synthetic_algorithm_check
30,train,0.613433341818289,0.6064943221568748,1.0,synthetic_algorithm_check
33,train,0.319028350722482,0.30257738045464666,1.0,synthetic_algorithm_check
34,train,0.7549754022073206,0.6890359704188271,2.0,synthetic_algorithm_check
38,train,0.3310322783881494,0.3571873772937967,3.0,synthetic_algorithm_check
39,train,0.441033595898733,0.45038149412977585,1.0,synthetic_algorithm_check
40,train,0.32043395208876857,0.4054913273621734,1.0,synthetic_algorithm_check
41,train,0.4580478334417617,0.409161905062344,2.0,synthetic_algorithm_check
43,train,0.4095550049470119,0.49247954076101746,2.0,synthetic_algorithm_check
44,train,0.5522294499956787,0.5356592316998419,3.0,synthetic_algorithm_check
45,train,0.567354726475662,0.5206411660349303,4.0,synthetic_algorithm_check
48,train,0.6023252713813514,0.5472143276227862,1.0,synthetic_algorithm_check
49,train,0.41391034300707247,0.3496999615420933,3.0,synthetic_algorithm_check
54,train,0.46456562402475343,0.477514418311879,1.0,synthetic_algorithm_check
59,train,0.49023442784379023,0.445379135203557,3.0,synthetic_algorithm_check
60,train,0.41573643831728035,0.4008172187619704,2.0,synthetic_algorithm_check
61,train,0.22270773311986375,0.28691209434115666,2.0,synthetic_algorithm_check
63,train,0.4489256715033996,0.47403852958437354,2.0,synthetic_algorithm_check
64,train,0.20802364812479424,0.3015465358884506,3.0,synthetic_algorithm_check
66,train,0.37207041062751306,0.29204870141098405,3.0,synthetic_algorithm_check
68,train,0.21834550966841798,0.28544284984636126,4.0,synthetic_algorithm_check
70,train,0.45312001909093363,0.42212321948018683,4.0,synthetic_algorithm_check
74,train,0.5122334722541426,0.5157791478400161,3.0,synthetic_algorithm_check
76,train,0.20978432823768467,0.3037708136163128,1.0,synthetic_algorithm_check
77,train,0.5172697768282842,0.4880627656117611,4.0,synthetic_algorithm_check
