
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 20 20:56:29 2026
Timers Off: Sun Sep 20 20:57:53 2026

Wall Time:       83.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.316w      1 calls
build grid                          :      0.000u      0.000s      0.220w      1 calls
post-process grid                   :      0.000u      0.000s      0.096w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.079w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.100w      4 calls
DFH: initialize()                   :      0.000u      0.000s      1.148w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.496w     21 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.488w     21 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.018w      1 calls
HF: Guess                           :      0.000u      0.000s      0.145w      1 calls
SAD Guess                           :      0.000u      0.000s      0.142w      1 calls
HF: Form G                          :      0.000u      0.000s     75.530w     15 calls
UV: Form V                          :      0.000u      0.000s     72.509w     15 calls
Properties                          :     53.183p                          29190 calls
Functional                          :     23.475p                          29190 calls
V_xc                                :     67.931p                          29190 calls
JK: D                               :      0.000u      0.000s      0.004w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :      0.000u      0.000s      3.001w     15 calls
DFH: compute_JK()                   :      0.000u      0.000s      2.998w     15 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     30 calls
DFH: compute_J                      :      0.000u      0.000s      0.463w     30 calls
DFH: compute_K                      :      0.000u      0.000s      2.436w     30 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.005w     15 calls
HF: Form D                          :      0.000u      0.000s      0.005w     15 calls
HF: DIIS                            :      0.000u      0.000s      1.974w     14 calls
HF: Form C                          :      0.000u      0.000s      0.728w     14 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.316w      1 calls
| build grid                        :      0.000u      0.000s      0.220w      1 calls
| post-process grid                 :      0.000u      0.000s      0.096w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.079w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.051w      1 calls
DFH: initialize()                   :      0.000u      0.000s      1.148w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.049w      3 calls
| DFH: AO Construction              :      0.000u      0.000s      0.496w     21 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.488w     21 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.018w      1 calls
HF: Guess                           :      0.000u      0.000s      0.145w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.142w      1 calls
HF: Form G                          :      0.000u      0.000s     75.530w     15 calls
| UV: Form V                        :      0.000u      0.000s     72.509w     15 calls
| | Properties                      :     53.183p                          29190 calls
| | Functional                      :     23.475p                          29190 calls
| | V_xc                            :     67.931p                          29190 calls
| JK: D                             :      0.000u      0.000s      0.004w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :      0.000u      0.000s      3.001w     15 calls
| | DFH: compute_JK()               :      0.000u      0.000s      2.998w     15 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     30 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.463w     30 calls
| | | DFH: compute_K                :      0.000u      0.000s      2.436w     30 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.005w     15 calls
HF: Form D                          :      0.000u      0.000s      0.005w     15 calls
HF: DIIS                            :      0.000u      0.000s      1.974w     14 calls
HF: Form C                          :      0.000u      0.000s      0.728w     14 calls

**************************************************************************************
