molecule_id,gfn,environment,gas_difference_eV,ALPB_difference_eV,ALPB_minus_gas_eV
P01,1,acetonitrile,-10.799749321768953,-8.808612175068824,1.9911371467001295
P01,1,dmf,-10.799749321768953,-8.847959666597722,1.9517896551712308
P01,2,acetonitrile,-9.82525700275898,-7.792389515083509,2.03286748767547
P01,2,dmf,-9.82525700275898,-7.801070008929815,2.024186993829164
P02,1,acetonitrile,-10.627506106268381,-8.726547210017564,1.9009588962508168
P02,1,dmf,-10.627506106268381,-8.753237413535153,1.874268692733228
P02,2,acetonitrile,-9.618869200781349,-7.678703168297875,1.9401660324834742
P02,2,dmf,-9.618869200781349,-7.679640321855033,1.9392288789263157
P03,1,acetonitrile,-10.598465688845282,-8.739993208576054,1.8584724802692278
P03,1,dmf,-10.598465688845282,-8.767465841436525,1.8309998474087568
P03,2,acetonitrile,-9.598251045094647,-7.697997408518397,1.9002536365762506
P03,2,dmf,-9.598251045094647,-7.702139619992982,1.8961114251016653
P04,1,acetonitrile,-10.633147564579172,-8.778651034704387,1.854496529874785
P04,1,dmf,-10.633147564579172,-8.810298276072302,1.8228492885068697
P04,2,acetonitrile,-9.662723646784492,-7.7579565426343375,1.9047671041501548
P04,2,dmf,-9.662723646784492,-7.759801896969733,1.9029217498147597
P05,1,acetonitrile,-11.201415307346755,-9.150023632510848,2.051391674835907
P05,1,dmf,-11.201415307346755,-9.202164947848434,1.9992503594983209
P05,2,acetonitrile,-10.329158703053931,-8.259251700595252,2.069907002458679
P05,2,dmf,-10.329158703053931,-8.26451754686237,2.064641156191561
P06,1,acetonitrile,-10.9422639432623,-8.992002901019807,1.9502610422424933
P06,1,dmf,-10.9422639432623,-9.03903529078028,1.9032286524820208
P06,2,acetonitrile,-10.137365661312677,-8.09280181964871,2.044563841663967
P06,2,dmf,-10.137365661312677,-8.100504182202496,2.036861479110181
P07,1,acetonitrile,-10.922501382213484,-8.969170821669056,1.953330560544428
P07,1,dmf,-10.922501382213484,-9.009121810016094,1.9133795721973907
P07,2,acetonitrile,-10.342518250466878,-8.300022172492332,2.042496077974546
P07,2,dmf,-10.342518250466878,-8.302154432391548,2.0403638180753294
P08,1,acetonitrile,-11.517115436523216,-9.412300772887225,2.1048146636359917
P08,1,dmf,-11.517115436523216,-9.487514733699586,2.0296007028236307
P08,2,acetonitrile,-10.732471017826802,-8.615072262658918,2.1173987551678835
P08,2,dmf,-10.732471017826802,-8.63651050628789,2.0959605115389124
P09,1,acetonitrile,-11.275481024586165,-9.239473478450615,2.0360075461355507
P09,1,dmf,-11.275481024586165,-9.293187761929454,1.982293262656711
P09,2,acetonitrile,-10.503576169160194,-8.50366052626198,1.9999156428982143
P09,2,dmf,-10.503576169160194,-8.50888105849601,1.9946951106641837
P10,1,acetonitrile,-11.114243766857173,-9.322565416756378,1.7916783501007956
P10,1,dmf,-11.114243766857173,-9.361593353194076,1.7526504136630976
P10,2,acetonitrile,-10.228364274430279,-8.398371471310059,1.82999280312022
P10,2,dmf,-10.228364274430279,-8.397456938523748,1.8309073359065309
P11,1,acetonitrile,-11.060305350400773,-9.121239681124068,1.9390656692767045
P11,1,dmf,-11.060305350400773,-9.137572292896719,1.922733057504054
P11,2,acetonitrile,-10.121047544936712,-8.182265576402848,1.9387819685338634
P11,2,dmf,-10.121047544936712,-8.162849703027383,1.9581978419093282
P12,1,acetonitrile,-10.580747701561355,-8.82822991303836,1.7525177885229954
P12,1,dmf,-10.580747701561355,-8.85814778675429,1.7225999148070645
P12,2,acetonitrile,-9.606139843087082,-7.810965203683613,1.795174639403469
P12,2,dmf,-9.606139843087082,-7.818112791814415,1.7880270512726666
