molecule_id,name,gfn,environment,geometry_sha256,delta_model_eV,evidence_layer,any_numerical_warning
P01,pyridine,1,gas,9b82e12f0e84963194c888a69c720d507f48725df2e7c4414674f2d3dd5f5d19,-10.799749321768953,executed_assumed_molecular_states,True
P01,pyridine,1,acetonitrile,9b82e12f0e84963194c888a69c720d507f48725df2e7c4414674f2d3dd5f5d19,-8.808612175068824,executed_assumed_molecular_states,True
P01,pyridine,1,dmf,9b82e12f0e84963194c888a69c720d507f48725df2e7c4414674f2d3dd5f5d19,-8.847959666597722,executed_assumed_molecular_states,True
P01,pyridine,2,gas,9b82e12f0e84963194c888a69c720d507f48725df2e7c4414674f2d3dd5f5d19,-9.82525700275898,executed_assumed_molecular_states,True
P01,pyridine,2,acetonitrile,9b82e12f0e84963194c888a69c720d507f48725df2e7c4414674f2d3dd5f5d19,-7.792389515083509,executed_assumed_molecular_states,True
P01,pyridine,2,dmf,9b82e12f0e84963194c888a69c720d507f48725df2e7c4414674f2d3dd5f5d19,-7.801070008929815,executed_assumed_molecular_states,True
P02,3-methylpyridine,1,gas,85f4b3ed014929b579d618ded7e9dc3b188c9eb7dd047159f2884355688ce2d0,-10.627506106268381,executed_assumed_molecular_states,True
P02,3-methylpyridine,1,acetonitrile,85f4b3ed014929b579d618ded7e9dc3b188c9eb7dd047159f2884355688ce2d0,-8.726547210017564,executed_assumed_molecular_states,True
P02,3-methylpyridine,1,dmf,85f4b3ed014929b579d618ded7e9dc3b188c9eb7dd047159f2884355688ce2d0,-8.753237413535153,executed_assumed_molecular_states,True
P02,3-methylpyridine,2,gas,85f4b3ed014929b579d618ded7e9dc3b188c9eb7dd047159f2884355688ce2d0,-9.618869200781349,executed_assumed_molecular_states,True
P02,3-methylpyridine,2,acetonitrile,85f4b3ed014929b579d618ded7e9dc3b188c9eb7dd047159f2884355688ce2d0,-7.678703168297875,executed_assumed_molecular_states,True
P02,3-methylpyridine,2,dmf,85f4b3ed014929b579d618ded7e9dc3b188c9eb7dd047159f2884355688ce2d0,-7.679640321855033,executed_assumed_molecular_states,True
P03,3-ethylpyridine,1,gas,695147512dba85fde0431cf9e68929f0b2fa11b3161fab2854940e034aea67bd,-10.598465688845282,executed_assumed_molecular_states,True
P03,3-ethylpyridine,1,acetonitrile,695147512dba85fde0431cf9e68929f0b2fa11b3161fab2854940e034aea67bd,-8.739993208576054,executed_assumed_molecular_states,True
P03,3-ethylpyridine,1,dmf,695147512dba85fde0431cf9e68929f0b2fa11b3161fab2854940e034aea67bd,-8.767465841436525,executed_assumed_molecular_states,True
P03,3-ethylpyridine,2,gas,695147512dba85fde0431cf9e68929f0b2fa11b3161fab2854940e034aea67bd,-9.598251045094647,executed_assumed_molecular_states,True
P03,3-ethylpyridine,2,acetonitrile,695147512dba85fde0431cf9e68929f0b2fa11b3161fab2854940e034aea67bd,-7.697997408518397,executed_assumed_molecular_states,True
P03,3-ethylpyridine,2,dmf,695147512dba85fde0431cf9e68929f0b2fa11b3161fab2854940e034aea67bd,-7.702139619992982,executed_assumed_molecular_states,True
P04,3-methoxypyridine,1,gas,77586112303e2123356d1cbb3bec9fdae811265bd1eb4b657a03df4f4b4bb4cc,-10.633147564579172,executed_assumed_molecular_states,True
