cell,x_m,dissolved_CO2_mol_m3,gas_CO2_mol_s,temperature_K,local_pH,current_A_m2,voltage_V,theta_CO,carbon_residual_mol_s
0,0.004166666666666667,31.38997983694789,1.9664579132697476e-06,298.2691891881314,9.405899755647532,4670.7113108859485,2.5625355655442976,0.1098860156172853,1.4210962923661015e-21
1,0.008333333333333333,30.291913340201333,1.910039441190609e-06,298.3852374718618,9.306473984584194,4574.794246900703,2.557739712345035,0.10810819032168341,6.356883007470018e-21
2,0.0125,29.53951650301733,1.83794603500347e-06,298.49929317827946,9.249244298539587,4519.589904825785,2.5549794952412896,0.10688694589069145,1.363979471069315e-20
3,0.016666666666666666,29.020320624347704,1.7550360480107137e-06,298.6121381769123,9.220908407870356,4492.26365968812,2.553613182984406,0.10605217911215324,2.0839574762354703e-20
4,0.020833333333333332,28.658319703499934,1.6645843751669624e-06,298.72430600339663,9.212363887127152,4484.033097557423,2.5532016548778715,0.1054832962855835,2.7961186246129994e-20
5,0.025,28.402184615802973,1.5687965546628576e-06,298.83616171349496,9.217396256799406,4488.902220191286,2.5534451110095646,0.1050960917944335,3.408852663361655e-20
6,0.029166666666666667,28.21727153019837,1.469156378208657e-06,298.94795597154354,9.231769429210459,4502.783867813644,2.5541391933906823,0.10483239591503844,3.957645640759961e-20
7,0.03333333333333333,28.080209956332435,1.3666607522989161e-06,299.0598617443069,9.25259941919051,4522.8954479648755,2.555144772398244,0.10465232595069057,4.4702081073284445e-20
8,0.0375,27.97524136658514,1.26197828076944e-06,299.171999222555,9.277924871175085,4547.344561367764,2.5563672280683885,0.10452868078254175,4.9262327790289287e-20
9,0.041666666666666664,27.891744118791625,1.1555562832442656e-06,299.2844527600341,9.306413312848816,4574.845582662332,2.557742279133117,0.10444297662157156,5.3538437966882163e-20
10,0.04583333333333333,27.822561423854594,1.0476929795745695e-06,299.39728239206994,9.337160586254326,4604.526142813891,2.559226307140695,0.10438268560952182,5.771445928935612e-20
11,0.05,27.76287245502876,9.38586155721002e-07,299.5105316702492,9.369554064989844,4635.795155117234,2.560789757755862,0.10433933190866805,6.186525160314722e-20
