angle_deg,energy_kcal_mol,rel_energy_kcal_mol,achieved_deg
0.0,91.9870,2.5535,5.00
10.0,90.9030,1.4695,15.00
20.0,90.1602,0.7267,25.00
30.0,89.6485,0.2150,35.00
40.0,89.4342,0.0007,45.00
50.0,89.4335,0.0000,45.59
60.0,89.6209,0.1874,55.00
70.0,90.1748,0.7413,65.00
80.0,90.8976,1.4641,75.00
90.0,91.5743,2.1408,85.00
100.0,91.9484,2.5149,95.00
110.0,91.8800,2.4465,115.00
120.0,91.4292,1.9958,125.00
130.0,90.7382,1.3047,135.00
140.0,90.4180,0.9845,144.92
150.0,90.4180,0.9845,145.00
160.0,90.8119,1.3784,155.00
170.0,91.9662,2.5327,165.00
180.0,93.2721,3.8386,175.00
190.0,94.8255,5.3921,-175.00
200.0,97.2369,7.8034,-165.00
210.0,89.5096,0.0761,-155.00
220.0,90.1122,0.6787,-145.00
230.0,91.0305,1.5970,-135.00
240.0,92.0485,2.6150,-125.00
250.0,93.0633,3.6298,-115.00
260.0,93.7870,4.3535,-105.00
270.0,93.4310,3.9975,-85.00
280.0,92.8629,3.4294,-75.00
290.0,92.3957,2.9622,-65.00
300.0,92.0806,2.6471,-55.00
310.0,91.7991,2.3656,-45.00
320.0,91.7810,2.3475,-42.11
330.0,91.8898,2.4563,-35.00
340.0,92.4003,2.9668,-25.00
350.0,93.2072,3.7737,-15.00
