step,time_ps,pe_kj_mol,ke_kj_mol,te_kj_mol,temp_k,rmsd_A,rg_A,n_imhb
5500,11.0,-6292.07,234.93,-6057.14,274.3,2.724,6.436,0
6000,12.0,-6263.02,254.1,-6008.93,296.7,2.451,6.64,0
6500,13.0,-6293.35,279.38,-6013.98,326.2,2.463,6.815,0
7000,14.0,-6230.95,262.15,-5968.8,306.1,2.593,6.908,0
7500,15.0,-6235.73,264.27,-5971.46,308.6,3.032,6.768,0
8000,16.0,-6310.21,275.03,-6035.18,321.2,2.797,7.521,0
8500,17.0,-6281.04,227.26,-6053.78,265.4,2.266,8.059,0
9000,18.0,-6274.39,236.84,-6037.55,276.6,2.506,7.927,0
9500,19.0,-6305.58,281.4,-6024.19,328.6,2.743,7.803,0
10000,20.0,-6290.04,321.83,-5968.2,375.8,2.714,7.569,0
10500,21.0,-6257.44,245.9,-6011.54,287.1,2.653,7.512,0
11000,22.0,-6276.65,227.7,-6048.94,265.9,2.845,7.434,0
11500,23.0,-6314.22,277.35,-6036.87,323.9,2.701,7.505,0
12000,24.0,-6300.79,242.18,-6058.61,282.8,2.714,7.802,0
12500,25.0,-6254.23,250.13,-6004.1,292.1,2.789,7.697,0
13000,26.0,-6272.07,234.17,-6037.9,273.4,2.906,7.652,0
13500,27.0,-6269.52,256.75,-6012.77,299.8,2.996,7.912,0
14000,28.0,-6277.66,263.51,-6014.15,307.7,2.829,7.483,0
14500,29.0,-6309.16,250.84,-6058.32,292.9,2.801,7.867,0
15000,30.0,-6265.7,271.59,-5994.11,317.1,3.008,7.718,0
15500,31.0,-6255.86,262.26,-5993.6,306.2,3.14,7.594,0
16000,32.0,-6235.58,289.95,-5945.63,338.6,2.704,7.788,0
16500,33.0,-6246.01,269.16,-5976.85,314.3,2.72,7.991,0
17000,34.0,-6274.74,240.82,-6033.92,281.2,3.202,7.486,0
17500,35.0,-6279.01,219.93,-6059.08,256.8,3.291,7.772,0
18000,36.0,-6313.38,264.67,-6048.71,309.1,3.115,7.814,0
18500,37.0,-6269.92,233.19,-6036.73,272.3,3.05,7.807,0
19000,38.0,-6311.45,227.39,-6084.05,265.5,2.908,7.802,0
19500,39.0,-6268.59,238.24,-6030.35,278.2,2.907,7.698,0
20000,40.0,-6292.93,206.86,-6086.06,241.6,2.716,7.696,0
20500,41.0,-6284.03,236.12,-6047.91,275.7,2.656,7.8,0
21000,42.0,-6237.66,272.54,-5965.12,318.2,2.861,7.472,0
21500,43.0,-6252.89,268.97,-5983.92,314.1,2.583,7.722,0
22000,44.0,-6265.24,291.6,-5973.63,340.5,2.748,7.798,0
22500,45.0,-6266.68,264.48,-6002.2,308.8,2.799,7.431,0
23000,46.0,-6260.01,265.01,-5995.0,309.5,3.107,7.586,0
23500,47.0,-6267.56,250.74,-6016.82,292.8,2.483,7.733,0
24000,48.0,-6305.55,249.05,-6056.5,290.8,2.66,7.887,0
24500,49.0,-6285.73,268.36,-6017.37,313.4,2.961,7.901,0
25000,50.0,-6255.09,256.32,-5998.76,299.3,2.848,7.406,0
25500,51.0,-6256.15,288.45,-5967.7,336.8,2.721,7.886,0
26000,52.0,-6255.55,294.04,-5961.5,343.4,2.76,7.686,0
26500,53.0,-6298.55,254.26,-6044.29,296.9,2.788,7.461,0
27000,54.0,-6279.43,240.02,-6039.4,280.3,2.787,7.508,0
27500,55.0,-6281.02,272.15,-6008.87,317.8,2.457,7.714,0
28000,56.0,-6260.94,276.58,-5984.36,323.0,2.825,7.7,0
28500,57.0,-6265.54,281.91,-5983.64,329.2,2.975,7.791,0
29000,58.0,-6210.15,275.2,-5934.96,321.3,3.196,7.716,0
29500,59.0,-6264.58,318.11,-5946.47,371.5,2.511,7.755,0
30000,60.0,-6282.03,264.26,-6017.77,308.6,2.346,7.636,0
30500,61.0,-6318.07,288.04,-6030.03,336.3,2.452,7.885,0
31000,62.0,-6331.99,255.69,-6076.3,298.6,2.918,7.65,0
