bias_v,tip_plus_current_a,tip_minus_current_a,asymmetry
-0.3,-1.85908609668e-05,-1.85907628111e-05,2.63989814993e-06
-0.295,-1.82830889828e-05,-1.82829933346e-05,2.61576175225e-06
-0.29,-1.79746402775e-05,-1.79745470576e-05,2.59310152917e-06
-0.285,-1.76655366158e-05,-1.766544575e-05,2.57184523187e-06
-0.28,-1.73558090931e-05,-1.73557205123e-05,2.55191235038e-06
-0.275,-1.70454975716e-05,-1.70454112121e-05,2.53321458912e-06
-0.27,-1.67346499755e-05,-1.67345657785e-05,2.51565644498e-06
-0.265,-1.64233214567e-05,-1.64232393687e-05,2.49913589416e-06
-0.26,-1.61115734453e-05,-1.61114934179e-05,2.48354518157e-06
-0.255,-1.57994726002e-05,-1.57993945898e-05,2.46877171207e-06
-0.25,-1.54870896777e-05,-1.54870136456e-05,2.45469903354e-06
-0.245,-1.51744983377e-05,-1.51744242497e-05,2.44120790341e-06
-0.24,-1.4861773906e-05,-1.48617017322e-05,2.42817741998e-06
-0.235,-1.45489921169e-05,-1.45489218313e-05,2.41548620875e-06
-0.23,-1.42362278546e-05,-1.42361594351e-05,2.40301363879e-06
-0.225,-1.39235539184e-05,-1.39234873461e-05,2.39064105541e-06
-0.22,-1.36110398297e-05,-1.36109750888e-05,2.37825300356e-06
-0.215,-1.32987507043e-05,-1.32986877817e-05,2.36573842615e-06
-0.21,-1.29867462075e-05,-1.29866850922e-05,2.35299181571e-06
-0.205,-1.26750796103e-05,-1.26750202933e-05,2.33991429987e-06
-0.2,-1.23637969625e-05,-1.2363739436e-05,2.32641464928e-06
-0.195,-1.20529363949e-05,-1.20528806524e-05,2.31241018879e-06
-0.19,-1.17425275639e-05,-1.17424735994e-05,2.29782760403e-06
-0.185,-1.14325912434e-05,-1.14325390514e-05,2.28260363729e-06
-0.18,-1.11231390725e-05,-1.11230886473e-05,2.26668566217e-06
-0.175,-1.08141734595e-05,-1.08141247952e-05,2.25003214059e-06
-0.17,-1.05056876426e-05,-1.05056407325e-05,2.23261296046e-06
-0.165,-1.01976659048e-05,-1.01976207413e-05,2.21440965727e-06
-0.16,-9.89008393675e-06,-9.89004051115e-06,2.19541552443e-06
-0.155,-9.58290934008e-06,-9.58286764233e-06,2.17563561917e-06
-0.15,-9.27610226096e-06,-9.27606227944e-06,2.15508667056e-06
-0.145,-8.96961614156e-06,-8.96957786296e-06,2.13379689905e-06
-0.14,-8.66339857578e-06,-8.66336198502e-06,2.11180575268e-06
-0.135,-8.35739225379e-06,-8.35735733395e-06,2.08916356725e-06
-0.13,-8.05153597896e-06,-8.05150271119e-06,2.06593115903e-06
-0.125,-7.74576573969e-06,-7.74573410327e-06,2.0421793502e-06
-0.12,-7.4400158183e-06,-7.43998579063e-06,2.01798843433e-06
-0.115,-7.13421991863e-06,-7.1341914753e-06,1.99344758127e-06
-0.11,-6.82831229405e-06,-6.82828540893e-06,1.96865418422e-06
-0.105,-6.52222885799e-06,-6.52220350335e-06,1.94371314643e-06
-0.1,-6.21590825929e-06,-6.21588440596e-06,1.9187361088e-06
-0.095,-5.90929290586e-06,-5.90927052339e-06,1.89384061569e-06
-0.09,-5.60232992071e-06,-5.60230897757e-06,1.86914921825e-06
-0.085,-5.29497201597e-06,-5.2949524798e-06,1.84478851442e-06
-0.08,-4.98717827162e-06,-4.98716010947e-06,1.82088812798e-06
-0.075,-4.67891480739e-06,-4.67889798598e-06,1.79757962474e-06
-0.07,-4.3701553378e-06,-4.37013982382e-06,1.77499537656e-06
-0.065,-4.0608816023e-06,-4.0608673627e-06,1.75326737239e-06
-0.06,-3.75108366405e-06,-3.75107066637e-06,1.73252598947e-06
-0.055,-3.44076007334e-06,-3.44074828601e-06,1.71289873569e-06
-0.05,-3.12991789308e-06,-3.12990728575e-06,1.69450897518e-06
-0.045,-2.81857258636e-06,-2.81856313021e-06,1.67747465359e-06
-0.04,-2.50674776796e-06,-2.50673943601e-06,1.66190704041e-06
-0.035,-2.19447482374e-06,-2.19446759116e-06,1.64790950894e-06
-0.03,-1.88179240396e-06,-1.88178624834e-06,1.63557637097e-06
-0.025,-1.56874579861e-06,-1.56874070022e-06,1.62499179001e-06
-0.02,-1.25538620473e-06,-1.25538214675e-06,1.61622878985e-06
-0.015,-9.41769897301e-07,-9.41766866034e-07,1.60934837956e-06
-0.01,-6.27957317311e-07,-6.27955302326e-07,1.60439881162e-06
