energy_ev,D_Tup,D_Tdown,L_Tup,L_Tdown,D_Px,D_Py,D_Pz,L_Px,L_Py,L_Pz,single_Pz,zero_SOC_Pz,flux_deficit
-1,0.434932586426,0.434926592533,0.434926592533,0.434932586426,3.74164447163e-06,-2.60917530417e-06,6.89064738933e-06,-3.7416444716e-06,-2.60917530416e-06,-6.89064738898e-06,1.49510112088e-15,0,8.49725689811e-09
-0.995,0.460165993272,0.46015949158,0.46015949158,0.460165993272,3.82448132621e-06,-2.63656907356e-06,7.06455680796e-06,-3.82448132619e-06,-2.63656907356e-06,-7.0645568072e-06,7.96556775719e-17,0,8.94845730848e-09
-0.99,0.499864989807,0.49985774764,0.49985774764,0.499864989807,3.90974535153e-06,-2.66388621162e-06,7.24417510429e-06,-3.90974535154e-06,-2.66388621164e-06,-7.24417510343e-06,1.06620940993e-15,0,9.66932023339e-09
-0.985,0.555614633648,0.555606377576,0.555606377576,0.555614633648,3.9975241656e-06,-2.69108609527e-06,7.42972987096e-06,-3.99752416559e-06,-2.69108609529e-06,-7.42972986976e-06,0,0,1.06790709609e-08
-0.98,0.62857658342,0.628567002153,0.628567002153,0.62857658342,4.08790874513e-06,-2.71812391289e-06,7.62145835635e-06,-4.08790874514e-06,-2.71812391288e-06,-7.62145835752e-06,2.76132705085e-16,0,1.19864549397e-08
-0.975,0.717708479834,0.717697255524,0.717697255524,0.717708479834,4.18099349321e-06,-2.74495024889e-06,7.81960771823e-06,-4.18099349324e-06,-2.74495024889e-06,-7.81960771869e-06,1.81535088016e-15,0,1.35562441272e-08
-0.97,0.816760563819,0.81674745584,0.81674745584,0.816760563819,4.27687629103e-06,-2.771510624e-06,8.02443523258e-06,-4.27687629102e-06,-2.77151062404e-06,-8.02443522936e-06,1.13071412328e-15,0,1.52559755939e-08
-0.965,0.911153431927,0.911138423151,0.911138423151,0.911153431927,4.37565852737e-06,-2.7977449855e-06,8.23620844917e-06,-4.37565852737e-06,-2.79774498553e-06,-8.23620844953e-06,-6.75187494089e-17,0,1.68061180528e-08
-0.96,0.978832140999,0.978815588685,0.978815588685,0.978832140999,4.47744510138e-06,-2.82358714239e-06,8.45520528652e-06,-4.47744510139e-06,-2.8235871424e-06,-8.45520528615e-06,-8.40535914335e-16,0,1.78087702363e-08
-0.955,0.99968739239,0.999670034541,0.999670034541,0.99968739239,4.58234438891e-06,-2.84896413812e-06,8.68171400242e-06,-4.58234438891e-06,-2.84896413812e-06,-8.68171400287e-06,-2.95649773994e-16,0,1.79285928326e-08
