cavity_ev,N1_quantum_ratio,N1_classical_ratio,N1_quantum_rate_s-1,N4_quantum_ratio,N4_classical_ratio,N4_quantum_rate_s-1,N16_quantum_ratio,N16_classical_ratio,N16_quantum_rate_s-1,N64_quantum_ratio,N64_classical_ratio,N64_quantum_rate_s-1
0.06,0.986065386952,0.900882368878,3.17149512963e-20,0.998991333574,0.976540348272,3.2130690225e-20,0.999875919794,0.994214501813,3.21591412884e-20,0.999976613756,0.998558525906,3.21623799216e-20
0.0615,0.98602001378,0.904351476385,3.1713491953e-20,0.998832207302,0.977295035823,3.21255722257e-20,0.999829699297,0.994396852497,3.21576546925e-20,0.999964692084,0.998603730405,3.21619964833e-20
0.063,0.985953269148,0.907646775848,3.17113452366e-20,0.998678951517,0.978016509841,3.21206430396e-20,0.999785336343,0.994571422406,3.21562278409e-20,0.999953255596,0.998647020623,3.21616286501e-20
0.0645,0.985869680035,0.910780665334,3.17086567489e-20,0.998531561695,0.978706827506,3.21159025213e-20,0.999742797062,0.994738678611,3.21548596444e-20,0.999942294165,0.998688510617,3.21612760961e-20
0.066,0.985773099851,0.913764355814,3.17055504277e-20,0.998390011078,0.979367871578,3.21113498101e-20,0.999702045788,0.994899049447,3.21535489558e-20,0.999931797403,0.998728305032,3.21609384874e-20
0.0675,0.98566681059,0.91660801244,3.17021318321e-20,0.998254254121,0.980001369051,3.21069834412e-20,0.999663045404,0.995052928588,3.21522945813e-20,0.999921754722,0.998766500088,3.21606154833e-20
0.069,0.985553607854,0.919320876028,3.16984908776e-20,0.998124229414,0.980608907453,3.21028014394e-20,0.999625757632,0.995200678624,3.21510952898e-20,0.999912155382,0.998803184442,3.21603067384e-20
0.0705,0.985435871925,0.921911367897,3.16947041213e-20,0.997999862168,0.981191949142,3.20988013992e-20,0.999590143279,0.995342634194,3.21499498206e-20,0.999902988536,0.998838439954,3.2160011904e-20
0.072,0.98531562743,0.924387180693,3.16908366818e-20,0.997881066323,0.98175184386,3.20949805527e-20,0.999556162447,0.995479104748,3.21488568906e-20,0.999894243267,0.998872342354,3.21597306287e-20
0.0735,0.985194593637,0.926755357314,3.16869438559e-20,0.997767746374,0.982289839807,3.20913358282e-20,0.999523774713,0.995610376991,3.21478151997e-20,0.999885908619,0.998904961833,3.21594625603e-20
0.075,0.98507422701,0.929022359737,3.16830724882e-20,0.997659798928,0.982807093416,3.20878639003e-20,0.999492939291,0.995736717038,3.21468234359e-20,0.999877973623,0.998936363569,3.2159207346e-20
0.0765,0.984955757347,0.931194129206,3.16792621328e-20,0.997557114064,0.983304678014,3.20845612334e-20,0.999463615169,0.995858372328,3.21458802803e-20,0.999870427328,0.998966608191,3.21589646335e-20
0.078,0.984840218584,0.933276139035,3.16755460443e-20,0.9974595765,0.983783591504,3.20814241199e-20,0.999435761231,0.99597557333,3.21449844104e-20,0.999863258816,0.998995752195,3.21587340717e-20
0.0795,0.984728475124,0.935273441059,3.16719520246e-20,0.997367066625,0.9842447632,3.20784487125e-20,0.999409336363,0.996088535058,3.21441345039e-20,0.999856457224,0.999023848306,3.21585153112e-20
0.081,0.984621244434,0.9371907066,3.16685031497e-20,0.997279461386,0.984689059927,3.20756310537e-20,0.999384299552,0.996197458421,3.21433292417e-20,0.999850011765,0.999050945815,3.21583080051e-20
0.0825,0.984519116472,0.939032262697,3.16652183946e-20,0.997196635079,0.985117291457,3.20729671002e-20,0.999360609972,0.996302531438,3.21425673106e-20,0.999843911738,0.999077090866,3.21581118091e-20
0.084,0.984422570462,0.940802124233,3.16621131725e-20,0.997118460033,0.985530215386,3.20704527459e-20,0.999338227057,0.996403930322,3.21418474059e-20,0.999838146545,0.999102326725,3.21579263824e-20
0.0855,0.984331989394,0.942504022476,3.16591998017e-20,0.997044807221,0.985928541503,3.20680838408e-20,0.999317110575,0.996501820451,3.21411682337e-20,0.999832705708,0.999126694014,3.21577513881e-20
0.087,0.984247672611,0.944141430502,3.16564879099e-20,0.996975546794,0.986312935717,3.20658562085e-20,0.999297220683,0.996596357251,3.21405285125e-20,0.999827578873,0.999150230925,3.2157586493e-20
0.0885,0.984169846746,0.945717585898,3.16539847863e-20,0.996910548554,0.986684023588,3.20637656615e-20,0.999278517989,0.996687686978,3.21399269753e-20,0.999822755827,0.999172973414,3.21574313687e-20
0.09,0.98409867525,0.947235511065,3.16516956881e-20,0.996849682371,0.987042393522,3.20618080145e-20,0.999260963599,0.996775947435,3.21393623711e-20,0.999818226505,0.99919495537,3.21572856916e-20
0.0915,0.984034266719,0.948698031421,3.1649624108e-20,0.996792818556,0.987388599644,3.20599790961e-20,0.999244519159,0.996861268618,3.21388334664e-20,0.999813981,0.999216208776,3.21571491428e-20
0.093,0.983976682168,0.950107791752,3.16477720084e-20,0.996739828185,0.987723164411,3.20582747597e-20,0.999229146898,0.996943773296,3.21383390463e-20,0.99981000957,0.999236763849,3.21570214092e-20
0.0945,0.983925941415,0.951467270931,3.16461400269e-20,0.996690583386,0.988046580968,3.20566908928e-20,0.999214809664,0.997023577545,3.2137877916e-20,0.999806302643,0.999256649171,3.21569021828e-20
0.096,0.983882028681,0.952778795186,3.16447276558e-20,0.996644957596,0.988359315299,3.20552234245e-20,0.99920147095,0.997100791223,3.21374489012e-20,0.999802850828,0.999275891802,3.21567911616e-20
0.0975,0.983844897509,0.95404455009,3.1643533401e-20,0.996602825783,0.988661808175,3.20538683334e-20,0.999189094928,0.997175518417,3.21370508495e-20,0.999799644916,0.999294517393,3.21566880495e-20
0.099,0.9838144751,0.955266591403,3.16425549211e-20,0.996564064643,0.988954476935,3.20526216537e-20,0.999177646467,0.997247857836,3.21366826312e-20,0.999796675887,0.999312550276,3.21565925562e-20
0.1005,0.983790666127,0.956446854915,3.16417891499e-20,0.996528552767,0.989237717102,3.20514794806e-20,0.999167091157,0.997317903178,3.21363431394e-20,0.999793934915,0.999330013559,3.21565043979e-20
0.102,0.983773356104,0.957587165367,3.16412324054e-20,0.996496170796,0.989511903871,3.2050437975e-20,0.999157395325,0.997385743462,3.2136031291e-20,0.999791413366,0.999346929205,3.2156423297e-20
0.1035,0.983762414354,0.958689244576,3.16408804844e-20,0.99646680154,0.989777393463,3.20494933677e-20,0.99914852605,0.997451463337,3.21357460274e-20,0.999789102808,0.999363318105,3.21563489823e-20
0.105,0.983757696636,0.959754718831,3.16407287478e-20,0.996440330098,0.990034524365,3.20486419632e-20,0.999140451174,0.997515143359,3.21354863141e-20,0.999786995009,0.999379200149,3.21562811888e-20
0.1065,0.983759047457,0.960785125646,3.16407721945e-20,0.996416643939,0.990283618476,3.20478801422e-20,0.999133139312,0.997576860251,3.21352511417e-20,0.999785081938,0.999394594285,3.21562196585e-20
0.108,0.983766302125,0.961781919922,3.16410055273e-20,0.99639563299,0.990524982151,3.20472043642e-20,0.999126559858,0.997636687136,3.21350395258e-20,0.999783355769,0.999409518581,3.21561641395e-20
0.1095,0.983779288552,0.962746479592,3.16414232115e-20,0.99637718969,0.990758907168,3.20466111699e-20,0.999120682991,0.99769469376,3.21348505074e-20,0.999781808879,0.999423990277,3.21561143867e-20
0.111,0.983797828854,0.963680110795,3.16420195257e-20,0.996361209047,0.990985671617,3.20460971824e-20,0.999115479674,0.99775094669,3.21346831524e-20,0.999780433851,0.99943802583,3.21560701614e-20
0.1125,0.983821740759,0.964584052618,3.16427886074e-20,0.996347588673,0.991205540724,3.20456591085e-20,0.999110921661,0.9978055095,3.21345365524e-20,0.999779223469,0.999451640967,3.21560312318e-20
0.114,0.983850838852,0.965459481455,3.16437244932e-20,0.996336228815,0.991418767603,3.20452937399e-20,0.999106981488,0.997858442946,3.21344098241e-20,0.999778170724,0.999464850718,3.21559973722e-20
0.1155,0.983884935664,0.966307515024,3.16448211535e-20,0.996327032371,0.991625593966,3.20449979535e-20,0.999103632477,0.997909805121,3.21343021094e-20,0.999777268805,0.999477669462,3.21559683636e-20
0.117,0.983923842642,0.96712921606,3.16460725238e-20,0.996319904902,0.99182625077,3.20447687117e-20,0.999100848726,0.997959651608,3.21342125753e-20,0.999776511104,0.999490110961,3.21559439936e-20
0.1185,0.983967370987,0.967925595729,3.16474725317e-20,0.996314754633,0.992020958819,3.20446030629e-20,0.999098605107,0.99800803561,3.21341404135e-20,0.999775891213,0.999502188393,3.2155924056e-20
0.12,0.9840153324,0.96869761677,3.1649015121e-20,0.996311492447,0.992209929328,3.20444981408e-20,0.99909687726,0.998055008087,3.21340848405e-20,0.999775402919,0.999513914381,3.21559083509e-20
0.1215,0.984067539724,0.969446196417,3.1650694272e-20,0.996310031878,0.992393364444,3.20444511643e-20,0.999095641579,0.998100617867,3.21340450971e-20,0.999775040204,0.999525301026,3.21558966849e-20
0.123,0.984123807509,0.97017220909,3.16525040202e-20,0.996310289086,0.992571457731,3.2044459437e-20,0.999094875207,0.99814491176,3.21340204482e-20,0.999774797243,0.999536359932,3.21558888705e-20
0.1245,0.984183952498,0.970876488899,3.16544384714e-20,0.996312182841,0.992744394624,3.20445203461e-20,0.999094556027,0.998187934664,3.21340101824e-20,0.999774668398,0.999547102232,3.21558847264e-20
0.126,0.984247794048,0.97155983196,3.16564918156e-20,0.996315634492,0.99291235285,3.2044631362e-20,0.999094662647,0.998229729656,3.21340136116e-20,0.999774648221,0.999557538612,3.21558840775e-20
