dimensionless_reaction_q,photon_massweighted_Q,potential_ev
-1.3,-18,10.1304516821
-1.274,-18,9.86450652237
-1.248,-18,9.62004877107
-1.222,-18,9.39600820504
-1.196,-18,9.19133666758
-1.17,-18,9.00500806843
-1.144,-18,8.83601838379
-1.118,-18,8.68338565632
-1.092,-18,8.54614999515
-1.066,-18,8.42337357584
-1.04,-18,8.31414064042
-1.014,-18,8.21755749738
-0.988,-18,8.13275252167
-0.962,-18,8.05887615469
-0.936,-18,7.99510090429
-0.91,-18,7.9406213448
-0.884,-18,7.89465411699
-0.858,-18,7.85643792809
-0.832,-18,7.82523355178
-0.806,-18,7.80032382822
-0.78,-18,7.78101366399
-0.754,-18,7.76663003217
-0.728,-18,7.75652197226
-0.702,-18,7.75006059025
-0.676,-18,7.74663905855
-0.65,-18,7.74567261606
-0.624,-18,7.74659856812
-0.598,-18,7.74887628654
-0.572,-18,7.75198720956
-0.546,-18,7.75543484192
-0.52,-18,7.75874475477
-0.494,-18,7.76146458575
-0.468,-18,7.76316403895
-0.442,-18,7.7634348849
-0.416,-18,7.76189096062
-0.39,-18,7.75816816956
-0.364,-18,7.75192448163
-0.338,-18,7.7428399332
-0.312,-18,7.73061662711
-0.286,-18,7.71497873265
-0.26,-18,7.69567248554
-0.234,-18,7.67246618801
-0.208,-18,7.6451502087
-0.182,-18,7.61353698272
-0.156,-18,7.57746101166
-0.13,-18,7.53677886353
-0.104,-18,7.49136917283
-0.078,-18,7.4411326405
-0.052,-18,7.38599203394
-0.026,-18,7.325892187
0,-18,7.2608
0.026,-18,7.19070443971
0.052,-18,7.11561653937
0.078,-18,7.03556939865
0.104,-18,6.95061818369
0.13,-18,6.86084012711
0.156,-18,6.76633452795
0.182,-18,6.66722275173
0.208,-18,6.56364823042
0.234,-18,6.45577646244
0.26,-18,6.3437950127
0.286,-18,6.22791351251
0.312,-18,6.1083636597
0.338,-18,5.9853992185
0.364,-18,5.85929601964
0.39,-18,5.73035196028
0.416,-18,5.59888700406
0.442,-18,5.46524318106
0.468,-18,5.32978458782
0.494,-18,5.19289738734
0.52,-18,5.05498980907
0.546,-18,4.91649214894
0.572,-18,4.7778567693
0.598,-18,4.63955809899
0.624,-18,4.50209263329
0.65,-18,4.36597893394
0.676,-18,4.23175762914
0.702,-18,4.09999141356
0.728,-18,3.97126504829
0.754,-18,3.84618536091
0.78,-18,3.72538124545
0.806,-18,3.60950366239
0.832,-18,3.49922563867
0.858,-18,3.39524226769
0.884,-18,3.29827070931
0.91,-18,3.20905018984
0.936,-18,3.12834200204
0.962,-18,3.05692950515
0.988,-18,2.99561812485
1.014,-18,2.94523535327
1.04,-18,2.90663074902
1.066,-18,2.88067593716
1.092,-18,2.86826460919
1.118,-18,2.87031252308
1.144,-18,2.88775750326
1.17,-18,2.92155944061
1.196,-18,2.97270029248
1.222,-18,3.04218408266
1.248,-18,3.1310369014
1.274,-18,3.24030690542
1.3,-18,3.37106431788
-1.3,-17.7,9.90062145408
-1.274,-17.7,9.6358028589
-1.248,-17.7,9.39247167215
-1.222,-17.7,9.16955767069
-1.196,-17.7,8.96601269779
-1.17,-17.7,8.7808106632
-1.144,-17.7,8.61294754312
-1.118,-17.7,8.46144138021
-1.092,-17.7,8.3253322836
-1.066,-17.7,8.20368242885
-1.04,-17.7,8.09557605799
-1.014,-17.7,8.00011947951
-0.988,-17.7,7.91644106836
-0.962,-17.7,7.84369126594
-0.936,-17.7,7.78104258011
-0.91,-17.7,7.72768958518
-0.884,-17.7,7.68284892193
-0.858,-17.7,7.64575929759
-0.832,-17.7,7.61568148584
-0.806,-17.7,7.59189832683
-0.78,-17.7,7.57371472717
-0.754,-17.7,7.56045765991
-0.728,-17.7,7.55147616456
-0.702,-17.7,7.54614134711
-0.676,-17.7,7.54384637997
-0.65,-17.7,7.54400650204
-0.624,-17.7,7.54605901867
-0.598,-17.7,7.54946330164
-0.572,-17.7,7.55370078923
-0.546,-17.7,7.55827498614
-0.52,-17.7,7.56271146355
-0.494,-17.7,7.5665578591
-0.468,-17.7,7.56938387685
-0.442,-17.7,7.57078128737
-0.416,-17.7,7.57036392765
-0.39,-17.7,7.56776770115
-0.364,-17.7,7.56265057778
-0.338,-17.7,7.55469259391
-0.312,-17.7,7.54359585238
-0.286,-17.7,7.52908452248
-0.26,-17.7,7.51090483994
-0.234,-17.7,7.48882510696
-0.208,-17.7,7.46263569221
-0.182,-17.7,7.4321490308
-0.156,-17.7,7.39719962429
-0.13,-17.7,7.35764404073
-0.104,-17.7,7.31336091459
-0.078,-17.7,7.26425094682
-0.052,-17.7,7.21023690481
-0.026,-17.7,7.15126362244
0,-17.7,7.087298
0.026,-17.7,7.01832900427
0.052,-17.7,6.94436766849
0.078,-17.7,6.86544709233
0.104,-17.7,6.78162244194
0.13,-17.7,6.69297094991
0.156,-17.7,6.59959191531
0.182,-17.7,6.50160670365
0.208,-17.7,6.3991587469
0.234,-17.7,6.29241354349
0.26,-17.7,6.1815586583
0.286,-17.7,6.06680372268
0.312,-17.7,5.94838043442
0.338,-17.7,5.82654255779
0.364,-17.7,5.70156592349
0.39,-17.7,5.57374842869
0.416,-17.7,5.44341003703
0.442,-17.7,5.31089277859
0.468,-17.7,5.17656074991
0.494,-17.7,5.04080011399
0.52,-17.7,4.90401910029
0.546,-17.7,4.76664800471
0.572,-17.7,4.62913918963
0.598,-17.7,4.49196708388
0.624,-17.7,4.35562818274
0.65,-17.7,4.22064104796
0.676,-17.7,4.08754630772
0.702,-17.7,3.9569066567
0.728,-17.7,3.82930685599
0.754,-17.7,3.70535373317
0.78,-17.7,3.58567618227
0.806,-17.7,3.47092516377
0.832,-17.7,3.36177370461
0.858,-17.7,3.2589168982
0.884,-17.7,3.16307190437
0.91,-17.7,3.07497794946
0.936,-17.7,2.99539632623
0.962,-17.7,2.9251103939
0.988,-17.7,2.86492557815
1.014,-17.7,2.81566937114
1.04,-17.7,2.77819133145
1.066,-17.7,2.75336308415
1.092,-17.7,2.74207832074
1.118,-17.7,2.74525279919
1.144,-17.7,2.76382434393
1.17,-17.7,2.79875284584
1.196,-17.7,2.85102026227
1.222,-17.7,2.92163061701
1.248,-17.7,3.01161000031
1.274,-17.7,3.12200656889
1.3,-17.7,3.25389054592
-1.3,-17.4,9.67370722605
-1.274,-17.4,9.41001519542
-1.248,-17.4,9.16781057324
-1.222,-17.4,8.94602313633
-1.196,-17.4,8.74360472799
-1.17,-17.4,8.55952925796
-1.144,-17.4,8.39279270245
-1.118,-17.4,8.2424131041
-1.092,-17.4,8.10743057205
-1.066,-17.4,7.98690728186
-1.04,-17.4,7.87992747556
-1.014,-17.4,7.78559746164
-0.988,-17.4,7.70304561505
-0.962,-17.4,7.63142237719
-0.936,-17.4,7.56990025592
-0.91,-17.4,7.51767382555
-0.884,-17.4,7.47395972686
-0.858,-17.4,7.43799666708
-0.832,-17.4,7.4090454199
-0.806,-17.4,7.38638882545
-0.78,-17.4,7.36933179035
-0.754,-17.4,7.35720128765
-0.728,-17.4,7.34934635686
-0.702,-17.4,7.34513810397
-0.676,-17.4,7.34396970139
-0.65,-17.4,7.34525638802
-0.624,-17.4,7.34843546921
-0.598,-17.4,7.35296631674
-0.572,-17.4,7.35833036889
-0.546,-17.4,7.36403113037
-0.52,-17.4,7.36959417234
-0.494,-17.4,7.37456713244
-0.468,-17.4,7.37851971476
-0.442,-17.4,7.38104368984
-0.416,-17.4,7.38175289468
-0.39,-17.4,7.38028323273
-0.364,-17.4,7.37629267393
-0.338,-17.4,7.36946125462
-0.312,-17.4,7.35949107766
-0.286,-17.4,7.34610631231
-0.26,-17.4,7.32905319433
-0.234,-17.4,7.30810002592
-0.208,-17.4,7.28303717572
-0.182,-17.4,7.25367707887
-0.156,-17.4,7.21985423693
-0.13,-17.4,7.18142521792
-0.104,-17.4,7.13826865635
-0.078,-17.4,7.09028525314
-0.052,-17.4,7.03739777569
-0.026,-17.4,6.97955105788
0,-17.4,6.916712
0.026,-17.4,6.84886956883
0.052,-17.4,6.77603479761
0.078,-17.4,6.69824078601
0.104,-17.4,6.61554270018
0.13,-17.4,6.52801777272
0.156,-17.4,6.43576530268
0.182,-17.4,6.33890665558
0.208,-17.4,6.23758526339
0.234,-17.4,6.13196662454
0.26,-17.4,6.02223830391
0.286,-17.4,5.90860993285
0.312,-17.4,5.79131320915
0.338,-17.4,5.67060189708
0.364,-17.4,5.54675182734
0.39,-17.4,5.42006089711
0.416,-17.4,5.29084907001
0.442,-17.4,5.15945837613
0.468,-17.4,5.02625291201
0.494,-17.4,4.89161884064
0.52,-17.4,4.7559643915
0.546,-17.4,4.61971986048
0.572,-17.4,4.48333760997
0.598,-17.4,4.34729206878
0.624,-17.4,4.2120797322
0.65,-17.4,4.07821916198
0.676,-17.4,3.9462509863
0.702,-17.4,3.81673789983
0.728,-17.4,3.69026466369
0.754,-17.4,3.56743810543
0.78,-17.4,3.44888711909
0.806,-17.4,3.33526266515
0.832,-17.4,3.22723777055
