B_t,lo,hi,nu_hz,slope_hz_t,curvature_hz_t2,Sx_element
0.00272081573587,3,11,1186493916.65,0,6.78177740853e+12,0.416477151961
0.00207362766856,2,13,1212259349.06,0.000251770019531,1.44956850887e+14,0.407750087691
0.00684353458189,4,11,1155003335.51,6.91413879395e-06,1.05745079523e+12,0.327028034561
0.0174160048304,5,10,1074627480.02,-1.81198120117e-05,715859642506,0.273210092697
0.0292618865973,6,9,898090741.762,-2.38418579102e-06,857793598532,0.258003398276
0.0292227205959,5,8,901535863.19,8.58306884766e-06,856522468926,0.235004576923
0.017353606959,4,9,1076497033.94,0.000709056854248,713570923853,0.226044343236
0.00718576318334,3,10,1156136978.07,-1.43051147461e-05,1.20818768666e+12,0.195195159031
0.00205509040817,2,12,1210777852.8,0.0236155986786,-1.28460361883e+14,0.181540120702
0.0022467070727,2,9,1184878353.6,-0.000110626220703,4.52510755515e+12,0.152740978128
0.0705980626864,8,9,196759454.909,5.72204589844e-06,-26734111372.9,0.147487547242
0.0715145362386,5,6,201289903.977,5.72204589844e-06,-24596954301,0.144384155268
0.00432685968047,2,11,1193996925.09,6.38961791992e-05,1.29781064797e+13,0.127930049307
0.00400425430548,2,10,1187545927.09,-0.0114431381226,-9.32648889161e+12,0.117710979021
0.113649287707,9,10,168190858.283,-1.90734863281e-06,-2329680804.49,0.08918975562
0.12719413331,4,5,172641127.228,-3.81469726562e-06,-1156060175.45,0.0791997178925
0.00211999432637,6,13,1189330990.74,0.000369548797607,7.12594868478e+13,0.0554796615324
0.214491456692,10,11,157579349.069,-1.90734863281e-06,-233636671.287,0.0468423723862
0.00215017292824,2,8,1162143139.68,-0.00272750854492,3.49914006431e+12,0.0462097726365
0.0036439801209,2,7,1162610244.92,-1.14440917969e-05,-581073805369,0.0330910552492
