B_t,modulation_frequency_hz,amplitude
0.0001,0,0.000166618068782
0.0001,8462.81654255,0.360238270629
0.0001,16925.6330851,0.121522267478
0.0001,25388.4496276,0.0136026950236
0.0001,33851.2661702,0.00477931981063
0.0001,42314.0827127,0.00294758468579
0.0001,50776.8992553,0.00106102797638
0.0001,59239.7157978,0.000743158769379
0.0001,67702.5323404,0.000890364993424
0.0001,76165.3488829,0.000412813456847
0.0001,84628.1654255,0.000291262273963
0.0001,93090.981968,0.000228672840863
0.0001,101553.798511,0.000176019844507
0.0001,110016.615053,0.000138481801584
0.0001,118479.431596,0.000110795315747
0.0001,126942.248138,8.9991460699e-05
0.0001,135405.064681,7.40506968669e-05
0.0001,143867.881223,6.16960528821e-05
0.0001,152330.697766,5.19179321105e-05
0.0001,160793.514308,4.40989676275e-05
0.0001,169256.330851,3.77707034656e-05
0.0001,177719.147394,3.25941804596e-05
0.0001,186181.963936,2.8319032547e-05
0.0001,194644.780479,2.47574238336e-05
0.0001,203107.597021,2.17665845643e-05
0.0001,211570.413564,1.9236688389e-05
0.0001,220033.230106,1.70823164733e-05
0.0001,228496.046649,1.52363577476e-05
0.0001,236958.863191,1.36455905113e-05
0.0001,245421.679734,1.22674416459e-05
0.0001,253884.496276,1.10675818792e-05
0.0001,262347.312819,1.00181221219e-05
0.0001,270810.129362,9.09624702725e-06
0.0001,279272.945904,8.28317007567e-06
0.0001,287735.762447,7.56332752003e-06
0.0001,296198.578989,6.92375148428e-06
0.0001,304661.395532,6.35357863654e-06
0.0001,313124.212074,5.84366232558e-06
0.0001,321587.028617,5.38626430263e-06
0.0001,330049.845159,4.97480811823e-06
0.0001,338512.661702,4.60368065353e-06
0.0001,346975.478245,4.26807146936e-06
0.0001,355438.294787,3.96384205659e-06
0.0001,363901.11133,3.68741886741e-06
0.0001,372363.927872,3.43570537343e-06
0.0001,380826.744415,3.2060094239e-06
0.0001,389289.560957,2.99598297518e-06
0.0001,397752.3775,2.8035718696e-06
0.0001,406215.194042,2.62697381911e-06
0.0001,414678.010585,2.46460311342e-06
0.0001,423140.827127,2.31506086885e-06
0.0001,431603.64367,2.17710985666e-06
0.0001,440066.460213,2.04965313156e-06
0.0001,448529.276755,1.93171583075e-06
0.0001,456992.093298,1.82242962029e-06
0.0001,465454.90984,1.72101936546e-06
0.0001,473917.726383,1.62679167318e-06
0.0001,482380.542925,1.53912501633e-06
0.0001,490843.359468,1.45746119674e-06
0.0001,499306.17601,1.38129794939e-06
0.0001,507768.992553,1.31018251538e-06
0.0001,516231.809096,1.24370604571e-06
0.0001,524694.625638,1.18149871653e-06
0.0001,533157.442181,1.12322545475e-06
0.0001,541620.258723,1.06858219086e-06
0.0001,550083.075266,1.01729256571e-06
0.0001,558545.891808,9.69105031842e-07
0.0001,567008.708351,9.23790294728e-07
0.0001,575471.524893,8.81139052633e-07
0.0001,583934.341436,8.40959993439e-07
0.0001,592397.157978,8.03078018656e-07
0.0001,600859.974521,7.67332664295e-07
0.0001,609322.791064,7.33576695194e-07
0.0001,617785.607606,7.01674851351e-07
0.0001,626248.424149,6.71502728256e-07
0.0001,634711.240691,6.42945775297e-07
0.0001,643174.057234,6.15898398221e-07
0.0001,651636.873776,5.90263153524e-07
0.0001,660099.690319,5.65950025134e-07
0.0001,668562.506861,5.42875773082e-07
0.0001,677025.323404,5.20963346418e-07
0.0001,685488.139946,5.00141353929e-07
0.0001,693950.956489,4.80343586195e-07
0.0001,702413.773032,4.61508581745e-07
0.0001,710876.589574,4.43579235975e-07
0.0001,719339.406117,4.26502445656e-07
0.0001,727802.222659,4.10228785662e-07
0.0001,736265.039202,3.94712216184e-07
0.0001,744727.855744,3.79909815371e-07
0.0001,753190.672287,3.65781536629e-07
0.0001,761653.488829,3.52289986438e-07
0.0001,770116.305372,3.39400222339e-07
0.0001,778579.121915,3.27079567289e-07
0.0001,787041.938457,3.1529744134e-07
0.0001,795504.755,3.04025205998e-07
0.0001,803967.571542,2.93236022483e-07
0.0001,812430.388085,2.82904721314e-07
0.0001,820893.204627,2.73007683106e-07
0.0001,829356.02117,2.63522727978e-07
0.0001,837818.837712,2.54429015041e-07
0.0001,846281.654255,2.45706948995e-07
0.0001,854744.470797,2.37338094355e-07
0.0001,863207.28734,2.29305096545e-07
0.0001,871670.103883,2.21591608559e-07
0.0001,880132.920425,2.1418222394e-07
0.0001,888595.736968,2.07062414379e-07
0.0001,897058.55351,2.00218471406e-07
0.0001,905521.370053,1.93637454255e-07
0.0001,913984.186595,1.87307139086e-07
0.0001,922447.003138,1.81215974172e-07
0.0001,930909.81968,1.7535303686e-07
0.0001,939372.636223,1.69707994285e-07
0.0001,947835.452766,1.64271066092e-07
0.0001,956298.269308,1.59032991689e-07
0.0001,964761.085851,1.53984997066e-07
0.0001,973223.902393,1.49118765939e-07
0.0001,981686.718936,1.4442641249e-07
0.0001,990149.535478,1.39900455153e-07
0.0001,998612.352021,1.35533793086e-07
0.0001,1007075.16856,1.31319683795e-07
0.0001,1015537.98511,1.27251722184e-07
0.0001,1024000.80165,1.23323821445e-07
0.0001,1032463.61819,1.19530194258e-07
0.0001,1040926.43473,1.15865336408e-07
0.0001,1049389.25128,1.12324010641e-07
0.0001,1057852.06782,1.08901231424e-07
0.0001,1066314.88436,1.05592251583e-07
0.0001,1074777.7009,1.02392548909e-07
0.0001,1083240.51745,9.92978136468e-08
0.0001,1091703.33399,9.63039374438e-08
0.0001,1100166.15053,9.34070022733e-08
0.0001,1108628.96707,9.0603270367e-08
0.0001,1117091.78362,8.78891747013e-08
0.0001,1125554.60016,8.52613095912e-08
0.0001,1134017.4167,8.27164234679e-08
0.0001,1142480.23324,8.02514091599e-08
0.0001,1150943.04979,7.78632980299e-08
0.0001,1159405.86633,7.55492521822e-08
0.0001,1167868.68287,7.33065577616e-08
0.0001,1176331.49941,7.11326192485e-08
0.0001,1184794.31596,6.90249526087e-08
0.0001,1193257.1325,6.69811811727e-08
0.0001,1201719.94904,6.49990288367e-08
0.0001,1210182.76558,6.3076316144e-08
0.0001,1218645.58213,6.12109553996e-08
0.0001,1227108.39867,5.94009459349e-08
0.0001,1235571.21521,5.76443702638e-08
0.0001,1244034.03175,5.59393899637e-08
0.0001,1252496.8483,5.42842419707e-08
0.0001,1260959.66484,5.2677235113e-08
0.0001,1269422.48138,5.1116746735e-08
0.0001,1277885.29792,4.96012193358e-08
0.0001,1286348.11447,4.81291578966e-08
0.0001,1294810.93101,4.66991268158e-08
0.0001,1303273.74755,4.53097470709e-08
0.0001,1311736.5641,4.39596941991e-08
0.0001,1320199.38064,4.26476951855e-08
0.0001,1328662.19718,4.13725265946e-08
0.0001,1337125.01372,4.01330122702e-08
0.0001,1345587.83027,3.89280214562e-08
0.0001,1354050.64681,3.77564660979e-08
0.0001,1362513.46335,3.6617300029e-08
0.0001,1370976.27989,3.55095163752e-08
0.0001,1379439.09644,3.44321461941e-08
0.0001,1387901.91298,3.33842568245e-08
0.0001,1396364.72952,3.23649501945e-08
0.0001,1404827.54606,3.13733617601e-08
0.0001,1413290.36261,3.04086584845e-08
0.0001,1421753.17915,2.94700383378e-08
0.0001,1430215.99569,2.85567279713e-08
0.0001,1438678.81223,2.76679828092e-08
0.0001,1447141.62878,2.68030847133e-08
0.0001,1455604.44532,2.59613415561e-08
0.0001,1464067.26186,2.5142086116e-08
0.0001,1472530.0784,2.43446746867e-08
0.0001,1480992.89495,2.35684869612e-08
0.0001,1489455.71149,2.28129240145e-08
0.0001,1497918.52803,2.20774084457e-08
0.0001,1506381.34457,2.13613828932e-08
0.0001,1514844.16112,2.06643096868e-08
0.0001,1523306.97766,1.99856697066e-08
0.0001,1531769.7942,1.93249619787e-08
0.0001,1540232.61074,1.86817029502e-08
0.0001,1548695.42729,1.80554254787e-08
0.0001,1557158.24383,1.7445678886e-08
0.0001,1565621.06037,1.68520274928e-08
0.0001,1574083.87691,1.62740509331e-08
0.0001,1582546.69346,1.57113430491e-08
0.0001,1591009.51,1.51635111988e-08
0.0001,1599472.32654,1.46301766712e-08
0.0001,1607935.14308,1.41109729321e-08
0.0001,1616397.95963,1.36055463063e-08
0.0001,1624860.77617,1.31135548776e-08
0.0001,1633323.59271,1.26346683025e-08
0.0001,1641786.40925,1.21685672431e-08
0.0001,1650249.2258,1.17149431415e-08
0.0001,1658712.04234,1.12734979099e-08
0.0001,1667174.85888,1.08439433488e-08
0.0001,1675637.67542,1.04260009704e-08
0.0001,1684100.49197,1.00194014435e-08
0.0001,1692563.30851,9.62388492857e-09
0.0001,1701026.12505,9.23919982143e-09
0.0001,1709488.94159,8.86510315435e-09
0.0001,1717951.75814,8.50136013408e-09
0.0001,1726414.57468,8.14774398663e-09
0.0001,1734877.39122,7.80403517293e-09
0.0001,1743340.20777,7.47002229658e-09
0.0001,1751803.02431,7.14550028144e-09
0.0001,1760265.84085,6.83027153264e-09
0.0001,1768728.65739,6.52414515094e-09
0.0001,1777191.47394,6.22693655676e-09
0.0001,1785654.29048,5.9384677171e-09
0.0001,1794117.10702,5.65856664469e-09
0.0001,1802579.92356,5.38706730977e-09
0.0001,1811042.74011,5.12380932123e-09
0.0001,1819505.55665,4.8686383971e-09
0.0001,1827968.37319,4.62140500507e-09
0.0001,1836431.18973,4.3819655146e-09
0.0001,1844894.00628,4.15018112103e-09
0.0001,1853356.82282,3.92591810366e-09
0.0001,1861819.63936,3.70904772077e-09
0.0001,1870282.4559,3.49944558747e-09
0.0001,1878745.27245,3.29699251373e-09
0.0001,1887208.08899,3.10157321712e-09
0.0001,1895670.90553,2.91307705775e-09
0.0001,1904133.72207,2.73139751367e-09
0.0001,1912596.53862,2.55643221329e-09
0.0001,1921059.35516,2.38808289527e-09
0.0001,1929522.1717,2.22625483361e-09
0.0001,1937984.98824,2.07085726442e-09
0.0001,1946447.80479,1.92180305097e-09
0.0001,1954910.62133,1.77900848158e-09
0.0001,1963373.43787,1.64239322497e-09
0.0001,1971836.25441,1.5118800243e-09
0.0001,1980299.07096,1.38739458745e-09
0.0001,1988761.8875,1.26886583573e-09
0.0001,1997224.70404,1.15622468275e-09
0.0001,2005687.52058,1.04940460211e-09
0.0001,2014150.33713,9.48341017021e-10
0.0001,2022613.15367,8.52970639555e-10
0.0001,2031075.97021,7.63231020476e-10
0.0001,2039538.78675,6.79060039829e-10
0.0001,2048001.6033,6.00394043191e-10
0.0001,2056464.41984,5.27167270653e-10
0.0001,2064927.23638,4.59309691967e-10
0.0001,2073390.05292,3.96743606998e-10
0.0001,2081852.86947,3.39380677785e-10
0.0001,2090315.68601,2.87116478676e-10
0.0001,2098778.50255,2.39823104871e-10
0.0001,2107241.31909,1.97340058306e-10
0.0001,2115704.13564,1.59462574654e-10
0.0001,2124166.95218,1.25929546005e-10
0.0001,2132629.76872,9.64182752161e-11
0.0001,2141092.58526,7.0570483808e-11
0.0001,2149555.40181,4.81466748458e-11
0.0001,2158018.21835,2.98166635599e-11
0.0001,2166481.03489,2.09923327362e-11
0.000888800983492,0,0.100069182191
0.000888800983492,8462.81654255,0.0537021436722
0.000888800983492,16925.6330851,0.00767708360115
0.000888800983492,25388.4496276,0.0131414089951
0.000888800983492,33851.2661702,0.00982147074033
0.000888800983492,42314.0827127,0.0111444394418
0.000888800983492,50776.8992553,0.0142578709421
0.000888800983492,59239.7157978,0.0112398973026
0.000888800983492,67702.5323404,0.0129763813138
0.000888800983492,76165.3488829,0.0101559528187
0.000888800983492,84628.1654255,0.00650597395794
0.000888800983492,93090.981968,0.00684469542853
