bias_v,frequency_hz,z_real_ohm,z_imag_ohm,i_real_a,i_imag_a
-0.25,0.01,171412.001639,-358.184492522,5.83387174749e-08,1.21905255836e-10
-0.25,0.0103912230384,171411.682846,-372.193317088,5.83388056575e-08,1.26673475414e-10
-0.25,0.0107977516233,171411.33863,-386.74968948,5.83389008731e-08,1.31628117356e-10
-0.25,0.011220184543,171410.966965,-401.87496887,5.83390036823e-08,1.36776460128e-10
-0.25,0.0116591440118,171410.565663,-417.591342468,5.83391146905e-08,1.42126065145e-10
-0.25,0.0121152765863,171410.132362,-433.921856997,5.83392345515e-08,1.47684787612e-10
-0.25,0.0125892541179,171409.66451,-450.890451284,5.83393639709e-08,1.53460787778e-10
-0.25,0.0130817747426,171409.159356,-468.521989994,5.83395037107e-08,1.59462542588e-10
-0.25,0.0135935639088,171408.613926,-486.84229855,5.83396545936e-08,1.65698857767e-10
-0.25,0.0141253754462,171408.025011,-505.878199262,5.83398175076e-08,1.72178880331e-10
-0.25,0.0146779926762,171407.389146,-525.65754868,5.83399934118e-08,1.78912111547e-10
-0.25,0.0152522295654,171406.702591,-546.20927622,5.83401833412e-08,1.85908420357e-10
-0.25,0.0158489319246,171405.96131,-567.563424076,5.83403884136e-08,1.93178057268e-10
-0.25,0.0164689786548,171405.160941,-589.751188434,5.83406098355e-08,2.00731668728e-10
-0.25,0.0171132830416,171404.296781,-612.804962031,5.83408489094e-08,2.08580312e-10
-0.25,0.0177827941004,171403.36375,-636.758378051,5.83411070418e-08,2.16735470535e-10
-0.25,0.0184784979742,171402.356365,-661.646355393,5.83413857505e-08,2.2520906987e-10
-0.25,0.0192014193864,171401.268707,-687.50514531,5.83416866745e-08,2.3401349405e-10
-0.25,0.0199526231497,171400.094388,-714.372379429,5.83420115829e-08,2.43161602589e-10
-0.25,0.0207332157349,171398.826511,-742.287119154,5.83423623853e-08,2.52666747965e-10
-0.25,0.0215443469003,171397.457635,-771.289906442,5.83427411433e-08,2.62542793686e-10
-0.25,0.0223872113857,171395.979725,-801.422815939,5.83431500821e-08,2.72804132889e-10
-0.25,0.0232630506715,171394.384111,-832.729508461,5.83435916035e-08,2.83465707524e-10
-0.25,0.024173154808,171392.661438,-865.255285772,5.83440683003e-08,2.94543028078e-10
-0.25,0.0251188643151,171390.801605,-899.047146641,5.83445829706e-08,3.06052193878e-10
-0.25,0.0261015721568,171388.793716,-934.153844089,5.83451386348e-08,3.18009913938e-10
-0.25,0.0271227257933,171386.626011,-970.625943791,5.83457385524e-08,3.30433528371e-10
-0.25,0.0281838293126,171384.285802,-1008.51588351,5.83463862415e-08,3.43341030333e-10
-0.25,0.0292864456463,171381.759396,-1047.8780335,5.83470854985e-08,3.56751088495e-10
