retention_time_min,uv_mAU
0,0.3069603509
0.01,0.3083520725
0.02,0.309846844
0.03,0.2693457572
0.04,0.2353682042
0.05,0.2890140328
0.06,0.2886523266
0.07,0.2737743863
0.08,0.319021312
0.09,0.2758208766
0.1,0.2773789107
0.11,0.314535443
0.12,0.309298014
0.13,0.2748654658
0.14,0.2692571615
0.15,0.2446192793
0.16,0.267972392
0.17,0.2720247249
0.18,0.2877243367
0.19,0.2654472366
0.2,0.2634419308
0.21,0.2875377692
0.22,0.2649096723
0.23,0.2916813319
0.24,0.2622143343
0.25,0.2592929708
0.26,0.3050957875
0.27,0.2888261061
0.28,0.2712769897
0.29,0.2551434103
0.3,0.2748051723
0.31,0.2866158344
0.32,0.2524131505
0.33,0.2952460579
0.34,0.3319709408
0.35,0.2752791853
0.36,0.2990942112
0.37,0.2628398076
0.38,0.2529234383
0.39,0.267552941
0.4,0.2365426712
0.41,0.3495969677
0.42,0.2779375526
0.43,0.2745121792
0.44,0.2639202887
0.45,0.3100446662
0.46,0.2756927566
0.47,0.3176710068
0.48,0.2965665663
0.49,0.2962885546
0.5,0.3087967572
0.51,0.3225946547
0.52,0.2760250666
0.53,0.3146827384
0.54,0.3180419038
0.55,0.2949441341
0.56,0.2926068336
0.57,0.3293055875
0.58,0.319377374
0.59,0.3006472262
0.6,0.2804128029
0.61,0.332577908
0.62,0.2573426066
0.63,0.3437108147
0.64,0.3284345317
0.65,0.3422038615
0.66,0.2983106953
0.67,0.3120101761
0.68,0.3142435856
0.69,0.3564621207
0.7,0.3142945567
0.71,0.3119210401
0.72,0.3388168772
0.73,0.3493402692
0.74,0.3684367789
0.75,0.3241076462
0.76,0.3615996223
0.77,0.3434783098
0.78,0.3555110698
0.79,0.3482746397
0.8,0.3179949912
0.81,0.341370302
0.82,0.3658471247
0.83,0.3789000008
0.84,0.387014614
0.85,0.3410620085
0.86,0.3652189267
0.87,0.3266066842
0.88,0.4128002416
0.89,0.4019135635
0.9,0.4071548654
0.91,0.4018892927
0.92,0.3673096237
0.93,0.3654241549
0.94,0.4069484974
0.95,0.3254397751
0.96,0.3783527933
0.97,0.3664672416
0.98,0.3859403512
0.99,0.4375593
1,0.3993376164
1.01,0.3682425745
1.02,0.3805603081
1.03,0.3864853193
1.04,0.4324487928
1.05,0.4897208242
1.06,0.4500306246
1.07,0.4239310979
1.08,0.4385152136
1.09,0.4612331752
1.1,0.436244418
1.11,0.4460668022
1.12,0.5052689674
1.13,0.4794783452
1.14,0.4975580313
1.15,0.5328895453
1.16,0.4662525822
1.17,0.487190493
1.18,0.4942741507
1.19,0.5136861521
1.2,0.5379359747
1.21,0.5656717803
1.22,0.5954763501
1.23,0.5352903191
1.24,0.5916346197
1.25,0.632185728
1.26,0.5904212532
1.27,0.6400562518
1.28,0.607842275
1.29,0.673960077
1.3,0.7111822177
1.31,0.6972137345
1.32,0.720226327
1.33,0.6935569335
1.34,0.6859525544
1.35,0.7545015505
1.36,0.7571537118
1.37,0.828598877
1.38,0.8525931473
1.39,0.9047767097
1.4,0.8903105614
1.41,0.9034064466
1.42,0.9521855784
1.43,1.006527108
1.44,1.01761767
1.45,1.119684992
1.46,1.10505962
1.47,1.182487042
1.48,1.173341467
1.49,1.255547794
1.5,1.292418465
1.51,1.423155119
1.52,1.461396619
1.53,1.586707974
1.54,1.646675082
1.55,1.715111052
1.56,1.845346769
1.57,1.986590931
1.58,2.141826762
1.59,2.291607277
1.6,2.556998201
