retention_time_min,uv_mAU
0,0.4016184612
0.01,0.339126003
0.02,0.3906894403
0.03,0.3746171381
0.04,0.3796117033
0.05,0.4185193357
0.06,0.3619689468
0.07,0.4367590872
0.08,0.379142502
0.09,0.3982041622
0.1,0.3835900889
0.11,0.3685296791
0.12,0.3647898168
0.13,0.3964806123
0.14,0.3994020281
0.15,0.4134159503
0.16,0.4025733756
0.17,0.3901366481
0.18,0.4204985347
0.19,0.3919595721
0.2,0.3983356657
0.21,0.4369676396
0.22,0.3854898427
0.23,0.4204226672
0.24,0.3994463818
0.25,0.3747722614
0.26,0.3964242841
0.27,0.4177327109
0.28,0.3675533135
0.29,0.3400334978
0.3,0.3749746017
0.31,0.4101461977
0.32,0.3787504627
0.33,0.4033760428
0.34,0.4020291235
0.35,0.3648309991
0.36,0.390205864
0.37,0.4118321016
0.38,0.4110277804
0.39,0.4261747252
0.4,0.3855740248
0.41,0.3907769164
0.42,0.4131687709
0.43,0.4319908747
0.44,0.3957101481
0.45,0.3997379346
0.46,0.4142977724
0.47,0.4409727089
0.48,0.3927364658
0.49,0.4408691246
0.5,0.3883669788
0.51,0.348251704
0.52,0.4075494695
0.53,0.4214873968
0.54,0.4277594575
0.55,0.4164295692
0.56,0.3601267338
0.57,0.3949579339
0.58,0.411076205
0.59,0.4093789592
0.6,0.4485981651
0.61,0.3843462793
0.62,0.4589477404
0.63,0.4445767743
0.64,0.437103297
0.65,0.4045084051
0.66,0.4086248514
0.67,0.4301581535
0.68,0.4173266142
0.69,0.3996299257
0.7,0.430603039
0.71,0.4320621929
0.72,0.4350800308
0.73,0.419199604
0.74,0.4619925878
0.75,0.4419372152
0.76,0.4041980427
0.77,0.4315625305
0.78,0.4460715404
0.79,0.448724838
0.8,0.3924465078
0.81,0.5033969494
0.82,0.4715858463
0.83,0.4398044256
0.84,0.4374594522
0.85,0.490010276
0.86,0.474223239
0.87,0.4430025822
0.88,0.4484565884
0.89,0.4544405078
0.9,0.4588503901
0.91,0.4696955393
0.92,0.4563975003
0.93,0.458997047
0.94,0.4685803104
0.95,0.4928984459
0.96,0.4880399618
0.97,0.522816334
0.98,0.4858865235
0.99,0.4886778676
1,0.460711101
1.01,0.4958775696
1.02,0.4837066226
1.03,0.4786014421
1.04,0.4963204325
1.05,0.4819096623
1.06,0.5048423831
1.07,0.507760353
1.08,0.5139659964
1.09,0.4683579819
1.1,0.4871112287
1.11,0.5133752725
1.12,0.5152328973
1.13,0.4598778368
1.14,0.546358536
1.15,0.5490137245
1.16,0.5035996097
1.17,0.5013405122
1.18,0.5359369045
1.19,0.5173606545
1.2,0.5535015704
1.21,0.5190337067
1.22,0.5709912768
1.23,0.5382480033
1.24,0.6190217914
1.25,0.5712639888
1.26,0.5839971857
1.27,0.5514554267
1.28,0.6129943207
1.29,0.5712951057
1.3,0.6160286093
1.31,0.6659853753
1.32,0.6639964704
1.33,0.6570662103
1.34,0.633019136
1.35,0.7091568518
1.36,0.6549499041
1.37,0.6401680309
1.38,0.715363603
1.39,0.7429002323
1.4,0.7081351071
1.41,0.7027889981
1.42,0.7712752506
1.43,0.7717751142
1.44,0.7811766363
1.45,0.7996691045
1.46,0.8038751332
1.47,0.8395219431
1.48,0.9167216931
1.49,0.8713343384
1.5,0.8664147765
1.51,0.9554196053
1.52,1.014102187
1.53,1.065846073
1.54,1.067994064
1.55,1.135232897
1.56,1.153809957
1.57,1.281054359
1.58,1.305807675
1.59,1.449758632
1.6,1.628819455
1.61,1.824549599
1.62,2.157420163
1.63,2.550517949
1.64,2.993897494
1.65,3.671802133
1.66,4.558954262
1.67,5.723401982
1.68,7.162109151
1.69,8.921155245
1.7,11.12316404
1.71,13.74074366
1.72,16.65570029
1.73,19.97685093
1.74,23.5360279
1.75,27.42839046
1.76,31.21039191
1.77,34.99574188
1.78,38.3888568
1.79,41.30541895
1.8,43.53557935
1.81,44.82751976
1.82,45.14927582
1.83,44.37664516
1.84,42.69912212
1.85,40.16583268
1.86,36.96044178
1.87,33.40279256
1.88,29.6007595
1.89,25.75537438
1.9,22.07650817
1.91,18.55123892
1.92,15.3932096
1.93,12.61669522
1.94,10.22987953
1.95,8.153469537
1.96,6.541657327
1.97,5.250661959
1.98,4.178245812
1.99,3.43812179
2,2.840619513
2.01,2.385336456
2.02,2.043850617
2.03,1.820921255
2.04,1.669037168
2.05,1.537682655
2.06,1.421884711
2.07,1.31829674
2.08,1.260584031
2.09,1.170285765
2.1,1.12329619
2.11,1.16424365
2.12,1.086874702
2.13,1.070266674
2.14,1.069174324
2.15,1.006989715
2.16,1.030320709
2.17,0.9839057757
2.18,0.9798154007
2.19,0.9566739205
2.2,0.9330890349
2.21,0.902293334
2.22,0.9590034097
2.23,0.9265240572
2.24,0.9075255864
2.25,0.8995823934
2.26,0.894734772
2.27,0.8619550924
2.28,0.900326677
2.29,0.8387543715
2.3,0.8641646446
2.31,0.8924458785
2.32,0.8598087915
2.33,0.8424709585
2.34,0.8585311999
2.35,0.8219827795
2.36,0.8161351543
2.37,0.8776687055
2.38,0.8508280469
2.39,0.8614209155
2.4,0.8474280217
2.41,0.8339814971
2.42,0.8612409449
2.43,0.8433953842
2.44,0.8927021236
2.45,0.8640086192
2.46,0.8663725015
2.47,0.8549726134
2.48,0.8574953263
2.49,0.8620352825
2.5,0.8954671331
2.51,0.8554124132
