retention_time_min,uv_mAU
0,0.3736263238
0.01,0.3909800557
0.02,0.3981939772
0.03,0.4118849961
0.04,0.3725548933
0.05,0.3988002054
0.06,0.388929929
0.07,0.3668674025
0.08,0.359917118
0.09,0.3617316887
0.1,0.3935918855
0.11,0.3735037128
0.12,0.3674405515
0.13,0.3712693033
0.14,0.3553623022
0.15,0.3957408966
0.16,0.3543145865
0.17,0.3905259593
0.18,0.3918131809
0.19,0.3623917597
0.2,0.3980782256
0.21,0.387169034
0.22,0.4112199509
0.23,0.3369751809
0.24,0.3882435403
0.25,0.3898063551
0.26,0.3709211261
0.27,0.3970302074
0.28,0.3674554133
0.29,0.3939404549
0.3,0.3662920821
0.31,0.3927203337
0.32,0.3467125233
0.33,0.3609372516
0.34,0.4279990945
0.35,0.3674926503
0.36,0.3780586665
0.37,0.3797789114
0.38,0.4033379383
0.39,0.39405052
0.4,0.4287864982
0.41,0.3569506787
0.42,0.4043256939
0.43,0.401340639
0.44,0.4256127629
0.45,0.3716029176
0.46,0.3846379543
0.47,0.3814842087
0.48,0.3648913348
0.49,0.3754855815
0.5,0.3404320724
0.51,0.4156086075
0.52,0.3846542498
0.53,0.3592326381
0.54,0.3879092784
0.55,0.3910747934
0.56,0.3373200127
0.57,0.3704992366
0.58,0.4009046388
0.59,0.4095981739
0.6,0.3943444394
0.61,0.3716219921
0.62,0.3783935124
0.63,0.3788929534
0.64,0.3961103096
0.65,0.4334544146
0.66,0.405148342
0.67,0.402756696
0.68,0.4170961704
0.69,0.4180685871
0.7,0.3399250422
0.71,0.3894552996
0.72,0.3726967196
0.73,0.4034322679
0.74,0.4296948165
0.75,0.4120372759
0.76,0.4105422518
0.77,0.4171484514
0.78,0.4564301179
0.79,0.407108102
0.8,0.4195642286
0.81,0.3685888779
0.82,0.4050522815
0.83,0.3720909453
0.84,0.431235949
0.85,0.4490165227
0.86,0.4236871472
0.87,0.4364943131
0.88,0.427195014
0.89,0.4072145838
0.9,0.3836095354
0.91,0.3919573793
0.92,0.4358088335
0.93,0.4551861518
0.94,0.4193059889
0.95,0.3924396972
0.96,0.4502942926
0.97,0.3939851345
0.98,0.4007108583
0.99,0.4564876838
1,0.4181945466
1.01,0.4515862526
1.02,0.4262551837
1.03,0.4319995681
1.04,0.4354513487
1.05,0.4534313817
1.06,0.4270545387
1.07,0.3951909512
1.08,0.4527520568
1.09,0.4398085213
1.1,0.3837901308
1.11,0.4478816189
1.12,0.4855222873
1.13,0.4976651074
1.14,0.4498994535
1.15,0.4747408153
1.16,0.4538869384
1.17,0.442440615
1.18,0.4407139895
1.19,0.4502677915
1.2,0.4285860409
