retention_time_min,uv_mAU
0,0.5382439208
0.01,0.4655602911
0.02,0.5217200663
0.03,0.5118463084
0.04,0.5322702474
0.05,0.5113621311
0.06,0.5039952134
0.07,0.4974826756
0.08,0.4892503042
0.09,0.4935885822
0.1,0.5011394992
0.11,0.5394728416
0.12,0.5057139648
0.13,0.4858654915
0.14,0.4671148753
0.15,0.5009477319
0.16,0.5240136253
0.17,0.5142395312
0.18,0.481608799
0.19,0.5015704542
0.2,0.464929032
0.21,0.4928219431
0.22,0.4916700869
0.23,0.5228534489
0.24,0.5044729021
0.25,0.4945415945
0.26,0.5040807935
0.27,0.4895849616
0.28,0.5667088625
0.29,0.4979324337
0.3,0.490533879
0.31,0.4551998946
0.32,0.5362867018
0.33,0.4918760016
0.34,0.4819039788
0.35,0.4742305591
0.36,0.4867297222
0.37,0.5394319935
0.38,0.5193727531
0.39,0.4898222351
0.4,0.5162207579
0.41,0.5440649939
0.42,0.5099737183
0.43,0.4802167669
0.44,0.5215342216
0.45,0.4710327372
0.46,0.4828394
0.47,0.5057163726
0.48,0.5152955642
0.49,0.4961698891
0.5,0.4645376967
0.51,0.5110142581
0.52,0.4740554853
0.53,0.5065111673
0.54,0.5002095555
0.55,0.4997666141
0.56,0.519687076
0.57,0.5306139121
0.58,0.4772961152
0.59,0.5289455444
0.6,0.5417880075
0.61,0.492262018
0.62,0.4992654191
0.63,0.5502365051
0.64,0.531135623
0.65,0.4921986886
0.66,0.4954689346
0.67,0.5494334707
0.68,0.5060569576
0.69,0.5006681414
0.7,0.5043791528
0.71,0.5224682286
0.72,0.5064423925
0.73,0.5024173728
0.74,0.5131503325
0.75,0.4863230459
0.76,0.478123003
0.77,0.5281900169
0.78,0.5227368212
0.79,0.5236927395
0.8,0.4773888611
0.81,0.5176408902
0.82,0.5195409731
0.83,0.545819636
0.84,0.4972029335
0.85,0.4801627348
0.86,0.5136969642
0.87,0.5057902785
0.88,0.5325346346
0.89,0.5373263478
0.9,0.520069738
0.91,0.5718049272
0.92,0.5064559158
0.93,0.5337437065
0.94,0.5802745985
0.95,0.5269918161
0.96,0.4812337729
0.97,0.5389062895
0.98,0.5319003924
0.99,0.5333053584
1,0.5272341091
1.01,0.5362893379
1.02,0.5621780519
1.03,0.5225482299
1.04,0.5527776069
1.05,0.5396135997
1.06,0.5764971702
1.07,0.5551519907
1.08,0.5010671759
1.09,0.5201686555
1.1,0.5198784544
1.11,0.5759412372
1.12,0.523673935
1.13,0.536823385
1.14,0.569434468
1.15,0.5617890067
1.16,0.5763329455
1.17,0.5319247183
1.18,0.5576042875
1.19,0.5805631914
1.2,0.5739924317
1.21,0.5661432697
1.22,0.6010231834
1.23,0.5879713203
1.24,0.5501248589
1.25,0.5845258647
1.26,0.5651051944
1.27,0.5449937374
1.28,0.5976971246
1.29,0.6009758185
1.3,0.5685102978
1.31,0.6059169563
1.32,0.5717212331
1.33,0.6103338627
1.34,0.595517592
1.35,0.5914550983
1.36,0.5805341783
1.37,0.6157990878
1.38,0.6098727043
1.39,0.5962173811
1.4,0.5709670664
1.41,0.723026275
1.42,0.6315066535
1.43,0.6340722802
1.44,0.6343001169
1.45,0.7109550742
1.46,0.6220449604
1.47,0.7137191788
1.48,0.7228090205
1.49,0.7361579133
1.5,0.6994843343
1.51,0.7353379295
1.52,0.7622861216
1.53,0.7639874809
1.54,0.7617331361
1.55,0.7583782425
1.56,0.8559676642
1.57,0.8129747134
1.58,0.8542699965
1.59,0.8554664818
1.6,0.9407305082
1.61,1.015931123
1.62,1.06996116
1.63,1.122973363
1.64,1.186026213
1.65,1.44579454
1.66,1.729757976
1.67,2.157447294
1.68,2.775151425
1.69,3.638836398
1.7,4.826898958
1.71,6.417740267
1.72,8.590415736
1.73,11.3292795
1.74,14.59335345
1.75,18.49054693
1.76,22.84898107
1.77,27.48721532
1.78,32.12022332
1.79,36.54278938
1.8,40.36343748
1.81,43.22161472
1.82,44.77900217
1.83,44.84692424
1.84,43.65224132
1.85,40.98544398
1.86,37.42109544
1.87,33.1812277
1.88,28.45704014
1.89,23.77762278
1.9,19.40003271
1.91,15.39090081
1.92,11.9954885
1.93,9.143178417
1.94,6.852689496
1.95,5.138630237
1.96,3.818164411
1.97,2.969556761
1.98,2.242178947
1.99,1.791685397
2,1.471250519
2.01,1.326698652
2.02,1.194888648
2.03,1.086228977
2.04,1.062820262
2.05,0.994142678
2.06,0.9347039351
2.07,0.9515877514
2.08,0.8679509632
2.09,0.814987755
2.1,0.8487350848
2.11,0.7939093155
2.12,0.8037403853
2.13,0.743744673
2.14,0.7729311835
2.15,0.7447620109
2.16,0.7213307883
2.17,0.7099263543
2.18,0.7259770089
2.19,0.7208457699
2.2,0.7163578822
2.21,0.7259497398
2.22,0.7028203559
2.23,0.723465423
2.24,0.722760486
2.25,0.6652790539
2.26,0.6312961312
2.27,0.6667599251
2.28,0.6695611639
2.29,0.6479567535
2.3,0.6913480003
2.31,0.6733127894
2.32,0.6596796836
2.33,0.6194132558
2.34,0.6494112774
2.35,0.6343288871
2.36,0.640340258
2.37,0.6707576502
2.38,0.6164608742
2.39,0.7106377725
2.4,0.633676597
2.41,0.647021924
2.42,0.6539997433
2.43,0.621088686
2.44,0.6707181107
2.45,0.6518130148
2.46,0.6237272338
2.47,0.6119930003
2.48,0.589185419
2.49,0.6515914984
2.5,0.6114624835
2.51,0.6765877709
2.52,0.6596671193
2.53,0.6030218445
2.54,0.6325533884
2.55,0.624939178
2.56,0.6793798782
2.57,0.5879999137
2.58,0.615058354
2.59,0.6403595477
2.6,0.6806636921
2.61,0.6063749926
2.62,0.6301587145
2.63,0.6057183259
2.64,0.6769376365
2.65,0.6170230552
2.66,0.6736949048
2.67,0.6829360778
2.68,0.6333237065
2.69,0.6604718345
2.7,0.6233265778
2.71,0.6833754228
2.72,0.6433008205
2.73,0.7037487966
2.74,0.6543297078
2.75,0.6905218753
2.76,0.6455602822
2.77,0.669368096
2.78,0.6603429624
2.79,0.7042707222
2.8,0.6746911933
2.81,0.6799197619
2.82,0.7139937805
2.83,0.6682999124
2.84,0.6877494432
2.85,0.6884459568
2.86,0.7338124557
2.87,0.6973622864
2.88,0.6954859993
2.89,0.6777267855
2.9,0.7402083963
2.91,0.7172342568
2.92,0.7121269296
2.93,0.7428038672
2.94,0.7575741009
2.95,0.7484509792
2.96,0.7496021134
2.97,0.7679675962
2.98,0.7311725527
2.99,0.7220615892
3,0.7470192966
3.01,0.7288255929
3.02,0.7934532002
3.03,0.8235223725
3.04,0.813022588
3.05,0.8123550265
3.06,0.7804496947
3.07,0.8283597444
3.08,0.8263872933
3.09,0.8265341244
3.1,0.8146035693
3.11,0.8186582117
3.12,0.8415533904
3.13,0.8463661481
3.14,0.8397578731
3.15,0.8962973521
3.16,0.9023245432
3.17,0.9055890835
3.18,0.942186157
3.19,0.941632239
3.2,0.9168288984
3.21,0.9450466019
3.22,0.9316214591
3.23,0.9477657123
3.24,0.9887456185
3.25,1.04234554
3.26,0.970661692
3.27,1.04152733
3.28,1.006717341
3.29,1.118377083
3.3,1.092586208
3.31,1.125883631
3.32,1.129312551
3.33,1.158105278
3.34,1.132519688
3.35,1.238200845
3.36,1.255141034
3.37,1.262719541
3.38,1.258224104
3.39,1.29923914
3.4,1.387549426
3.41,1.435772763
3.42,1.486274406
3.43,1.552717151
3.44,1.65806031
3.45,1.715269015
3.46,1.892802451
3.47,2.097232268
3.48,2.458455484
3.49,2.950931467
3.5,3.771214172
3.51,4.979940739
3.52,6.667100728
3.53,9.061253891
3.54,12.19691203
3.55,16.09036249
3.56,20.62356925
3.57,25.59496791
3.58,30.57332508
3.59,35.13453874
3.6,38.81130735
3.61,40.93639774
3.62,41.33113999
3.63,39.82912924
3.64,36.75911607
3.65,32.52752262
3.66,27.74892898
3.67,22.87977124
3.68,18.26130025
3.69,14.31854575
3.7,11.06079035
3.71,8.590915475
3.72,6.808581229
3.73,5.553680825
3.74,4.799899382
3.75,4.376877282
3.76,4.154149563
3.77,4.105029167
3.78,4.144105947
3.79,4.266773249
3.8,4.407053308
3.81,4.621571853
3.82,4.844130574
3.83,5.113057691
3.84,5.454091705
3.85,5.818328751
3.86,6.20891884
3.87,6.67655171
3.88,7.200604338
3.89,7.894912479
3.9,8.739494676
3.91,9.824012338
3.92,11.42553503
3.93,13.78604478
3.94,17.41617367
3.95,23.26207872
3.96,32.43545291
3.97,46.67361622
3.98,67.99513727
3.99,98.99901471
4,142.0460022
4.01,199.0377179
4.02,271.014379
4.03,357.0009128
4.04,453.8202258
4.05,556.0285787
4.06,655.4949983
4.07,742.4918728
4.08,807.0282288
4.09,840.2244031
4.1,837.1120192
4.11,798.1534169
4.12,729.1840821
4.13,639.2916112
4.14,538.7869425
4.15,437.0146966
4.16,341.6023441
4.17,257.8641604
4.18,188.425909
4.19,133.8417919
4.2,92.98755914
4.21,63.80788475
4.22,43.83564242
4.23,30.49145955
4.24,21.98707393
4.25,16.6062544
4.26,13.16477996
4.27,10.98758834
4.28,9.484208736
4.29,8.423323239
4.3,7.622460588
4.31,6.960287793
4.32,6.430361988
4.33,5.982805633
4.34,5.590426364
4.35,5.185276738
4.36,4.817189522
4.37,4.518903985
4.38,4.299487319
4.39,4.017708857
4.4,3.820270355
4.41,3.616404458
4.42,3.424390419
4.43,3.280118762
4.44,3.073512419
4.45,2.971900747
4.46,2.843204784
4.47,2.692605745
4.48,2.600528806
4.49,2.517510354
4.5,2.3907719
4.51,2.335056028
4.52,2.234914078
4.53,2.185886537
4.54,2.059049297
4.55,2.004850326
4.56,1.990307336
4.57,1.889700593
4.58,1.823354721
4.59,1.806435322
4.6,1.768295892
4.61,1.646157008
4.62,1.592018664
4.63,1.638073547
4.64,1.579778201
4.65,1.515952317
4.66,1.513586162
4.67,1.499523076
4.68,1.480842642
4.69,1.438287071
4.7,1.422889932
4.71,1.408385282
4.72,1.336260576
4.73,1.325590839
4.74,1.270690592
4.75,1.278883657
4.76,1.232510262
4.77,1.243047038
4.78,1.241278462
4.79,1.200960016
4.8,1.184891312
4.81,1.178646317
4.82,1.152214624
4.83,1.138992851
4.84,1.173164875
4.85,1.165048459
4.86,1.071659197
4.87,1.113778112
4.88,1.096190863
4.89,1.160941246
4.9,1.037221694
4.91,1.083796933
4.92,1.073899157
4.93,1.072799947
4.94,1.124180809
4.95,1.067262702
4.96,1.089043224
4.97,1.198645541
4.98,1.184099131
4.99,1.234617331
5,1.358019697
5.01,1.498525008
5.02,1.700326144
5.03,1.955785618
5.04,2.303932313
5.05,2.783349603
5.06,3.336999828
5.07,4.12129278
5.08,5.007739715
5.09,6.075718592
5.1,7.266316851
5.11,8.522986173
5.12,9.939012042
5.13,11.40233034
5.14,12.77593927
5.15,14.04459384
5.16,15.13413783
5.17,15.96548038
5.18,16.48072762
5.19,16.62633419
5.2,16.30825272
5.21,15.76871603
5.22,14.83319974
5.23,13.64517521
5.24,12.3275473
5.25,10.89968286
5.26,9.456141341
5.27,8.084299478
5.28,6.776384629
5.29,5.637225596
5.3,4.627736372
5.31,3.744832353
5.32,3.075465417
5.33,2.576509682
5.34,2.068813756
5.35,1.819119126
5.36,1.545836835
5.37,1.326807245
5.38,1.232124399
5.39,1.127019279
5.4,1.042197173
5.41,1.01685332
5.42,0.9414164497
5.43,0.9494793222
5.44,0.9712995398
5.45,0.8707345634
5.46,0.931546663
5.47,0.9020842937
5.48,0.9437437775
5.49,0.9297795668
