retention_time_min,uv_mAU
0,0.1888456375
0.01,0.2148274632
0.02,0.1119347321
0.03,0.1863001088
0.04,0.1358402294
0.05,0.1350148606
0.06,0.1669337229
0.07,0.1257930565
0.08,0.1940706974
0.09,0.1468894728
0.1,0.1761979842
0.11,0.1476710691
0.12,0.1728491928
0.13,0.1528588159
0.14,0.2055858601
0.15,0.1590976311
0.16,0.1992623726
0.17,0.16130979
0.18,0.1445226183
0.19,0.1642982199
0.2,0.1733966801
0.21,0.1422671593
0.22,0.171198453
0.23,0.1495547489
0.24,0.177080911
0.25,0.1595930789
0.26,0.1771728122
0.27,0.1813458744
0.28,0.1696222036
0.29,0.1985211116
0.3,0.2074139692
0.31,0.2047520951
0.32,0.1740312631
0.33,0.1616382021
0.34,0.203361963
0.35,0.09858092511
0.36,0.1255316758
0.37,0.1632390639
0.38,0.1769396693
0.39,0.1628490769
0.4,0.1668266187
0.41,0.1599510314
0.42,0.1519987936
0.43,0.2339075145
0.44,0.1926492833
0.45,0.1668267937
0.46,0.1784763181
0.47,0.1248487679
0.48,0.1662063436
0.49,0.1908292181
0.5,0.1410935221
0.51,0.1377981901
0.52,0.1751427628
0.53,0.2247349878
0.54,0.202329275
0.55,0.2341429501
0.56,0.2045090494
0.57,0.1657459348
0.58,0.1776536141
0.59,0.1798957844
0.6,0.1561702445
0.61,0.2113798504
0.62,0.1572412246
0.63,0.206223575
0.64,0.1728991185
0.65,0.1703183314
0.66,0.1755058026
0.67,0.2175801655
0.68,0.1933444068
0.69,0.2010612714
0.7,0.2342577904
0.71,0.1961376198
0.72,0.2217414724
0.73,0.2006092236
0.74,0.1911363891
0.75,0.1695153341
0.76,0.2089879562
0.77,0.1670909684
0.78,0.2323904667
0.79,0.1972400413
0.8,0.2054136474
0.81,0.1937835796
0.82,0.2062129536
0.83,0.1929744632
0.84,0.231266882
0.85,0.1751360034
0.86,0.1974610678
0.87,0.2001163901
0.88,0.2131052391
0.89,0.2205742535
0.9,0.2454196034
0.91,0.2160109164
0.92,0.2091489769
0.93,0.2127683835
0.94,0.2337300979
0.95,0.2612827486
0.96,0.2314399672
0.97,0.2165543568
0.98,0.2173656315
0.99,0.1885711259
1,0.2151907234
1.01,0.2388930427
1.02,0.2012502295
1.03,0.2875521197
1.04,0.2066619459
1.05,0.2942697686
1.06,0.2427366481
1.07,0.214840089
1.08,0.229392308
1.09,0.2613832365
1.1,0.2654639955
1.11,0.2468897731
1.12,0.2369852506
1.13,0.2526029423
1.14,0.2460958424
1.15,0.2906352981
1.16,0.2670248553
1.17,0.2391771903
1.18,0.2664571811
1.19,0.2735765562
1.2,0.2844389662
1.21,0.2313376053
1.22,0.2615564203
1.23,0.3099568187
1.24,0.263051606
1.25,0.2932507062
1.26,0.2873274112
1.27,0.3096002883
1.28,0.2802309901
1.29,0.280332726
1.3,0.2840198606
1.31,0.320071721
1.32,0.3382894405
1.33,0.3307709738
1.34,0.3335712841
1.35,0.3186976961
1.36,0.3473424004
1.37,0.3920809608
1.38,0.3285385419
1.39,0.3285803737
1.4,0.3541697594
1.41,0.3050673699
1.42,0.371253958
1.43,0.3295319827
1.44,0.4058686687
1.45,0.3543531285
1.46,0.435825081
1.47,0.4121582312
1.48,0.3950266015
1.49,0.4125954617
1.5,0.4617584773
1.51,0.4449223707
1.52,0.4617619113
1.53,0.5181722044
1.54,0.5176483091
1.55,0.5297288148
1.56,0.5531531461
1.57,0.512329898
1.58,0.5304836155
1.59,0.5775280694
1.6,0.6610545514
1.61,0.7142298703
1.62,0.7275940367
1.63,0.7729209023
1.64,0.8742748446
1.65,0.9215139633
1.66,1.037585427
1.67,1.20299887
1.68,1.423489388
1.69,1.749635888
1.7,2.120212633
1.71,2.687105282
1.72,3.415646965
1.73,4.299294335
1.74,5.420599442
1.75,6.778517243
1.76,8.397132363
1.77,10.31959119
1.78,12.34862911
1.79,14.54057361
1.8,16.83727284
1.81,19.07273267
1.82,21.08207498
1.83,22.8653882
1.84,24.12848413
1.85,24.87990894
1.86,24.94898446
1.87,24.33933868
1.88,23.15878715
1.89,21.45146132
1.9,19.52460715
1.91,17.27623057
1.92,15.05297498
1.93,12.79296336
1.94,10.68484971
1.95,8.834237046
1.96,7.132139658
1.97,5.689670146
1.98,4.553468196
1.99,3.651226063
2,2.869421886
2.01,2.286889709
2.02,1.877585605
2.03,1.555076811
2.04,1.308816499
2.05,1.12000182
2.06,1.061754658
2.07,0.9507517857
2.08,0.9124256748
2.09,0.8216637588
2.1,0.7521907621
2.11,0.7789061758
2.12,0.6869422889
2.13,0.6466120622
2.14,0.6529842702
2.15,0.6802476925
2.16,0.6695828191
2.17,0.5748832991
2.18,0.6207415351
2.19,0.6073843072
2.2,0.5896565689
2.21,0.6144732833
2.22,0.5471471008
2.23,0.5445579036
2.24,0.5509607259
2.25,0.5744680694
2.26,0.549157651
2.27,0.5655490994
2.28,0.5261157735
2.29,0.5284636298
2.3,0.5392398774
2.31,0.6000769704
2.32,0.5698076708
2.33,0.5808018913
2.34,0.5185287281
2.35,0.5517978473
2.36,0.5709019787
2.37,0.548330619
2.38,0.5223782955
2.39,0.5145391196
2.4,0.5411044724
2.41,0.5937644961
2.42,0.5519687849
2.43,0.5532079632
2.44,0.5378165123
2.45,0.5910112804
2.46,0.58284349
2.47,0.5274907829
2.48,0.5300023061
2.49,0.59907154
2.5,0.5712255146
2.51,0.5851910332
2.52,0.5936947344
2.53,0.5912144737
2.54,0.6272790856
2.55,0.5967836657
2.56,0.621978079
2.57,0.6418062873
2.58,0.6262323834
2.59,0.6211084167
2.6,0.6780091356
2.61,0.6794081108
2.62,0.6993115095
2.63,0.6646130678
2.64,0.6549001682
2.65,0.6897515971
2.66,0.7187563812
2.67,0.6768457555
2.68,0.7182604875
2.69,0.7327918705
2.7,0.7350123619
2.71,0.766710123
2.72,0.7540645514
2.73,0.8089622292
2.74,0.8290450017
2.75,0.8043246319
2.76,0.7533539072
2.77,0.8378661235
2.78,0.8179967813
2.79,0.8534409687
2.8,0.837274786
2.81,0.8781758843
2.82,0.8432457113
2.83,0.9101920731
2.84,0.9643917348
2.85,0.9327748097
2.86,0.9646936786
2.87,0.9963322119
2.88,1.036217168
2.89,1.050943643
2.9,1.053048168
2.91,1.149010195
2.92,1.125715325
2.93,1.143328149
2.94,1.179771276
2.95,1.196617781
2.96,1.227520268
2.97,1.286761495
2.98,1.312714282
2.99,1.284579857
3,1.40058871
3.01,1.415208953
3.02,1.443650697
3.03,1.488955489
3.04,1.51847358
3.05,1.565800729
3.06,1.637188758
3.07,1.633738097
3.08,1.710152593
3.09,1.803270726
3.1,1.807402757
3.11,1.916153815
3.12,1.985299335
3.13,2.046962804
3.14,2.096407702
3.15,2.179430094
3.16,2.217467668
3.17,2.405700238
3.18,2.446898843
3.19,2.540694833
3.2,2.59685568
3.21,2.727020019
3.22,2.819234146
3.23,2.999372021
3.24,3.087610944
3.25,3.237116067
3.26,3.375042855
3.27,3.586338571
3.28,3.75217435
3.29,4.007711341
3.3,4.123828789
3.31,4.372357798
3.32,4.625606383
3.33,4.917419761
3.34,5.170375546
3.35,5.485114383
3.36,5.858674258
3.37,6.208739139
3.38,6.678363547
3.39,7.137800654
3.4,7.661053904
3.41,8.215194523
3.42,8.902381947
3.43,9.594761847
3.44,10.51824719
3.45,11.60057938
3.46,12.92504905
3.47,14.63243194
3.48,16.97023013
3.49,20.16651462
3.5,24.99401781
3.51,31.85323127
3.52,41.8165416
3.53,56.12673512
3.54,76.13809106
3.55,103.2723092
3.56,138.9641464
3.57,184.1242685
3.58,239.0317819
3.59,302.8242234
3.6,373.5220221
3.61,447.6491283
3.62,520.2702627
3.63,585.4972952
3.64,636.561066
3.65,667.1192356
3.66,672.8497543
3.67,652.8651035
3.68,610.1545709
3.69,550.3648085
3.7,480.1738738
3.71,406.0285706
3.72,333.358863
3.73,266.1986668
3.74,207.1813558
3.75,157.69702
3.76,117.9545974
3.77,87.19587943
3.78,64.23765312
3.79,47.64206867
3.8,35.92514322
3.81,27.84712424
3.82,22.24397783
3.83,18.40991481
3.84,15.68743332
3.85,13.85912191
3.86,12.32261886
3.87,11.19198029
3.88,10.2517557
3.89,9.462293453
3.9,8.773118369
3.91,8.231081036
3.92,7.656467572
3.93,7.280930418
3.94,6.799658878
3.95,6.502630083
3.96,6.230722723
3.97,5.978128956
3.98,5.870832174
3.99,5.837670715
4,5.949900645
4.01,6.232592283
4.02,6.717322179
4.03,7.46121082
4.04,8.416212036
4.05,9.679162711
4.06,11.28654246
4.07,13.09148009
4.08,15.11896091
4.09,17.21198005
4.1,19.24025263
4.11,21.05905714
4.12,22.43759495
4.13,23.24911043
4.14,23.35226133
4.15,22.7300315
4.16,21.45013513
4.17,19.56203166
4.18,17.46318994
4.19,15.17910194
4.2,12.91875621
4.21,10.77991011
4.22,8.836855295
4.23,7.195516211
4.24,5.832590865
4.25,4.762618444
4.26,3.947221302
4.27,3.268440085
4.28,2.771229967
4.29,2.472781629
4.3,2.203021412
4.31,2.034121731
4.32,1.901481634
4.33,1.778248441
4.34,1.706222986
4.35,1.628612061
4.36,1.573337534
4.37,1.470670909
4.38,1.477016202
4.39,1.401423538
4.4,1.412938394
4.41,1.296366558
4.42,1.28267374
4.43,1.224050581
4.44,1.187890674
4.45,1.256735679
4.46,1.152204744
4.47,1.116090465
4.48,1.087347195
4.49,1.09799627
4.5,1.061572493
4.51,1.04539634
4.52,0.9966820647
4.53,1.069707214
4.54,0.973497141
4.55,0.9821117512
4.56,0.9742927461
4.57,0.8964144847
4.58,0.9296746884
4.59,0.9125714272
4.6,0.8707066403
4.61,0.858985842
4.62,0.9179945551
4.63,0.838299201
4.64,0.8271560952
4.65,0.8602469101
4.66,0.7799473903
4.67,0.8055822416
4.68,0.7961547458
4.69,0.7994467887
4.7,0.7499366372
4.71,0.7567064627
4.72,0.7474336762
4.73,0.7429998396
4.74,0.76264494
4.75,0.7116753259
4.76,0.7514423601
4.77,0.7000381004
4.78,0.6818309432
4.79,0.7128612959
4.8,0.7559516386
4.81,0.6822951704
4.82,0.6835793989
4.83,0.7012953193
4.84,0.6971867503
4.85,0.6719956353
4.86,0.7279491758
4.87,0.7213709565
4.88,0.6725089837
4.89,0.6515237811
4.9,0.7120382987
4.91,0.7343665829
4.92,0.6760125239
4.93,0.7077211414
4.94,0.7300541576
4.95,0.7246319948
4.96,0.6908460884
4.97,0.8006455636
4.98,0.7296068537
4.99,0.763037853
5,0.8134391548
5.01,0.8790220002
5.02,0.9036926506
5.03,0.9591929465
5.04,1.105645202
5.05,1.175320621
5.06,1.32016011
5.07,1.553174341
5.08,1.798322177
5.09,2.067919088
5.1,2.475134055
5.11,2.893528971
5.12,3.439617171
5.13,4.045455385
5.14,4.686357948
5.15,5.425459378
5.16,6.192804868
5.17,6.996715714
5.18,7.794063928
5.19,8.569991347
5.2,9.204900867
5.21,9.78666435
5.22,10.2348101
5.23,10.53339252
5.24,10.55707513
5.25,10.3913029
5.26,10.06707621
5.27,9.622092804
5.28,8.981167657
5.29,8.300823871
5.3,7.521615712
5.31,6.666933749
5.32,5.940736838
5.33,5.205561762
5.34,4.44638567
5.35,3.861351418
5.36,3.25003374
5.37,2.774774882
5.38,2.356671313
5.39,2.020910994
5.4,1.690732336
5.41,1.455975186
5.42,1.317817153
5.43,1.160329935
5.44,1.040076141
5.45,0.9793652082
5.46,0.8604778902
5.47,0.8487991003
5.48,0.8553932577
5.49,0.7709669552
5.5,0.7891080104
