retention_time_min,uv_mAU
0,0.1963455541
0.01,0.1946228615
0.02,0.1508183556
0.03,0.2219024243
0.04,0.1933519976
0.05,0.2343069063
0.06,0.2039647511
0.07,0.2004475472
0.08,0.2046003148
0.09,0.2020721951
0.1,0.1768567252
0.11,0.2197148767
0.12,0.24199646
0.13,0.1837724313
0.14,0.1836008028
0.15,0.2190687873
0.16,0.1845361713
0.17,0.181277197
0.18,0.2147169085
0.19,0.1633342691
0.2,0.2508979585
0.21,0.1872661215
0.22,0.2098978197
0.23,0.2207380672
0.24,0.2647208315
0.25,0.1568786097
0.26,0.233072319
0.27,0.210048147
0.28,0.2127742833
0.29,0.2343170884
0.3,0.2142621397
0.31,0.1849190663
0.32,0.1879748525
0.33,0.2272627333
0.34,0.2011581505
0.35,0.2166024765
0.36,0.2447554187
0.37,0.2035531723
0.38,0.1906480291
0.39,0.2261074325
0.4,0.2403199548
0.41,0.1651820913
0.42,0.1837686613
0.43,0.2706112412
0.44,0.1975586171
0.45,0.2132741207
0.46,0.2019232876
0.47,0.2202969739
0.48,0.2512340205
0.49,0.2346039327
0.5,0.2349828032
0.51,0.2269920151
0.52,0.2495285424
0.53,0.2395097732
0.54,0.2490450148
0.55,0.2377332564
0.56,0.2320204387
0.57,0.2219933177
0.58,0.2817517819
0.59,0.2718329896
0.6,0.2490198113
0.61,0.2580178069
0.62,0.2347424705
0.63,0.2343980227
0.64,0.2693217009
0.65,0.2571728772
0.66,0.2937980961
0.67,0.2845665027
0.68,0.2702820762
0.69,0.2730104148
0.7,0.2573804463
0.71,0.2729318052
0.72,0.2963766178
0.73,0.2829565953
0.74,0.2401789874
0.75,0.2694403715
0.76,0.2977496077
0.77,0.2811416559
0.78,0.2786764642
0.79,0.2777802331
0.8,0.2741806509
0.81,0.3354259126
0.82,0.285210965
0.83,0.2904665614
0.84,0.3046936034
0.85,0.2575919077
0.86,0.3080524898
0.87,0.2921492871
0.88,0.2626380423
0.89,0.2883706735
0.9,0.3053311945
0.91,0.3212436336
0.92,0.3196831323
0.93,0.304238374
0.94,0.3410130225
0.95,0.3571770419
0.96,0.3226530921
0.97,0.3106074954
0.98,0.3443745474
0.99,0.3510709114
1,0.3240747952
1.01,0.3828681595
1.02,0.3825246905
1.03,0.3837357627
1.04,0.3856461033
1.05,0.3938773306
1.06,0.3765075638
1.07,0.3794025981
1.08,0.4177383384
1.09,0.4194506945
1.1,0.4018567362
1.11,0.4562307822
1.12,0.4294245494
1.13,0.4308343976
1.14,0.4563619752
1.15,0.4305336018
1.16,0.489550187
1.17,0.5085481581
1.18,0.5358709267
1.19,0.4998624134
1.2,0.4896452326
1.21,0.5183915147
1.22,0.5392674356
1.23,0.5455345144
1.24,0.5409218135
1.25,0.5764614001
1.26,0.5931426674
1.27,0.5610565203
1.28,0.661973348
1.29,0.6199262663
1.3,0.6760743775
1.31,0.7306102624
1.32,0.6979192809
1.33,0.7477448391
1.34,0.7281826966
1.35,0.7972473948
1.36,0.8148109492
1.37,0.8220258239
1.38,0.8757562185
1.39,0.9379912051
1.4,0.9012300986
1.41,0.991335634
1.42,1.063715573
1.43,1.064628279
1.44,1.15015075
1.45,1.152996668
1.46,1.256001009
1.47,1.334969812
1.48,1.395147407
1.49,1.565609293
1.5,1.626778327
1.51,1.745991415
1.52,1.886635595
1.53,2.185736969
1.54,2.427413276
1.55,2.846407552
1.56,3.414095977
1.57,4.159739056
1.58,5.156057635
1.59,6.586892226
1.6,8.409269373
1.61,10.81801543
1.62,13.9717433
1.63,17.99462405
1.64,22.8238827
1.65,28.74350863
1.66,35.54272772
1.67,43.35335218
1.68,51.93456361
1.69,61.0987087
1.7,70.43651848
1.71,79.75097973
1.72,88.33224942
1.73,95.87360284
1.74,101.6855673
1.75,105.386061
1.76,106.6666547
1.77,105.3989429
1.78,101.7146475
1.79,95.95024015
1.8,88.4480754
1.81,79.84895463
1.82,70.63377118
1.83,61.15670322
1.84,52.04647194
1.85,43.46547324
1.86,35.66885832
1.87,28.7867337
1.88,22.93393252
1.89,18.06785571
1.9,14.09651174
1.91,10.89582057
1.92,8.428348103
1.93,6.64099532
1.94,5.237459137
1.95,4.204713629
1.96,3.49810994
1.97,2.957396658
1.98,2.487833305
1.99,2.220832622
2,2.003741674
2.01,1.83207987
2.02,1.716962281
2.03,1.59123144
2.04,1.500085687
2.05,1.366078654
2.06,1.345510213
2.07,1.320578913
2.08,1.224906222
2.09,1.181301664
2.1,1.162149071
2.11,1.099664179
2.12,1.044412992
2.13,0.982840747
2.14,0.9867137365
2.15,0.9889358895
2.16,0.9241020307
2.17,0.922989678
2.18,0.8722782939
2.19,0.8797038886
2.2,0.7786315285
2.21,0.8183824489
2.22,0.8142228356
2.23,0.7564264945
2.24,0.718403225
2.25,0.708091739
2.26,0.7381500318
2.27,0.720443759
2.28,0.6988403121
2.29,0.7213345253
2.3,0.6846756893
2.31,0.6994237141
2.32,0.690190041
2.33,0.6486141535
2.34,0.674676901
2.35,0.6487662292
2.36,0.6196364621
2.37,0.6568625414
2.38,0.6361486528
2.39,0.632313042
2.4,0.6158468242
2.41,0.6353977666
2.42,0.6170119545
2.43,0.6702859377
2.44,0.6245008258
2.45,0.6527289042
2.46,0.5926967151
2.47,0.5800679701
2.48,0.6024264284
2.49,0.6134284351
2.5,0.6170243562
2.51,0.6169538168
2.52,0.6623611721
2.53,0.6284489611
2.54,0.6291079475
2.55,0.5917929269
2.56,0.6489407539
2.57,0.666554731
2.58,0.6199198612
2.59,0.68163898
2.6,0.7001142661
2.61,0.6768272936
2.62,0.5870770817
2.63,0.6982460736
2.64,0.6904354511
2.65,0.654758968
2.66,0.6774782782
2.67,0.7153130754
2.68,0.6861596355
2.69,0.7353004856
2.7,0.7219895735
2.71,0.741703291
2.72,0.7300298186
2.73,0.7784156869
2.74,0.757566032
2.75,0.7440871493
2.76,0.7698827995
2.77,0.8040259718
2.78,0.8148804015
2.79,0.7984096486
2.8,0.8339230394
2.81,0.8280776524
2.82,0.8978707949
2.83,0.9118465046
2.84,0.9215810724
2.85,0.883425435
2.86,0.9157165049
2.87,0.9420867234
2.88,0.9526224327
2.89,1.017386614
2.9,0.9787994505
2.91,1.057272117
2.92,1.096650191
2.93,1.084047149
2.94,1.121555806
2.95,1.086973639
2.96,1.133714636
2.97,1.220561669
2.98,1.213110069
2.99,1.230785574
3,1.27284586
3.01,1.323204399
3.02,1.36666482
3.03,1.416049591
3.04,1.475349628
3.05,1.489679348
3.06,1.553200951
3.07,1.579227655
3.08,1.682231377
3.09,1.71625135
3.1,1.781551667
3.11,1.850032642
3.12,1.911119044
3.13,1.989392262
3.14,2.050055221
3.15,2.150054094
3.16,2.192368282
3.17,2.321790394
3.18,2.499585586
3.19,2.598557584
3.2,2.684748597
3.21,2.838762172
3.22,2.99436321
3.23,3.169291828
3.24,3.292684898
3.25,3.509841955
3.26,3.675962765
3.27,3.903025479
3.28,4.156687924
3.29,4.472546571
3.3,4.757834164
3.31,5.139903723
3.32,5.498744218
3.33,5.994626372
3.34,6.550534209
3.35,7.192788491
3.36,8.05185389
3.37,9.197971674
3.38,10.7689487
3.39,13.01674789
3.4,16.31114276
3.41,21.16476489
3.42,28.18580585
3.43,38.1579167
3.44,51.96552888
