retention_time_min,uv_mAU
0,0.59134617
0.01,0.6481717437
0.02,0.5895108825
0.03,0.6432741688
0.04,0.6356770859
0.05,0.6282317833
0.06,0.6315648297
0.07,0.6417024704
0.08,0.6239830787
0.09,0.5972890504
0.1,0.5932167686
0.11,0.6193325037
0.12,0.6301181729
0.13,0.6182032781
0.14,0.6570427755
0.15,0.651378966
0.16,0.6031166044
0.17,0.5983986836
0.18,0.6339599655
0.19,0.6559271116
0.2,0.6147375547
0.21,0.6161676789
0.22,0.6625505343
0.23,0.5966045685
0.24,0.5945763382
0.25,0.6416287642
0.26,0.6442270787
0.27,0.6083762715
0.28,0.6484854722
0.29,0.6371545009
0.3,0.6545448871
0.31,0.6245663741
0.32,0.6048777961
0.33,0.6173257899
0.34,0.5902658974
0.35,0.6097587519
0.36,0.6462600957
0.37,0.6259201452
0.38,0.6146015223
0.39,0.639150426
0.4,0.6445785479
0.41,0.6431857281
0.42,0.652577927
0.43,0.642921441
0.44,0.6054239084
0.45,0.6272483142
0.46,0.640646803
0.47,0.5943330891
0.48,0.6232039209
0.49,0.6288495389
0.5,0.6773520038
0.51,0.6221050111
0.52,0.6163750471
0.53,0.6264498142
0.54,0.629580402
0.55,0.6360306549
0.56,0.6380219409
0.57,0.6575944657
0.58,0.652820372
0.59,0.6167168243
0.6,0.5988474551
0.61,0.624199773
0.62,0.6664849528
0.63,0.6574516597
0.64,0.7048443757
0.65,0.6487404292
0.66,0.6599287969
0.67,0.6313441567
0.68,0.6555136035
0.69,0.58380658
0.7,0.6349827958
0.71,0.5862469626
0.72,0.6184597646
0.73,0.6220653944
0.74,0.6294871036
0.75,0.6575652014
0.76,0.6311979114
0.77,0.6268032591
0.78,0.6629886855
0.79,0.656475998
0.8,0.6583121509
0.81,0.6752155678
0.82,0.6240867439
0.83,0.6650002366
0.84,0.646276243
0.85,0.6365304889
0.86,0.6688643474
0.87,0.6298210568
0.88,0.6601165342
0.89,0.6743817387
0.9,0.7261463147
0.91,0.694724912
0.92,0.6097360902
0.93,0.671131895
