retention_time_min,uv_mAU
0,0.8819448872
0.01,0.8315524866
0.02,0.8169348798
0.03,0.8004866516
0.04,0.7901168368
0.05,0.8473506206
0.06,0.7959306485
0.07,0.8542262668
0.08,0.8231529569
0.09,0.8147504794
0.1,0.7857225397
0.11,0.8506534359
0.12,0.8298117257
0.13,0.8541644411
0.14,0.8458806723
0.15,0.8350477625
0.16,0.8306654651
0.17,0.8181124596
0.18,0.845160602
0.19,0.8848016308
0.2,0.8460612697
0.21,0.8043310265
0.22,0.8585760727
0.23,0.8630835446
0.24,0.879256292
0.25,0.8263604011
0.26,0.8344023472
0.27,0.8542953615
0.28,0.8282001755
0.29,0.8035767833
0.3,0.8222719422
0.31,0.8186343059
0.32,0.8271433634
0.33,0.8362152642
0.34,0.8330912652
0.35,0.8569278456
0.36,0.8178614451
0.37,0.8412233113
0.38,0.82583369
0.39,0.8329076148
0.4,0.8334375232
0.41,0.8645897855
0.42,0.8517874197
0.43,0.8217054165
0.44,0.8567293163
0.45,0.8524389814
0.46,0.8259072526
0.47,0.8462904459
0.48,0.8315737938
0.49,0.8676211424
0.5,0.8103266068
0.51,0.8843196446
0.52,0.8634011701
0.53,0.8351697694
0.54,0.9384655969
0.55,0.8409101892
0.56,0.901435121
0.57,0.8280541671
0.58,0.8657968968
0.59,0.7932677743
0.6,0.8591902575
0.61,0.8690512781
0.62,0.880601835
0.63,0.8399891817
0.64,0.8527531999
0.65,0.8583467917
0.66,0.8457747594
0.67,0.876412767
0.68,0.8476760891
0.69,0.8509028994
0.7,0.8471834638
0.71,0.8982276825
0.72,0.8491802318
0.73,0.8937543286
0.74,0.8771211049
0.75,0.8727354458
0.76,0.8641520221
0.77,0.8778678939
0.78,0.8304775011
0.79,0.8417936486
0.8,0.9321335912
0.81,0.8754712936
0.82,0.8580098682
0.83,0.8789500144
0.84,0.8648091366
0.85,0.8977397406
0.86,0.8926231526
0.87,0.8580963151
0.88,0.9048137617
0.89,0.8843633541
0.9,0.8739114733
0.91,0.8944381919
0.92,0.8664634564
0.93,0.8879160544
0.94,0.8555470452
0.95,0.8781018368
0.96,0.9367506842
0.97,0.8923520679
0.98,0.9282253536
0.99,0.9240878352
1,0.8413938711
1.01,0.8965964125
1.02,0.9658711089
1.03,0.9100501843
1.04,0.9199213722
1.05,0.8724835368
1.06,0.9177089451
1.07,0.8978007345
1.08,0.8968549283
1.09,0.8897272631
1.1,0.8898182271
1.11,0.9414724117
1.12,0.9377858412
1.13,0.928095711
1.14,0.9113342045
1.15,0.9130072707
1.16,0.9869584526
1.17,0.9339958079
1.18,0.95898171
1.19,0.9838553052
1.2,0.9490275737
1.21,0.9733907188
1.22,0.9376227557
1.23,0.9197469241
1.24,0.9910882298
1.25,0.9855634427
1.26,1.029216751
1.27,1.029093282
1.28,1.039662981
1.29,0.9777700204
1.3,1.008755064
1.31,0.9869895769
1.32,1.010439913
1.33,1.045081159
1.34,1.042444143
1.35,1.034919436
1.36,1.096573587
1.37,1.098628341
1.38,1.163548555
1.39,1.13281301
1.4,1.123712233
1.41,1.185510747
1.42,1.168104372
1.43,1.183939842
1.44,1.168401791
1.45,1.226087465
1.46,1.238466472
1.47,1.223082097
1.48,1.276984617
1.49,1.305098777
1.5,1.350208398
1.51,1.398222701
1.52,1.392758374
1.53,1.433819403
1.54,1.489750097
1.55,1.548795748
1.56,1.578676831
1.57,1.733450556
1.58,1.844122365
1.59,2.021585011
1.6,2.227390748
1.61,2.496824278
1.62,2.917550431
1.63,3.467927786
1.64,4.165521507
1.65,5.077412023
1.66,6.303082198
1.67,7.821146707
1.68,9.57129474
1.69,11.79278391
1.7,14.33247743
1.71,17.22186947
1.72,20.42850763
1.73,23.75639928
1.74,27.33608027
1.75,30.8244933
1.76,34.14873114
1.77,37.08607489
1.78,39.49782222
1.79,41.16738994
1.8,41.98917594
1.81,41.85924203
1.82,40.80788037
1.83,38.90797764
1.84,36.35207258
1.85,33.31395164
1.86,29.91679297
1.87,26.40637057
1.88,22.90867925
1.89,19.56731722
1.9,16.43001135
1.91,13.65209509
1.92,11.2153256
1.93,9.153162564
1.94,7.366105658
1.95,6.044134898
1.96,4.871697665
1.97,3.98726424
1.98,3.317996491
1.99,2.797371092
2,2.480023438
2.01,2.19467425
2.02,1.991279314
2.03,1.853090316
2.04,1.755750233
2.05,1.58609079
2.06,1.570802824
2.07,1.504830844
2.08,1.479394322
2.09,1.479841109
2.1,1.423675424
2.11,1.387176567
2.12,1.335360302
2.13,1.315334731
2.14,1.294543013
2.15,1.261977061
2.16,1.268244909
2.17,1.249484277
2.18,1.24365633
2.19,1.218190737
2.2,1.19989329
2.21,1.19423616
2.22,1.236050046
2.23,1.170817827
2.24,1.176530568
2.25,1.211775234
2.26,1.143511004
2.27,1.164184341
2.28,1.150393965
2.29,1.128590305
2.3,1.155684922
2.31,1.105878985
2.32,1.110197033
2.33,1.081421043
2.34,1.110582171
2.35,1.139283309
2.36,1.077212134
2.37,1.155754633
2.38,1.09766729
2.39,1.082516329
2.4,1.082045687
2.41,1.119429109
2.42,1.07008445
2.43,1.094460513
2.44,1.071557762
2.45,1.073660744
2.46,1.18988485
2.47,1.138552368
2.48,1.088090669
2.49,1.125149219
2.5,1.055277532
2.51,1.11689772
2.52,1.078723899
2.53,1.103625965
2.54,1.081226403
2.55,1.14504327
2.56,1.107203778
2.57,1.118880359
2.58,1.118619826
2.59,1.100176839
2.6,1.095916297
2.61,1.107144161
2.62,1.10785238
2.63,1.092276387
2.64,1.100206898
2.65,1.155377516
2.66,1.105416443
2.67,1.119812858
2.68,1.136385081
2.69,1.128208101
2.7,1.079228352
2.71,1.144998309
2.72,1.168402421
2.73,1.139597251
2.74,1.169273958
2.75,1.142907621
2.76,1.169092383
2.77,1.130209462
2.78,1.173456842
2.79,1.192684592
2.8,1.173276015
2.81,1.186297803
2.82,1.149493745
2.83,1.220431799
2.84,1.237063249
2.85,1.175586203
2.86,1.179957765
2.87,1.197276218
2.88,1.223087653
2.89,1.247302247
2.9,1.240225227
2.91,1.214309936
2.92,1.220812762
2.93,1.251844586
2.94,1.242539909
2.95,1.23323877
2.96,1.275999769
2.97,1.280771664
2.98,1.309275543
2.99,1.282533532
3,1.316378084
3.01,1.27504562
3.02,1.336039699
3.03,1.349008769
3.04,1.357392933
3.05,1.37777133
3.06,1.384121434
3.07,1.396057587
3.08,1.420028142
3.09,1.439998291
3.1,1.458823076
3.11,1.415150012
3.12,1.452870253
3.13,1.528604112
3.14,1.488469099
3.15,1.490443785
3.16,1.517707545
3.17,1.567328086
3.18,1.551006873
3.19,1.598502921
3.2,1.589327399
3.21,1.636553799
3.22,1.638092994
3.23,1.673041709
3.24,1.670775726
3.25,1.721503659
3.26,1.749081744
3.27,1.793189777
3.28,1.841347505
3.29,1.907291599
3.3,1.880024018
3.31,1.889428654
3.32,2.007841018
3.33,2.032818824
3.34,2.036800288
3.35,2.141877181
3.36,2.170357351
3.37,2.228747929
3.38,2.323160461
3.39,2.384543907
3.4,2.488987019
3.41,2.576581599
3.42,2.704444053
3.43,2.895124261
3.44,3.138827613
3.45,3.539783869
3.46,3.966137759
3.47,4.63136114
3.48,5.564127193
3.49,6.769235968
3.5,8.344437344
3.51,10.31647228
3.52,12.77671701
3.53,15.68700599
3.54,18.96125485
3.55,22.5931354
3.56,26.41696912
3.57,30.09642389
3.58,33.57513695
3.59,36.38325174
3.6,38.32899249
3.61,39.14942903
3.62,38.86151917
3.63,37.37977133
3.64,34.99294069
3.65,32.00808542
3.66,28.48760418
3.67,24.8995939
