interface_id,facet,U_V_SHE,temperature_K,pH_bulk,electrolyte_M,cation,anion,CO_coverage_ML,coverage_definition,independent_initial_states,method_status,actual_potential_V,activation_free_energy_eV
Cu100_-0.4_K_0.125,100,-0.4,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-0.4_K_0.25,100,-0.4,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-0.4_Cs_0.125,100,-0.4,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-0.4_Cs_0.25,100,-0.4,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-0.7_K_0.125,100,-0.7,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-0.7_K_0.25,100,-0.7,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-0.7_Cs_0.125,100,-0.7,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-0.7_Cs_0.25,100,-0.7,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-1.0_K_0.125,100,-1.0,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-1.0_K_0.25,100,-1.0,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-1.0_Cs_0.125,100,-1.0,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-1.0_Cs_0.25,100,-1.0,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-1.3_K_0.125,100,-1.3,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-1.3_K_0.25,100,-1.3,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-1.3_Cs_0.125,100,-1.3,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu100_-1.3_Cs_0.25,100,-1.3,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-0.4_K_0.125,111,-0.4,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-0.4_K_0.25,111,-0.4,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-0.4_Cs_0.125,111,-0.4,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-0.4_Cs_0.25,111,-0.4,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-0.7_K_0.125,111,-0.7,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-0.7_K_0.25,111,-0.7,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-0.7_Cs_0.125,111,-0.7,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-0.7_Cs_0.25,111,-0.7,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-1.0_K_0.125,111,-1.0,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-1.0_K_0.25,111,-1.0,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-1.0_Cs_0.125,111,-1.0,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-1.0_Cs_0.25,111,-1.0,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-1.3_K_0.125,111,-1.3,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-1.3_K_0.25,111,-1.3,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-1.3_Cs_0.125,111,-1.3,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu111_-1.3_Cs_0.25,111,-1.3,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-0.4_K_0.125,211,-0.4,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-0.4_K_0.25,211,-0.4,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-0.4_Cs_0.125,211,-0.4,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-0.4_Cs_0.25,211,-0.4,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-0.7_K_0.125,211,-0.7,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-0.7_K_0.25,211,-0.7,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-0.7_Cs_0.125,211,-0.7,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-0.7_Cs_0.25,211,-0.7,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-1.0_K_0.125,211,-1.0,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-1.0_K_0.25,211,-1.0,298.15,6.8,0.1,K,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-1.0_Cs_0.125,211,-1.0,298.15,6.8,0.1,Cs,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-1.0_Cs_0.25,211,-1.0,298.15,6.8,0.1,Cs,HCO3,0.25,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
Cu211_-1.3_K_0.125,211,-1.3,298.15,6.8,0.1,K,HCO3,0.125,"CO per exposed Cu site, step/terrace counts separate",3,NOT_RUN,,
