step,time_ps,T_K,PE_kJmol,d_NC_A,theta_deg,hills,W_last_kcal,V_kJmol,sps
2500,5.00,292.13,-20912.39,1.4444,69.532,5,0.4374,1.1547,411.4
5000,10.00,300.44,-21098.70,1.3913,69.463,10,0.4089,1.4883,415.1
7500,15.00,304.66,-21108.54,1.4530,65.551,15,0.3691,1.9978,414.0
10000,20.00,297.78,-21091.55,1.4650,75.608,20,0.3401,2.4083,418.1
12500,25.00,300.82,-21326.93,1.4168,81.674,25,0.3272,2.6027,426.5
15000,30.00,296.10,-20973.50,1.3946,80.150,30,0.2948,3.1290,431.1
17500,35.00,301.49,-20987.53,1.4410,91.228,35,0.4147,1.4185,434.0
20000,40.00,291.98,-20997.68,1.4421,69.482,40,0.2295,4.4075,431.2
22500,45.00,292.82,-20947.64,1.4093,74.791,45,0.2205,4.6122,428.3
25000,50.00,299.68,-20870.63,1.4108,64.395,50,0.2384,4.2128,426.0
27500,55.00,305.41,-21391.89,1.4995,64.790,55,0.3106,2.8647,424.5
30000,60.00,287.69,-20845.34,1.4700,70.004,60,0.2126,4.8004,422.2
32500,65.00,322.00,-21308.50,1.4043,92.215,65,0.3012,3.0198,420.8
35000,70.00,318.24,-21040.28,1.4689,70.880,70,0.1957,5.2289,420.2
37500,75.00,293.37,-20933.77,1.4267,93.622,75,0.2776,3.4343,420.0
40000,80.00,305.77,-20752.46,1.3679,61.600,80,0.2538,3.8928,419.3
42500,85.00,309.15,-20845.00,1.3438,74.152,85,0.2848,3.3044,418.9
45000,90.00,292.12,-20931.53,1.5320,58.289,90,0.3552,2.1893,418.1
47500,95.00,288.69,-21263.64,1.3644,68.238,95,0.2052,4.9846,417.3
50000,100.00,300.01,-21261.20,1.3641,51.576,100,0.3714,1.9664,416.5
52500,105.00,300.60,-21282.22,1.3765,76.624,105,0.1850,5.5192,415.9
55000,110.00,299.62,-20957.73,1.5302,54.308,110,0.3159,2.7796,415.7
57500,115.00,317.60,-20980.29,1.3660,55.191,115,0.2625,3.7205,414.8
60000,120.00,292.04,-21061.50,1.4746,44.220,120,0.3455,2.3289,414.4
62500,125.00,278.04,-21126.04,1.3624,56.196,125,0.2322,4.3479,413.8
65000,130.00,301.87,-20982.56,1.4634,73.593,130,0.1393,6.9959,413.6
67500,135.00,303.36,-21217.62,1.3809,89.784,135,0.2382,4.2157,413.1
70000,140.00,283.03,-20882.00,1.3462,90.427,140,0.2958,3.1116,412.9
72500,145.00,304.00,-20979.74,1.3484,98.400,145,0.3670,2.0263,412.3
75000,150.00,306.81,-21147.15,1.4810,81.221,150,0.1930,5.3016,411.7
77500,155.00,298.76,-20972.86,1.4359,95.677,155,0.2275,4.4524,411.3
80000,160.00,282.81,-20894.75,1.3499,87.093,160,0.2065,4.9501,411.6
82500,165.00,301.67,-20924.62,1.5470,63.326,165,0.2904,3.2050,412.1
85000,170.00,306.81,-20859.51,1.4231,79.386,170,0.1086,8.3037,412.6
87500,175.00,306.46,-21231.21,1.5032,72.200,175,0.1730,5.8686,413.1
90000,180.00,304.14,-20794.87,1.4050,78.949,180,0.1028,8.5924,413.5
92500,185.00,290.75,-20881.64,1.4228,92.538,185,0.1574,6.3591,414.2
95000,190.00,297.63,-20934.77,1.4122,85.722,190,0.1124,8.1208,416.0
97500,195.00,294.36,-21248.25,1.4433,49.191,195,0.2169,4.6982,417.9
100000,200.00,316.88,-21310.93,1.3472,85.961,200,0.1843,5.5400,419.3
102500,205.00,304.35,-21046.27,1.3537,91.539,205,0.1890,5.4100,420.9
105000,210.00,297.66,-21028.13,1.3487,95.318,210,0.2166,4.7044,421.9
107500,215.00,293.88,-21018.73,1.3587,69.764,215,0.1535,6.4893,422.1
110000,220.00,293.60,-20922.46,1.4030,79.086,220,0.0901,9.2872,422.3
112500,225.00,311.13,-20990.89,1.3609,68.754,225,0.1434,6.8464,422.6
115000,230.00,297.58,-21283.71,1.3130,80.329,230,0.2215,4.5895,422.7
117500,235.00,301.73,-21283.05,1.4247,99.164,235,0.1812,5.6274,422.8
120000,240.00,304.00,-20892.22,1.4993,89.775,240,0.2197,4.6325,422.8
122500,245.00,315.66,-21065.72,1.5222,62.344,245,0.1944,5.2631,422.9
125000,250.00,285.96,-20886.93,1.5228,88.824,250,0.2484,4.0026,422.9
127500,255.00,299.19,-21022.97,1.5261,70.846,255,0.1781,5.7169,422.9
130000,260.00,306.61,-20913.49,1.4345,53.098,260,0.1616,6.2222,423.1
132500,265.00,299.02,-20951.19,1.3447,80.123,265,0.1287,7.4089,423.2
135000,270.00,298.66,-20913.86,1.3694,73.840,270,0.1027,8.5949,423.3
137500,275.00,301.93,-20973.30,1.4067,67.396,275,0.0854,9.5665,423.9
140000,280.00,307.10,-21054.12,1.4431,82.636,280,0.0816,9.8049,425.0
142500,285.00,297.58,-21064.32,1.4750,59.558,285,0.1303,7.3460,426.1
145000,290.00,305.29,-20888.84,1.4218,58.967,290,0.1147,8.0139,427.2
147500,295.00,299.92,-21073.68,1.3690,73.562,295,0.0987,8.8055,428.4
150000,300.00,294.59,-20924.44,1.5767,71.640,300,0.2811,3.3706,428.8
152500,305.00,295.00,-21035.85,1.4676,44.148,305,0.2909,3.1976,428.8
155000,310.00,309.78,-21018.97,1.3479,56.039,310,0.2239,4.5336,428.8
157500,315.00,296.07,-21087.40,1.4879,60.787,315,0.1178,7.8757,428.8
160000,320.00,294.06,-21005.10,1.3731,71.875,320,0.0893,9.3336,428.8
162500,325.00,292.44,-21232.41,1.4676,59.042,325,0.1078,8.3408,428.8
165000,330.00,305.07,-20979.79,1.3987,64.059,330,0.0848,9.6028,428.8
167500,335.00,304.39,-21117.81,1.4169,77.583,335,0.0657,10.9542,428.8
170000,340.00,296.98,-21212.46,1.4768,75.310,340,0.0771,10.1066,428.8
172500,345.00,299.82,-21071.84,1.3159,72.179,345,0.2120,4.8160,428.7
175000,350.00,313.31,-21142.56,1.4993,63.510,350,0.0988,8.7986,428.7
177500,355.00,306.70,-21238.08,1.4026,82.938,355,0.0676,10.8040,428.7
180000,360.00,286.77,-21016.60,1.4515,95.147,360,0.1388,7.0147,428.7
182500,365.00,304.84,-21067.04,1.3854,77.298,365,0.0639,11.0981,428.8
185000,370.00,294.47,-20993.86,1.4460,99.734,370,0.1759,5.7823,428.8
187500,375.00,309.70,-21067.21,1.4488,93.941,375,0.1147,8.0122,428.9
190000,380.00,295.39,-21032.74,1.3387,57.721,380,0.1958,5.2272,429.0
192500,385.00,307.25,-21138.48,1.4870,62.209,385,0.0895,9.3209,428.8
195000,390.00,299.49,-21079.35,1.5476,50.859,390,0.2872,3.2627,428.7
197500,395.00,302.52,-21064.60,1.3974,41.626,395,0.3098,2.8789,428.7
200000,400.00,291.85,-21064.45,1.5203,44.203,400,0.2944,3.1371,428.7
202500,405.00,292.58,-21065.48,1.5036,50.750,405,0.1665,6.0665,428.6
205000,410.00,303.31,-20879.52,1.3752,47.307,410,0.1966,5.2055,428.6
207500,415.00,295.46,-20970.58,1.5336,52.352,415,0.1995,5.1294,428.7
210000,420.00,288.31,-20910.49,1.5407,78.823,420,0.1405,6.9500,428.8
212500,425.00,307.01,-20978.83,1.3671,66.918,425,0.0825,9.7500,428.9
215000,430.00,298.97,-21016.42,1.3615,60.989,430,0.1024,8.6091,428.8
217500,435.00,293.51,-20931.40,1.3564,40.485,435,0.3327,2.5179,428.9
220000,440.00,313.65,-21030.34,1.5333,58.324,440,0.1412,6.9247,428.9
222500,445.00,307.49,-20883.26,1.4446,50.802,445,0.0912,9.2217,428.9
225000,450.00,302.23,-21097.10,1.3752,46.500,450,0.1662,6.0751,429.2
227500,455.00,309.71,-20940.49,1.4233,38.874,455,0.2062,4.9581,429.8
230000,460.00,305.56,-21232.45,1.3257,61.746,460,0.1793,5.6819,430.4
232500,465.00,294.75,-21070.27,1.3598,56.829,465,0.1137,8.0601,431.1
235000,470.00,309.16,-20859.94,1.5732,54.824,470,0.2426,4.1234,431.7
237500,475.00,298.91,-20955.35,1.3491,55.255,475,0.1434,6.8432,432.0
240000,480.00,302.93,-21208.35,1.5130,67.258,480,0.0846,9.6190,432.1
