step,time_ps,T_K,PE_kJmol,d_NC_A,theta_deg,hills,W_last_kcal,V_kJmol,sps
5000,10.00,286.33,-704.36,1.3540,78.968,5,0.4751,0.7493,747.9
10000,20.00,271.77,-725.96,1.4409,60.547,10,0.4562,0.9482,751.8
15000,30.00,366.70,-732.40,1.4598,64.080,15,0.3611,2.1080,750.9
20000,40.00,413.98,-691.17,1.4912,79.641,20,0.4103,1.4716,749.6
25000,50.00,258.46,-714.49,1.4166,87.562,25,0.4472,1.0456,749.1
30000,60.00,282.68,-692.81,1.4722,65.988,30,0.3002,3.0369,750.3
35000,70.00,381.93,-708.23,1.4783,52.822,35,0.4448,1.0724,750.2
40000,80.00,337.12,-712.60,1.4794,59.346,40,0.3191,2.7285,751.0
45000,90.00,202.58,-718.73,1.4790,75.375,45,0.2826,3.3446,755.2
50000,100.00,250.83,-714.35,1.4327,57.680,50,0.2745,3.4911,766.7
55000,110.00,345.60,-702.66,1.4744,47.526,55,0.4134,1.4333,777.1
60000,120.00,372.31,-710.35,1.3838,67.712,60,0.2260,4.4862,785.6
65000,130.00,299.72,-697.71,1.3859,82.935,65,0.2569,3.8305,792.8
70000,140.00,362.89,-696.81,1.4572,83.885,70,0.2497,3.9749,792.7
75000,150.00,261.62,-698.64,1.4854,83.961,75,0.2797,3.3958,791.6
80000,160.00,326.71,-694.11,1.3969,91.319,80,0.3325,2.5208,790.9
85000,170.00,182.87,-697.70,1.3706,95.824,85,0.4267,1.2769,790.0
90000,180.00,353.47,-699.23,1.4374,95.839,90,0.4037,1.5517,789.2
95000,190.00,293.74,-701.12,1.3763,87.501,95,0.2779,3.4294,788.2
100000,200.00,364.81,-707.14,1.4828,63.911,100,0.1828,5.5824,787.9
105000,210.00,294.26,-708.20,1.3405,81.559,105,0.2934,3.1539,786.9
110000,220.00,302.84,-700.83,1.4891,66.851,110,0.1726,5.8800,785.7
115000,230.00,303.08,-693.76,1.4446,71.915,115,0.1300,7.3582,785.2
120000,240.00,286.72,-693.65,1.3814,86.634,120,0.2177,4.6784,784.2
125000,250.00,360.29,-693.05,1.5081,73.275,125,0.1962,5.2156,783.3
130000,260.00,231.50,-707.38,1.4709,43.148,130,0.3934,1.6796,782.7
135000,270.00,234.09,-700.60,1.4089,50.917,135,0.2305,4.3843,782.3
140000,280.00,327.07,-700.38,1.4893,45.731,140,0.3241,2.6509,781.8
145000,290.00,213.14,-674.72,1.4426,81.651,145,0.1354,7.1430,781.0
150000,300.00,324.48,-706.56,1.3610,64.928,150,0.1869,5.4661,780.9
155000,310.00,331.83,-691.87,1.4426,88.554,155,0.1914,5.3438,780.2
160000,320.00,273.79,-704.74,1.3437,80.390,160,0.2289,4.4205,780.0
165000,330.00,316.65,-709.29,1.4400,66.696,165,0.1074,8.3593,779.6
170000,340.00,259.69,-702.85,1.3700,91.217,170,0.2474,4.0234,779.0
175000,350.00,323.24,-696.38,1.3748,73.386,175,0.1385,7.0276,779.0
180000,360.00,334.34,-685.10,1.3419,64.526,180,0.2246,4.5188,777.8
